period,topic,raw_edges,raw_nodes,raw_weight_mean,raw_weight_median,raw_weight_std,raw_weight_min,raw_weight_max,thresh_num_nodes,thresh_num_edges,thresh_density,thresh_avg_degree,thresh_avg_clustering,thresh_num_components,thresh_avg_shortest_path,thresh_diameter,thresh_degree_mean,thresh_degree_median,thresh_degree_max,thresh_degree_min,thresh_degree_std,thresh_degree_variance,thresh_degree_skewness,thresh_degree_kurtosis,thresh_betweenness_mean,thresh_betweenness_median,thresh_betweenness_max,thresh_betweenness_min,thresh_betweenness_std,thresh_betweenness_variance,thresh_betweenness_skewness,thresh_betweenness_kurtosis,thresh_closeness_mean,thresh_closeness_median,thresh_closeness_max,thresh_closeness_min,thresh_closeness_std,thresh_closeness_variance,thresh_closeness_skewness,thresh_closeness_kurtosis,thresh_eigenvector_mean,thresh_eigenvector_median,thresh_eigenvector_max,thresh_eigenvector_min,thresh_eigenvector_std,thresh_eigenvector_variance,thresh_eigenvector_skewness,thresh_eigenvector_kurtosis,thresh_party_modularity,thresh_num_parties,thresh_louvain_modularity,thresh_num_louvain_communities,thresh_louvain_largest_community_size,thresh_louvain_largest_community_pct,thresh_louvain_num_parties_in_largest,thresh_louvain_dominant_party_in_largest,thresh_louvain_dominant_party_pct_in_largest,thresh_louvain_community_composition,thresh_louvain_party_fragmentation,thresh_degree_assortativity,thresh_degree_assortativity_weighted,thresh_party_assortativity,bb_original_nodes,bb_original_edges,bb_after_filter_nodes,bb_after_filter_edges,bb_backbone_nodes,bb_backbone_edges,bb_thresh_num_nodes,bb_thresh_num_edges,bb_num_nodes,bb_num_edges,bb_density,bb_avg_degree,bb_avg_clustering,bb_num_components,bb_avg_shortest_path,bb_diameter,bb_degree_mean,bb_degree_median,bb_degree_max,bb_degree_min,bb_degree_std,bb_degree_variance,bb_degree_skewness,bb_degree_kurtosis,bb_betweenness_mean,bb_betweenness_median,bb_betweenness_max,bb_betweenness_min,bb_betweenness_std,bb_betweenness_variance,bb_betweenness_skewness,bb_betweenness_kurtosis,bb_closeness_mean,bb_closeness_median,bb_closeness_max,bb_closeness_min,bb_closeness_std,bb_closeness_variance,bb_closeness_skewness,bb_closeness_kurtosis,bb_eigenvector_mean,bb_eigenvector_median,bb_eigenvector_max,bb_eigenvector_min,bb_eigenvector_std,bb_eigenvector_variance,bb_eigenvector_skewness,bb_eigenvector_kurtosis,bb_party_modularity,bb_num_parties,bb_louvain_modularity,bb_num_louvain_communities,bb_louvain_largest_community_size,bb_louvain_largest_community_pct,bb_louvain_num_parties_in_largest,bb_louvain_dominant_party_in_largest,bb_louvain_dominant_party_pct_in_largest,bb_louvain_community_composition,bb_louvain_party_fragmentation,bb_degree_assortativity,bb_degree_assortativity_weighted,bb_party_assortativity
66,general,22105,216,0.6965630595281459,0.6518771331058021,0.25042031879412785,0.0,1.0,216,10241,0.44104220499569335,94.82407407407408,0.8772758674414133,1,1.5963824289405684,3,0.4410422049956933,0.4697674418604651,0.8046511627906977,0.037209302325581395,0.10284853584919923,0.01057782132632402,-1.8075233658235237,4.684165557144257,0.002786833780096116,0.0002787940635082445,0.3022560550128015,0.0,0.02067008454581621,0.00042725239513119017,14.092833466655732,200.99655965655867,0.6004025973223966,0.6128793573797499,0.8214400928699308,0.41156743679664715,0.050386018528225315,0.0025387508631266645,-1.3911227678296725,4.784574828725243,0.05388163611856905,0.02398251211161917,0.10096999480240228,0.001560242272330718,0.041549956905100924,0.001726398918815744,0.03898521767603964,-1.9465056421728035,0.18265625016537054,12,0.4519704551039602,2,113,52.31481481481482,8,Socialdemokratiet,49.557522123893804,"C0(113):[Socialdemokratiet:56,Radikale Venstre:21,Socialistisk Folkeparti:21,Enhedslisten:10,Inuit Ataqatigiit:2] | C1(103):[Venstre:55,Dansk Folkeparti:28,Det Konservative Folkeparti:19,Uden for Folketingsgrupperne:1]",0.0,0.24305246898299382,0.40851615655783874,0.2270515130584947,216,22105,209,20262,174,6206,173,2814,173,2814,0.18913832504368866,32.53179190751445,0.5309983840472289,1,2.2710713805619034,6,0.18913832504368863,0.20348837209302326,0.4127906976744186,0.005813953488372093,0.0891482215084056,0.00794740539811175,-0.16429616777945202,-0.1643640404736182,0.007433165968198266,0.001699986400108799,0.14350896621398457,0.0,0.017686295229327707,0.00031280503893894006,5.165293246848181,31.413530356672993,0.40189944575892056,0.4075330336325509,0.508523549529823,0.19630284221378147,0.04748654624712021,0.0022549720744798863,-1.0977224861502217,2.829308691715463,0.05271347737281961,0.014608600497947273,0.18319957269434933,2.854292074475376e-06,0.054787189415724594,0.003001636124074485,0.6021056524008841,-1.1995688138781575,0.19876414960429853,9,0.4719698416234394,4,85,49.13294797687861,6,Socialdemokratiet,51.76470588235295,"C0(85):[Socialdemokratiet:44,Radikale Venstre:16,Socialistisk Folkeparti:16,Enhedslisten:7,Tjóðveldi:1] | C1(63):[Venstre:35,Det Konservative Folkeparti:15,Dansk Folkeparti:13] | C2(23):[Dansk Folkeparti:9,Venstre:8,Det Konservative Folkeparti:3,Socialdemokratiet:1,Socialistisk Folkeparti:1] | C3(2):[Socialistisk Folkeparti:1,Radikale Venstre:1]",0.23439320055167248,-0.06436463549722998,0.009153341317388694,0.24999630707651505
67,general,25493,237,0.7453555259588631,0.75,0.22415084472769625,0.0,1.0,237,13393,0.47890295358649787,113.0210970464135,0.8083067951310017,1,1.528105556747479,3,0.47890295358649787,0.4830508474576271,0.7584745762711864,0.1059322033898305,0.08458957865008025,0.007155396816198113,-1.3723791238151977,4.950604929934969,0.002247257688287145,0.0005994160251895246,0.06481647614988358,6.454911972402055e-06,0.006330979652568275,4.008130336123352e-05,6.541146758110219,50.538669560368234,0.6348464647406205,0.6374706647744242,0.7431098837611949,0.4306317447715699,0.03925655169525293,0.001541076851002066,-1.5448048628251432,5.310487666175591,0.06013408833936231,0.06141815326458956,0.09720696771630082,0.005322779534110067,0.024562180324519078,0.0006033007022941922,-0.08726152188447114,-1.5600566951034929,0.139029043417922,13,0.39184052172917594,2,121,51.0548523206751,8,Venstre,45.45454545454545,"C0(121):[Venstre:55,Dansk Folkeparti:31,Det Konservative Folkeparti:25,Liberal Alliance:6,Socialdemokratiet:1] | C1(116):[Socialdemokratiet:58,Socialistisk Folkeparti:33,Radikale Venstre:13,Enhedslisten:5,Tjóðveldi:2]",0.12832130361690544,0.12985082719534,0.16275512832888261,0.1684622533902786,237,25493,218,21762,181,6512,180,3315,180,3315,0.20577281191806332,36.833333333333336,0.4997186175549348,1,2.075977653631285,5,0.20577281191806332,0.21787709497206706,0.446927374301676,0.00558659217877095,0.08832098145092462,0.007800595764454571,-0.23464083075127398,0.03945489262699153,0.0060448182788274425,0.0015640365743937396,0.1043809464027906,0.0,0.012529842379572194,0.0001569969500569234,4.878324681972389,30.166097909215864,0.4486040176607913,0.45646887295275795,0.5697530137642357,0.25224200603749486,0.05149389338656309,0.0026516210561067263,-0.9873721067879258,1.818205323395575,0.06574757428629852,0.06095927458443477,0.15449103740786507,5.09823174325219e-05,0.0351114230845634,0.0012328120310232118,0.21135670669483306,-0.6052269915838902,0.16408591142687495,11,0.4450352049393837,2,95,52.77777777777778,8,Venstre,44.21052631578947,"C0(95):[Venstre:42,Dansk Folkeparti:24,Det Konservative Folkeparti:21,Liberal Alliance:4,Inuit Ataqatigiit:1] | C1(85):[Socialdemokratiet:44,Socialistisk Folkeparti:22,Radikale Venstre:12,Enhedslisten:4,Dansk Folkeparti:1]",0.06542907419076288,-0.048673430893756246,-0.042131533804372144,0.20116712334819017
68,general,23649,226,0.7602129769985991,0.7333333333333333,0.20463444084472887,0.0,1.0,226,14711,0.5786037364798426,130.18584070796462,0.7650021740360692,1,1.4264306784660767,3,0.5786037364798426,0.6466666666666667,0.8577777777777778,0.10666666666666666,0.19146754958677106,0.03665982254476264,-0.8549647238996837,-0.4903678545049428,0.0019037083860092708,0.000483457453779819,0.040981321413457006,1.186329795075925e-05,0.005051614222012035,2.551880624803426e-05,5.27377248964538,31.144789279694315,0.6610618872832583,0.681544829666562,0.7565961299899151,0.4185627421314739,0.07298733323272606,0.005327150812424998,-0.8334998251495127,-0.38982506428739505,0.06191508570056996,0.0709557015003961,0.08894320547329403,0.004726914247001662,0.02431667994922463,0.0005913009237530231,-0.8796071887315063,-0.6438007138019586,0.05297139451836748,13,0.15473138344253456,2,117,51.76991150442478,7,Socialdemokratiet,44.44444444444444,"C0(117):[Socialdemokratiet:52,Socialistisk Folkeparti:25,Radikale Venstre:24,Enhedslisten:13,Dansk Folkeparti:1] | C1(109):[Venstre:51,Dansk Folkeparti:26,Det Konservative Folkeparti:12,Liberal Alliance:11,Socialdemokratiet:2]",0.1352114240922707,0.1675877757082025,0.20422066457796048,0.06597061363615138,226,23649,212,21158,178,6586,178,4197,178,4197,0.26642544277280517,47.157303370786515,0.47638397482382816,2,1.8435714285714286,5,0.26642544277280517,0.2768361581920904,0.6101694915254238,0.005649717514124294,0.1457969547369866,0.021256752010578917,-0.03586769887224458,-0.7577576174862024,0.004685615438329207,0.002026982302936668,0.12693763196941163,0.0,0.011110012481119437,0.00012343237733062967,8.092073473680081,81.43584280783811,0.48674366711710515,0.5062327168812908,0.6362120177872413,0.004738472754346638,0.08647410125276705,0.007477770187473808,-2.238247508247056,9.11307644726899,0.06458963859548346,0.06943851203609766,0.14944114558816887,4.487073002164856e-18,0.038028359341348406,0.0014461561141947204,-0.1383682147818014,-1.0961976234179955,0.05722863642745147,9,0.20314302017126615,4,62,34.831460674157306,5,Socialdemokratiet,46.774193548387096,"C0(62):[Socialdemokratiet:29,Radikale Venstre:14,Socialistisk Folkeparti:10,Enhedslisten:7,Venstre:2] | C1(59):[Venstre:18,Socialdemokratiet:15,Socialistisk Folkeparti:9,Radikale Venstre:6,Dansk Folkeparti:4] | C2(55):[Venstre:23,Dansk Folkeparti:18,Det Konservative Folkeparti:7,Liberal Alliance:6,Socialdemokratiet:1] | C3(2):[Radikale Venstre:1,Dansk Folkeparti:1]",0.39690630627595824,0.009876695902051143,0.025597357287774333,0.07433443781213134
69,general,24472,230,0.6979448507860637,0.7371571983880747,0.23771325804948798,0.0,1.0,230,13126,0.49842415037022975,114.13913043478261,0.7793803421771112,1,1.5219669641161953,3,0.4984241503702297,0.5502183406113537,0.834061135371179,0.004366812227074236,0.18312099761753872,0.033533299768442625,-0.5990235529494381,-0.7595299492516103,0.002289328789983312,0.00029620746843063065,0.09808758090971434,0.0,0.009747326639108609,9.501037660947632e-05,7.609701750466176,61.58835217908924,0.6252966138600354,0.644037350088515,0.8005642731691271,0.3390264246649825,0.07073496533076888,0.005003435320345076,-0.5164110476131596,0.04311560625715982,0.058057322957793006,0.0700254306292607,0.09553374270233499,6.963359990171743e-05,0.03125977187906277,0.0009771733379310438,-0.7377806191617957,-0.950871889280005,0.08537367716629889,12,0.21355814536490392,3,104,45.21739130434783,4,Venstre,39.42307692307692,"C0(104):[Venstre:41,Dansk Folkeparti:38,Liberal Alliance:14,Det Konservative Folkeparti:11] | C1(71):[Socialdemokratiet:57,Radikale Venstre:12,Socialistisk Folkeparti:1,Venstre:1] | C2(55):[Enhedslisten:23,Alternativet:12,Socialistisk Folkeparti:11,Radikale Venstre:3,Socialdemokratiet:1]",0.08084031535367159,0.4603509868922205,0.4613770435453522,0.10546353302435191,230,24472,223,22785,198,6827,194,4004,194,4004,0.21387746381069386,41.27835051546392,0.4564953435105362,2,2.1097294938917974,5,0.2138774638106939,0.22797927461139897,0.5854922279792746,0.0051813471502590676,0.13776575172793204,0.01897940234916221,0.2989064539713809,-0.4630350079764787,0.005660977867991382,0.0016235179897054136,0.1353694408462867,0.0,0.013797222295237926,0.0001903633430642105,6.252069381779683,47.72610957180979,0.43033108602640263,0.45469364256605416,0.5843796022024921,0.0038860103632124355,0.0826959031616614,0.006838612399722879,-1.8147073630537964,5.687994362575088,0.05778048333149825,0.062195816818896306,0.14900495939091368,1.1039968361959573e-16,0.04261519589578564,0.0018160549212361853,0.05014818304677288,-1.1821297267890996,0.06412671369589451,9,0.21249900823452275,5,57,29.381443298969074,2,Socialdemokratiet,82.45614035087719,"C0(57):[Socialdemokratiet:47,Radikale Venstre:10] | C1(48):[Venstre:22,Dansk Folkeparti:15,Liberal Alliance:5,Det Konservative Folkeparti:4,Socialdemokratiet:2] | C2(44):[Dansk Folkeparti:19,Venstre:12,Liberal Alliance:7,Det Konservative Folkeparti:5,Socialdemokratiet:1] | C3(43):[Enhedslisten:18,Alternativet:10,Socialistisk Folkeparti:7,Radikale Venstre:3,Dansk Folkeparti:2] | C4(2):[Enhedslisten:1,Dansk Folkeparti:1]",0.30267742093613426,0.09281049292658151,0.10621393913628017,0.08136331283884962
70,general,22088,216,0.7424438869417173,0.7391304347826086,0.18575965575864545,0.0,1.0,216,13319,0.5736003445305771,123.32407407407408,0.7740383863748765,1,1.4271317829457364,3,0.5736003445305771,0.5767441860465117,0.8558139534883721,0.12093023255813953,0.15395789734235385,0.023703034154078765,-0.5899700447630614,0.1090547723451114,0.0019959429109613854,0.00019640607093416288,0.09073721239036953,0.0,0.008973385378165007,8.052164514506554e-05,7.819543304716443,64.8164720066692,0.6526458222885905,0.655097432327501,0.8088083817938863,0.4680137683341479,0.061182548765646314,0.0037433042734606892,-0.308429804016214,-0.13012118159918806,0.06471856673529638,0.06760426158379204,0.09938710316035249,0.0063681224030728055,0.021003255684741297,0.0004411367493586176,-0.6789000258861946,0.036962680538655146,0.06072147631532187,13,0.21926838488547648,2,118,54.629629629629626,8,Socialdemokratiet,45.76271186440678,"C0(118):[Socialdemokratiet:54,Radikale Venstre:21,Socialistisk Folkeparti:18,Enhedslisten:16,Alternativet:6] | C1(98):[Venstre:49,Dansk Folkeparti:19,Det Konservative Folkeparti:17,Nye Borgerlige:4,Liberal Alliance:3]",0.05730703656493554,0.11991835072301059,0.12411538480213608,0.07529028254299276,216,22088,211,20415,175,6010,175,3672,175,3672,0.2411822660098522,41.965714285714284,0.4737919518043379,2,1.8501814760048394,4,0.24118226600985224,0.23563218390804597,0.6609195402298851,0.005747126436781609,0.13062606986105577,0.017063170127345425,0.489097442885585,0.29729022072007094,0.004802338715035545,0.0016610192013819679,0.058629656282636146,0.0,0.008439123073358444,7.121879824729087e-05,3.5837290929270624,15.98383623083317,0.47295403258249347,0.48116282308981934,0.6330825196362901,0.005747126437356322,0.07742074983395456,0.005993972504851775,-2.507130139038889,13.240760814883512,0.06540676879749159,0.06875578249400521,0.16883243687163121,3.823550483779152e-21,0.03789776127632338,0.0014362403097571959,0.20968638559675234,-0.46721646353361734,0.06669943985219362,13,0.2568477342522581,4,77,44.0,6,Venstre,51.94805194805194,"C0(77):[Venstre:40,Dansk Folkeparti:15,Det Konservative Folkeparti:14,Nye Borgerlige:4,Liberal Alliance:3] | C1(51):[Socialdemokratiet:27,Radikale Venstre:9,Socialistisk Folkeparti:7,Enhedslisten:5,Dansk Folkeparti:1] | C2(45):[Socialdemokratiet:20,Socialistisk Folkeparti:8,Enhedslisten:6,Radikale Venstre:6,Sambandsflokkurin:1] | C3(2):[Alternativet:1,Radikale Venstre:1]",0.29288246937103307,-0.01904288036898443,-0.014281038126027682,0.0864245686122987
71,general,24566,231,0.7472746320516678,0.7328143301425745,0.21169249151547137,0.0,1.0,231,14221,0.5353284396762658,123.12554112554112,0.7473712991078778,1,1.4675701110483719,3,0.5353284396762658,0.6173913043478261,0.7695652173913043,0.0391304347826087,0.19553468235577492,0.03823381200397379,-0.7717711657249687,-0.8442544710570283,0.0020417908779404885,0.0004926861380610143,0.0671457322968055,1.4239605088285552e-05,0.00612051462919348,3.7460699326171405e-05,7.420785493346719,65.11553460707465,0.6434287140924592,0.6546240824235948,0.7492323402037225,0.46483342582446324,0.07660804148444332,0.00586879202008219,-0.4519147151500618,-1.0626213971117278,0.05882647782724113,0.06578268370343562,0.09129422499947562,0.0011084762629431431,0.029469472941425927,0.0008684498354454348,-0.5716281343361491,-1.1751444381940541,0.040738739585039305,16,0.1616148835117534,3,116,50.21645021645021,8,Socialdemokratiet,51.724137931034484,"C0(116):[Socialdemokratiet:60,Venstre:27,Moderaterne:22,Radikale Venstre:3,Sambandsflokkurin:1] | C1(67):[Danmarksdemokraterne:17,Det Konservative Folkeparti:17,Liberal Alliance:16,Nye Borgerlige:6,Dansk Folkeparti:6] | C2(48):[Socialistisk Folkeparti:20,Enhedslisten:12,Alternativet:9,Radikale Venstre:5,Liberal Alliance:1]",0.11271786353774177,0.3367824071243142,0.3692290296690698,0.04921660059570024,231,24566,217,21820,178,6668,178,3904,178,3904,0.2478258109566432,43.86516853932584,0.4508990149713339,1,1.9058592014219513,5,0.24782581095664322,0.2570621468926554,0.5988700564971752,0.005649717514124294,0.14146796271763648,0.020013184475478587,0.16365912361470486,-0.6215274873807832,0.005146927280806542,0.002048389825357812,0.07143688124252912,0.0,0.009095121047726177,8.27212268727917e-05,4.5658672915226415,26.46957913537058,0.4812440555277373,0.4922386082859911,0.6254408659567067,0.24876521351754116,0.07273662693926836,0.005290616898502298,-0.7830989493183019,0.6595592430194812,0.061578116973194916,0.0659984809558784,0.1566100077505708,6.197504928933564e-05,0.04273304386684163,0.0018261130381254111,0.1318834979100955,-1.127652845789196,0.03542322344883766,13,0.21278777887538633,4,75,42.13483146067416,9,Socialdemokratiet,40.0,"C0(75):[Socialdemokratiet:30,Venstre:16,Moderaterne:13,Socialistisk Folkeparti:7,Det Konservative Folkeparti:4] | C1(44):[Danmarksdemokraterne:13,Det Konservative Folkeparti:10,Liberal Alliance:9,Nye Borgerlige:6,Dansk Folkeparti:4] | C2(37):[Socialdemokratiet:19,Moderaterne:8,Venstre:5,Radikale Venstre:3,Enhedslisten:1] | C3(22):[Socialistisk Folkeparti:8,Enhedslisten:6,Alternativet:6,Radikale Venstre:1,Dansk Folkeparti:1]",0.33159829346339087,0.11013209634085004,0.13416977848475659,0.044094189153374826
66,klima_miljo,7681,128,0.7193061755058314,0.75,0.27166219407569075,0.0,1.0,128,3969,0.48831200787401574,62.015625,0.7993080457568629,1,1.5273129921259843,3,0.48831200787401574,0.547244094488189,0.7716535433070866,0.10236220472440945,0.13176110327125345,0.017360988335257916,-0.90553798449582,0.43485719954093316,0.00418502374703162,0.0011811808314933993,0.09896738574225387,0.0,0.01064068412258369,0.00011322415859660465,6.27849365748757,48.36467267924831,0.6370292628365237,0.6559527416704283,0.7807247842286891,0.4400817994511918,0.059367297450599696,0.0035244760065879814,-0.8743253387610832,1.0396796051473185,0.07550055384116511,0.10531721482822551,0.12708836829825096,0.005065286090960527,0.04595831121437479,0.0021121663696773273,-0.2731631607026681,-1.798484420210305,0.11232812040860127,10,0.3402878988908815,2,71,55.46875,4,Venstre,45.07042253521127,"C0(71):[Venstre:32,Dansk Folkeparti:22,Det Konservative Folkeparti:16,Enhedslisten:1] | C1(57):[Socialdemokratiet:22,Socialistisk Folkeparti:16,Radikale Venstre:10,Enhedslisten:6,Siumut:1]",0.03498542274052479,0.4504876853104531,0.5246554767673441,0.13829211436234903,128,7681,115,5720,96,1753,95,891,95,891,0.19955207166853303,18.757894736842104,0.512653301570603,1,2.1608062709966407,5,0.199552071668533,0.20212765957446807,0.5319148936170213,0.010638297872340425,0.1099049234805682,0.012079092205269551,0.584001263805048,0.10682314376614643,0.012481787860178933,0.006405856783344772,0.08886982383893846,0.0,0.018687167935435203,0.0003492102454471575,2.383902814827044,5.297984421446694,0.4352668505296819,0.44702898716414324,0.5755616339184049,0.2803033200925123,0.06013405656961946,0.0036161047595181933,-0.4120104979070123,-0.19958479929752526,0.0780603587489908,0.0701002534806429,0.23904489619974462,0.0006853908691863893,0.06657999835876043,0.00443289618145254,0.31943930826618755,-1.2313447678719422,0.09692762517304232,7,0.37866065569021046,3,34,35.78947368421053,4,Socialdemokratiet,41.17647058823529,"C0(34):[Socialdemokratiet:14,Socialistisk Folkeparti:9,Radikale Venstre:8,Enhedslisten:3] | C1(33):[Venstre:13,Dansk Folkeparti:10,Det Konservative Folkeparti:10] | C2(28):[Venstre:13,Dansk Folkeparti:8,Det Konservative Folkeparti:6,Socialdemokratiet:1]",0.22671737213403878,0.07813356303341752,0.11126649566745088,0.12473597613856492
67,klima_miljo,19757,203,0.7492859354301179,0.7777777777777778,0.24190919327263607,0.0,1.0,203,10604,0.5171926059601034,104.47290640394088,0.7943697982349428,1,1.4830024874408623,3,0.5171926059601033,0.5198019801980198,0.8811881188118812,0.16336633663366337,0.10359721365840444,0.0107323826777851,0.1303596302620321,2.8490864890561207,0.002402997449954539,0.000733725930455405,0.03404823451588354,3.5184755149288917e-06,0.004983727165548687,2.483753646062795e-05,3.732439690644025,15.55985024080482,0.6567137194939128,0.6556725450896707,0.8038686888866641,0.5231806736293197,0.04229711158301566,0.001789045648266078,0.15502749346421885,1.9606440988526606,0.06682844471628262,0.06968288750313248,0.10673428277266442,0.016024234628743497,0.02144918066470126,0.00046006735118699445,-0.21144433922562036,-1.2668524329986977,0.12119764596350974,13,0.33799697355545505,2,105,51.724137931034484,7,Venstre,44.761904761904766,"C0(105):[Venstre:47,Dansk Folkeparti:29,Det Konservative Folkeparti:23,Liberal Alliance:3,Sambandsflokkurin:1] | C1(98):[Socialdemokratiet:48,Socialistisk Folkeparti:26,Radikale Venstre:12,Enhedslisten:4,Uden for Folketingsgrupperne:2]",0.10940757423318703,0.058407499337128625,0.10334974436451494,0.14662332793847851,203,19757,184,15422,162,4676,158,2417,158,2417,0.19487220833669275,30.59493670886076,0.4621467788322774,1,2.041280335402725,5,0.1948722083366927,0.2070063694267516,0.5031847133757962,0.006369426751592357,0.09167661708381662,0.008404602119932738,0.05908510081073867,0.3591469928768065,0.006674873944889263,0.0021424747233298727,0.11355645487468845,0.0,0.013568681078683061,0.0001841091062150117,4.955336151488272,30.118610615474303,0.46190343734485956,0.4755904945300352,0.6004671774706843,0.2762692821114279,0.053717725749967776,0.002885594059748751,-0.7789718387330359,0.6606068051487823,0.07151262032182572,0.07829117478367492,0.170924877818714,0.0002687579225547621,0.03485769726698871,0.0012150590587570323,-0.23956924566000454,-0.4602777432923615,0.15106757420416578,11,0.41060828098582497,2,80,50.63291139240506,7,Venstre,46.25,"C0(80):[Venstre:37,Dansk Folkeparti:20,Det Konservative Folkeparti:18,Liberal Alliance:2,Socialdemokratiet:1] | C1(78):[Socialdemokratiet:40,Socialistisk Folkeparti:20,Radikale Venstre:11,Enhedslisten:4,Uden for Folketingsgrupperne:2]",0.05467057380600907,-0.03423089130285073,-0.03171942282218809,0.18637367909988517
68,klima_miljo,16399,188,0.739989314444085,0.7448979591836735,0.2359626326581415,0.0,1.0,188,9087,0.5169530094436227,96.67021276595744,0.7580883450393519,1,1.4866879053362156,3,0.5169530094436227,0.5240641711229946,0.8235294117647058,0.0374331550802139,0.1384231779531272,0.01916097619464312,-0.7519709074516635,1.1314877395002947,0.0026166016415925574,0.0007868986757041869,0.07442676322341467,7.2917942730664464e-06,0.00773732693288616,5.9866228066365556e-05,7.415829988554857,61.39921557488486,0.6429571412803246,0.6523468768603591,0.7920297446122831,0.4511176978039827,0.057605565384967576,0.0033184011633217744,-0.6188413748291451,0.7278376781205478,0.06888168808507386,0.06989079869845659,0.11294240106567943,0.003323073115664124,0.02396793655534005,0.000574461982720806,-0.5589671268085677,-0.32125868897420107,0.0978696948414571,12,0.280531455531491,3,92,48.93617021276596,8,Venstre,48.91304347826087,"C0(92):[Venstre:45,Dansk Folkeparti:23,Liberal Alliance:10,Det Konservative Folkeparti:10,Radikale Venstre:1] | C1(92):[Socialdemokratiet:39,Socialistisk Folkeparti:19,Radikale Venstre:19,Enhedslisten:12,Inuit Ataqatigiit:1] | C2(4):[Socialdemokratiet:2,Enhedslisten:1,Siumut:1]",0.10944696397077351,0.08967476897785571,0.13676061985686816,0.1185261083473344,188,16399,173,13837,151,4300,148,2367,148,2367,0.21759514616657474,31.986486486486488,0.47227691917667636,2,1.9496457250826642,4,0.21759514616657477,0.23809523809523808,0.5238095238095238,0.006802721088435374,0.11410561788438899,0.01302009203277819,-0.1811898409715808,-0.5398167992729257,0.006329225507307699,0.0029662533528390872,0.04673569371640381,0.0,0.009092867122995063,8.268023251644451e-05,2.3754211354386428,5.842355617058674,0.45676108345426336,0.48251046042248175,0.5981228575803805,0.006802721089115646,0.08092848676859674,0.006549419970654937,-2.5161575692851983,10.792672230341502,0.07045162397064549,0.07034101768214003,0.18545784815621266,3.8183950583522967e-35,0.04234767333225671,0.0017933254366555259,0.06570453079991966,-0.798144427578201,0.12130639412610622,8,0.325804716271062,3,75,50.67567567567568,5,Socialdemokratiet,44.0,"C0(75):[Socialdemokratiet:33,Socialistisk Folkeparti:15,Radikale Venstre:15,Enhedslisten:10,Dansk Folkeparti:2] | C1(71):[Venstre:35,Dansk Folkeparti:18,Det Konservative Folkeparti:8,Liberal Alliance:7,Radikale Venstre:1] | C2(2):[Socialdemokratiet:2]",0.07729261921615144,-0.04137292780741132,-0.018286558290407283,0.15151039574406044
69,klima_miljo,16531,190,0.7264681205261696,0.793939393939394,0.25255917564136865,0.0,1.0,189,10197,0.5739614994934144,107.9047619047619,0.8117287994098294,1,1.4271079590228526,3,0.5739614994934145,0.675531914893617,0.9308510638297872,0.13297872340425532,0.18794496922843879,0.0353233114582788,-0.8063822877078322,-0.726796428769898,0.00228399978087087,0.0005414086057636686,0.04487823444431461,0.0,0.006281664255392009,3.9459305817469645e-05,4.575094056777992,22.280806677240935,0.6724764411760903,0.7044228413791449,0.8809167961197338,0.5055651829413025,0.07003270915112435,0.004904580351045976,-0.5970354770400166,-0.6234449882479862,0.06531054562284519,0.08466740446954095,0.09910273863780475,0.004531351933415955,0.032024021006918334,0.0010255379214515468,-0.8814250776076838,-0.9445014130556757,0.04966477352130472,10,0.16168817148117165,3,92,48.67724867724868,5,Venstre,38.04347826086957,"C0(92):[Venstre:35,Dansk Folkeparti:34,Liberal Alliance:12,Det Konservative Folkeparti:10,Socialdemokratiet:1] | C1(57):[Enhedslisten:23,Alternativet:13,Radikale Venstre:8,Socialistisk Folkeparti:7,Dansk Folkeparti:2] | C2(40):[Socialdemokratiet:36,Radikale Venstre:3,Socialistisk Folkeparti:1]",0.10211516836257836,0.49518304360465004,0.5159452190134877,0.06050245841718677,190,16531,176,13888,161,4137,161,2687,161,2687,0.20861801242236025,33.37888198757764,0.44087978924630883,1,2.1621894409937887,5,0.20861801242236025,0.21250000000000002,0.58125,0.00625,0.14539205954900175,0.02113885097990047,0.2569185703214216,-0.8336608977199158,0.007309367553420055,0.0020440251572327044,0.17566823899371067,0.0,0.01824396980829062,0.00033284243436581976,6.28599952893341,48.57535245567936,0.43585200355437365,0.4567317667493989,0.5808522123774815,0.2537222351471401,0.07606852405823379,0.005786420352398094,-0.5939569737975257,-0.6430808106182004,0.061614926243517026,0.06802983314662323,0.16161126812303125,0.00012107917280111909,0.0491404211238524,0.0024147809882295586,0.0727332991772969,-1.4193144052727293,0.023892900371178895,9,0.2294881737026849,4,51,31.67701863354037,8,Enhedslisten,41.17647058823529,"C0(51):[Enhedslisten:21,Alternativet:12,Radikale Venstre:8,Socialistisk Folkeparti:4,Dansk Folkeparti:2] | C1(46):[Dansk Folkeparti:14,Venstre:13,Socialdemokratiet:11,Det Konservative Folkeparti:4,Liberal Alliance:3] | C2(46):[Dansk Folkeparti:17,Socialdemokratiet:9,Venstre:8,Liberal Alliance:7,Det Konservative Folkeparti:5] | C3(18):[Socialdemokratiet:12,Venstre:6]",0.35315417393876786,0.13915625534467774,0.14388928508777726,0.029830042113366727
