voting_id,party,politician,vote_type
2629,Socialdemokratiet,Nicolai Wammen,1
2629,Socialdemokratiet,Christine Antorini,1
2629,Dansk Folkeparti,Alex Ahrendtsen,3
2629,Socialdemokratiet,Bjarne Corydon,3
2629,Venstre,Karsten Lauritzen,1
2629,Socialdemokratiet,Henrik Sass Larsen,3
2629,Socialistisk Folkeparti,Holger K. Nielsen,1
2629,Danmarksdemokraterne,Søren Espersen,1
2629,Socialdemokratiet,Astrid Krag,1
2629,Enhedslisten,Christian Juhl,3
2629,Socialistisk Folkeparti,Pia Olsen Dyhr,1
2629,Enhedslisten,Henning Hyllested,3
2629,Danmarksdemokraterne,Peter Skaarup,3
2629,Venstre,Erling Bonnesen,3
2629,Uden for folketingsgrupperne,Liselott Blixt,1
2629,Radikale Venstre,Marianne Jelved,3
2629,Dansk Folkeparti,Karin Nødgaard,1
2629,Socialdemokratiet,Nick Hækkerup,3
2629,Enhedslisten,Nikolaj Villumsen,3
2629,Enhedslisten,Pernille Skipper,1
2629,Dansk Folkeparti,Martin Henriksen (udpeget af DF),3
2629,Venstre,Karen Ellemann,1
2629,Liberal Alliance,Merete Riisager,1
2629,Socialdemokratiet,Mette Reissmann,1
2629,Uden for folketingsgrupperne,Kristian Thulesen Dahl,1
2629,Uden for folketingsgrupperne,Marie Krarup,3
2629,Dansk Folkeparti,Christian Langballe (udpeget af DF),3
2629,Venstre,Torsten Schack Pedersen,1
2629,Danmarksdemokraterne,Hans Kristian Skibby,3
2629,Det Konservative Folkeparti,Brian Mikkelsen,1
2629,Enhedslisten,Finn Sørensen,1
2629,Venstre,Louise Elholm,1
2629,Socialdemokratiet,Jesper Petersen,1
2629,Dansk Folkeparti,René Christensen,3
2629,Liberal Alliance,Ole Birk Olesen,3
2629,Radikale Venstre,Sofie Carsten Nielsen,3
2629,Dansk Folkeparti,Morten Marinus,3
2629,Venstre,Jan E. Jørgensen,1
2629,Liberal Alliance,Joachim B. Olsen,3
2629,Radikale Venstre,Lotte Rod,1
2629,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1
2629,Radikale Venstre,Morten Østergaard,3
2629,Uden for folketingsgrupperne,Simon Emil Ammitzbøll-Bille,1
2629,Socialdemokratiet,Trine Bramsen,3
2629,Danmarksdemokraterne,Dennis Flydtkjær,3
2629,Socialdemokratiet,Benny Engelbrecht,1
2629,Enhedslisten,Stine Brix,1
2629,Radikale Venstre,Andreas Steenberg,3
2629,Dansk Folkeparti,Kim Christiansen,3
2629,Venstre,Hans Christian Schmidt,1
2629,Venstre,Preben Bang Henriksen,1
2629,Venstre,Bertel Haarder,1
2629,Venstre,Sophie Løhde,1
2629,Venstre,Søren Pind,3
2629,Liberal Alliance,Mette Bock,3
2629,Socialdemokratiet,Mette Frederiksen,1
2629,Venstre,Thomas Danielsen,3
2629,Radikale Venstre,Martin Lidegaard,1
2629,Socialdemokratiet,Helle Thorning-Schmidt,3
2629,Moderaterne,Lars Løkke Rasmussen,3
2629,Enhedslisten,Johanne Schmidt-Nielsen,1
2629,Liberal Alliance,Anders Samuelsen,1
2629,Socialdemokratiet,Ida Auken,1
2629,Socialdemokratiet,Mogens Jensen,3
2629,Liberal Alliance,Villum Christensen,3
2629,Socialdemokratiet,Jan Johansen,3
2629,Danmarksdemokraterne,Karina Adsbøl,1
2629,Venstre,Ellen Trane Nørby,1
2629,Venstre,Hans Andersen,3
2629,Socialdemokratiet,Dan Jørgensen,1
2629,Venstre,Anni Matthiesen,1
2629,Socialdemokratiet,Pernille Rosenkrantz-Theil,1
2629,Venstre,Jacob Jensen,1
2629,Enhedslisten,Søren Søndergaard,3
2629,Venstre,Michael Aastrup Jensen,3
2629,Venstre,Peter Juel-Jensen,1
2629,Socialdemokratiet,Annette Lind,1
2629,Danmarksdemokraterne,Inger Støjberg,3
2629,Danmarksdemokraterne,Bent Bøgsted,1
2629,Socialdemokratiet,Lennart Damsbo-Andersen,3
