metadata_vote_id,vote_type,voting_id,aktør_id,metadata_opdateringsdato
1481475,3,5973,1886,2021-01-28T21:27:39.627
1481476,1,5973,1039,2018-02-16T10:35:23
1481477,1,5973,220,2018-02-16T10:35:23
1481478,1,5973,183,2018-02-16T10:35:23
1481479,1,5973,198,2018-02-16T10:35:23
1481480,3,5973,648,2021-01-28T21:27:39.633
1481481,1,5973,94,2018-02-16T10:35:23
1481482,1,5973,664,2018-02-16T10:35:23
1481483,1,5973,77,2018-02-16T10:35:23
1481484,1,5973,1885,2018-02-16T10:35:23
1481485,3,5973,1821,2021-01-28T21:27:39.637
1481486,3,5973,1398,2021-01-28T21:27:39.643
1481487,1,5973,1755,2018-02-16T10:35:23
1481488,1,5973,1470,2018-02-16T10:35:23
1481489,1,5973,49,2018-02-16T10:35:23
1481490,1,5973,1417,2018-02-16T10:35:23
1481491,1,5973,1455,2018-02-16T10:35:23
1481492,1,5973,1463,2018-02-16T10:35:23
1481493,3,5973,1751,2021-01-28T21:27:39.65
1481494,3,5973,1495,2021-01-28T21:27:39.657
1481495,1,5973,1727,2018-02-16T10:35:23
1481496,1,5973,149,2018-02-16T10:35:23
1481497,1,5973,856,2018-02-16T10:35:23
1481498,3,5973,1778,2021-01-28T21:27:39.663
1481499,1,5973,1881,2018-02-16T10:35:23
1481500,1,5973,647,2018-02-16T10:35:23
1481501,3,5973,351,2021-01-28T21:27:39.667
1481502,1,5973,258,2018-02-16T10:35:23
1481503,3,5973,126,2021-01-28T21:27:39.673
1481504,1,5973,8319,2018-02-16T10:35:23
1481505,1,5973,164,2018-02-16T10:35:23
1481506,1,5973,1779,2018-02-16T10:35:23
1481507,3,5973,1793,2021-01-28T21:27:39.68
1481508,1,5973,1891,2018-02-16T10:35:23
1481509,1,5973,1371,2018-02-16T10:35:23
1481510,1,5973,364,2018-02-16T10:35:23.003
1481511,3,5973,660,2021-01-28T21:27:39.687
1481512,3,5973,1833,2021-01-28T21:27:39.69
1481513,3,5973,1461,2021-01-28T21:27:39.697
1481514,1,5973,678,2018-02-16T10:35:23.003
1481515,1,5973,1759,2018-02-16T10:35:23.003
1481516,1,5973,55,2018-02-16T10:35:23.003
1481517,3,5973,1773,2021-01-28T21:27:39.703
1481518,1,5973,669,2018-02-16T10:35:23.003
1481519,1,5973,1914,2018-02-16T10:35:23.003
1481520,1,5973,271,2018-02-16T10:35:23.003
1481521,1,5973,652,2018-02-16T10:35:23.003
1481522,1,5973,1850,2018-02-16T10:35:23.003
1481523,1,5973,1815,2018-02-16T10:35:23.003
1481524,1,5973,1752,2018-02-16T10:35:23.003
1481525,3,5973,365,2021-01-28T21:27:39.707
1481526,3,5973,670,2021-01-28T21:27:39.713
1481527,1,5973,210,2018-02-16T10:35:23.003
1481528,1,5973,1912,2018-02-16T10:35:23.003
1481529,1,5973,1447,2018-02-16T10:35:23.003
1481530,1,5973,668,2018-02-16T10:35:23.003
1481531,1,5973,1844,2018-02-16T10:35:23.003
1481532,1,5973,1823,2018-02-16T10:35:23.003
1481533,3,5973,1882,2021-01-28T21:27:39.72
1481534,3,5973,252,2021-01-28T21:27:39.723
1481535,3,5973,672,2021-01-28T21:27:39.73
1481536,1,5973,280,2018-02-16T10:35:23.003
1481537,1,5973,1777,2018-02-16T10:35:23.003
1481538,1,5973,235,2018-02-16T10:35:23.003
1481539,1,5973,1739,2018-02-16T10:35:23.003
1481540,1,5973,1557,2018-02-16T10:35:23.003
1481541,3,5973,1745,2021-01-28T21:27:39.733
1481542,1,5973,1790,2018-02-16T10:35:23.003
1481543,1,5973,216,2018-02-16T10:35:23.003
1481544,1,5973,211,2018-02-16T10:35:23.003
1481545,1,5973,108,2018-02-16T10:35:23.003
1481546,1,5973,1805,2018-02-16T10:35:23.003
1481547,1,5973,131,2018-02-16T10:35:23.003
1481548,3,5973,1746,2021-01-28T21:27:39.74
1481549,1,5973,1623,2018-02-16T10:35:23.003
1481550,3,5973,138,2021-01-28T21:27:39.75
1481551,1,5973,1047,2018-02-16T10:35:23.003
1481552,3,5973,1845,2021-01-28T21:27:39.757
1481553,1,5973,794,2018-02-16T10:35:23.003
1481554,3,5973,1911,2021-01-28T21:27:39.767
