source,target,weight,total_votes_agreed,total_votes_shared,source_party,target_party,period,topic
Frank Aaen,Pia Olsen Dyhr,0.7608695652173914,35,46,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Peter Skaarup,0.3333333333333333,4,12,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Kristian Thulesen Dahl,0.38461538461538464,5,13,Enhedslisten,Uden for folketingsgrupperne,68,klima
Frank Aaen,Carsten Hansen,0.74,37,50,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Margrethe Vestager,0.75,9,12,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Simon Emil Ammitzbøll-Bille,0.47058823529411764,16,34,Enhedslisten,Uden for folketingsgrupperne,68,klima
Frank Aaen,Helle Thorning-Schmidt,0.2,1,5,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Lars Barfoed,0.48214285714285715,27,56,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Mogens Jensen,0.8863636363636364,39,44,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Sofie Carsten Nielsen,0.6153846153846154,24,39,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Andreas Steenberg,0.8026315789473685,61,76,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Hans Andersen,0.5945945945945946,44,74,Enhedslisten,Venstre,68,klima
Frank Aaen,Anni Matthiesen,0.5483870967741935,34,62,Enhedslisten,Venstre,68,klima
Frank Aaen,Pernille Rosenkrantz-Theil,0.8421052631578947,32,38,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Per Clausen,1.0,54,54,Enhedslisten,Enhedslisten,68,klima
Frank Aaen,Jacob Jensen,0.6666666666666666,6,9,Enhedslisten,Venstre,68,klima
Frank Aaen,Michael Aastrup Jensen,1.0,3,3,Enhedslisten,Venstre,68,klima
Frank Aaen,Sara Olsvig,1.0,1,1,Enhedslisten,Inuit Ataqatigiit,68,klima
Frank Aaen,Annette Lind,1.0,1,1,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Inger Støjberg,1.0,1,1,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Bent Bøgsted,1.0,1,1,Enhedslisten,Danmarksdemokraterne,68,klima
Frank Aaen,Lennart Damsbo-Andersen,1.0,1,1,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Julie Skovsby,1.0,1,1,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Mai Mercado,1.0,1,1,Enhedslisten,Det Konservative Folkeparti,68,klima
Frank Aaen,Thyra Frank,1.0,1,1,Enhedslisten,Liberal Alliance,68,klima
Frank Aaen,Zenia Stampe,1.0,1,1,Enhedslisten,Radikale Venstre,68,klima
Frank Aaen,Fatma Øktem,1.0,1,1,Enhedslisten,Venstre,68,klima
Frank Aaen,Karsten Nonbo,1.0,1,1,Enhedslisten,Venstre,68,klima
Frank Aaen,Pernille Vigsø Bagge,1.0,1,1,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Mette Gjerskov,1.0,1,1,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Anne Baastrup,1.0,1,1,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Jane Heitmann,1.0,1,1,Enhedslisten,Venstre,68,klima
Frank Aaen,Thomas Jensen,1.0,1,1,Enhedslisten,Socialdemokratiet,68,klima
Frank Aaen,Jonas Dahl,1.0,1,1,Enhedslisten,Socialistisk Folkeparti,68,klima
Frank Aaen,Troels Lund Poulsen,1.0,1,1,Enhedslisten,Venstre,68,klima
Frank Aaen,Jakob Ellemann-Jensen,1.0,1,1,Enhedslisten,Venstre,68,klima
Alex Ahrendtsen,Bjarne Corydon,0.2,2,10,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Karsten Lauritzen,0.6911764705882353,47,68,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Henrik Sass Larsen,0.48484848484848486,16,33,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Søren Espersen,1.0,25,25,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Astrid Krag,0.5079365079365079,32,63,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Christian Juhl,0.43548387096774194,27,62,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Erling Bonnesen,0.7083333333333334,51,72,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Liselott Blixt,1.0,68,68,Dansk Folkeparti,Uden for folketingsgrupperne,68,klima
Alex Ahrendtsen,Annette Vilhelmsen,0.43478260869565216,30,69,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Flemming Damgaard Larsen,0.6989247311827957,65,93,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Nikolaj Villumsen,0.5471698113207547,29,53,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Tom Behnke,0.6376811594202898,44,69,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Karen Ellemann,0.75,51,68,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Jeppe Mikkelsen,0.5063291139240507,40,79,Dansk Folkeparti,Radikale Venstre,68,klima
