vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1484350,2,5986,1371,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Per Dalgaard,Dansk Folkeparti
1484348,2,5986,77,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Kristian Thulesen Dahl,Dansk Folkeparti
1484347,2,5986,664,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Pia Christmas-Møller,Det Konservative Folkeparti
1484346,2,5986,94,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Peter Christensen,Venstre
1484345,3,5986,1325,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Ole Vagn Christensen,Socialdemokratiet
1484344,2,5986,648,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Carina Christensen,Det Konservative Folkeparti
1484343,3,5986,198,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anne Baastrup,Socialistisk Folkeparti
1484342,2,5986,183,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Bent Bøgsted,Dansk Folkeparti
1484341,1,5986,220,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Morten Bødskov,Socialdemokratiet
1484360,1,5986,138,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Mette Frederiksen,Socialdemokratiet
1484361,3,5986,1047,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Louise Frevert,Dansk Folkeparti
1484362,3,5986,1845,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Søren Gade,Venstre
1484381,3,5986,350,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Gitte Lillelund Bech,Venstre
1484377,3,5986,1455,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,René Skau Björnsson,Socialdemokratiet
1484374,2,5986,1755,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Colette L. Brix,Dansk Folkeparti
1484368,2,5986,265,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Eva Kjer Hansen,Venstre
1484367,3,5986,663,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Christian H. Hansen,Dansk Folkeparti
1484383,2,5986,149,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Lars Barfoed,Det Konservative Folkeparti
1484429,3,5986,1557,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Bodil Kornbek,Kristendemokraterne
1484431,3,5986,676,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Søren Krarup,Dansk Folkeparti
1484493,2,5986,1769,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Birthe Skaarup (udpeget af DF),Dansk Folkeparti
1484492,3,5986,1556,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jann Sjursen,Kristendemokraterne
1484491,3,5986,1299,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Helle Sjelle,Det Konservative Folkeparti
1484490,1,5986,1280,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Niels Sindal,Socialdemokratiet
1484489,3,5986,1757,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Irene Simonsen,Venstre
1484495,3,5986,226,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Ole Sohn,Socialistisk Folkeparti
1484486,2,5986,125,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Hans Christian Schmidt,Venstre
1484484,2,5986,725,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Preben Rudiengaard,Venstre
1484483,3,5986,172,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Pernille Rosenkrantz-Theil,Enhedslisten
1484482,2,5986,661,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jens Rohde,Venstre
1484481,2,5986,145,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Lars Løkke Rasmussen,Venstre
1484480,2,5986,234,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Anders Fogh Rasmussen,Venstre
