vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1535234,3,6270,265,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Eva Kjer Hansen,Venstre
1535233,1,6270,663,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Christian H. Hansen,Dansk Folkeparti
1535227,1,6270,1845,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Søren Gade,Venstre
1535226,1,6270,95,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Steen Gade,Socialistisk Folkeparti
1535225,3,6270,1047,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Louise Frevert,Dansk Folkeparti
1535224,1,6270,138,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Mette Frederiksen,Socialdemokratiet
1535239,1,6270,1444,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Poul Henrik Hedeboe,Socialistisk Folkeparti
1535240,1,6270,1887,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Connie Hedegaard,Det Konservative Folkeparti
1535261,1,6270,210,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Birgitte Josefsen,Venstre
1535260,1,6270,670,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Lars Emil Johansen,Siumut
1535256,1,6270,271,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Kristian Jensen,Venstre
1535253,1,6270,55,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Marianne Jelved,Radikale Venstre
1535252,1,6270,129,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Bertel Haarder,Venstre
1535251,1,6270,678,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Klaus Hækkerup (udpeget af S),Socialdemokratiet
1535249,3,6270,1461,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Rikke Hvilshøj,Venstre
1535248,1,6270,1833,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Høgni Hoydal,Tjóðveldi
1535246,3,6270,364,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Birthe Rønn Hornbech,Venstre
1535244,1,6270,1883,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti
1535243,1,6270,2103,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Britta Schall Holberg,Venstre
1535241,1,6270,70,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Martin Henriksen (udpeget af DF),Dansk Folkeparti
1535219,1,6270,131,1,True,66,klima_miljø,"['klima_miljø', 'sundhed']",2005-02-23 13:00:00,2005-02,Lene Espersen,Det Konservative Folkeparti
