voting_id,party,politician,vote_type
1,Enhedslisten,Frank Aaen,1
1,Socialdemokratiet,Nicolai Wammen,3
1,Inuit Ataqatigiit,Sara Olsvig,3
1,Socialdemokratiet,Christine Antorini,3
1,Dansk Folkeparti,Alex Ahrendtsen,1
1,Socialdemokratiet,Bjarne Corydon,3
1,Venstre,Karsten Lauritzen,1
1,Socialdemokratiet,Henrik Sass Larsen,1
1,Socialistisk Folkeparti,Holger K. Nielsen,3
1,Danmarksdemokraterne,Søren Espersen,1
1,Socialdemokratiet,Astrid Krag,1
1,Enhedslisten,Christian Juhl,3
1,Socialistisk Folkeparti,Pia Olsen Dyhr,3
1,Enhedslisten,Henning Hyllested,3
1,Socialdemokratiet,Karen Hækkerup (udpeget af S),3
1,Danmarksdemokraterne,Peter Skaarup,3
1,Venstre,Erling Bonnesen,1
1,Uden for folketingsgrupperne,Liselott Blixt,1
1,Radikale Venstre,Marianne Jelved,3
1,Dansk Folkeparti,Karin Nødgaard,3
1,Moderaterne,Jakob Engel-Schmidt,3
1,Radikale Venstre,Rasmus Helveg Petersen,3
1,Socialistisk Folkeparti,Annette Vilhelmsen,1
1,Venstre,Flemming Damgaard Larsen,1
1,Socialdemokratiet,Nick Hækkerup,3
1,Enhedslisten,Nikolaj Villumsen,1
1,Enhedslisten,Pernille Skipper,1
1,Dansk Folkeparti,Martin Henriksen (udpeget af DF),3
1,Det Konservative Folkeparti,Tom Behnke,1
1,Venstre,Karen Ellemann,1
1,Liberal Alliance,Merete Riisager,3
1,Socialdemokratiet,Mette Reissmann,3
1,Radikale Venstre,Jeppe Mikkelsen,1
1,Uden for folketingsgrupperne,Kristian Thulesen Dahl,3
1,Uden for folketingsgrupperne,Marie Krarup,3
1,Dansk Folkeparti,Christian Langballe (udpeget af DF),1
1,Venstre,Torsten Schack Pedersen,1
1,Venstre,Mads Rørvig,1
1,Danmarksdemokraterne,Hans Kristian Skibby,3
1,Det Konservative Folkeparti,Brian Mikkelsen,3
1,Socialdemokratiet,Troels Ravn,1
1,Socialistisk Folkeparti,Özlem Sara Cekic,1
1,Radikale Venstre,Marlene Borst Hansen,1
1,Enhedslisten,Finn Sørensen,1
1,Venstre,Martin Geertsen,3
1,Socialdemokratiet,Carsten Hansen,3
1,Venstre,Louise Elholm,1
1,Venstre,Peter Christensen,1
1,Socialistisk Folkeparti,Steen Gade,3
1,Det Konservative Folkeparti,Mike Legarth,1
1,Socialdemokratiet,Jesper Petersen,1
1,Dansk Folkeparti,René Christensen,1
1,Liberal Alliance,Ole Birk Olesen,1
1,Radikale Venstre,Sofie Carsten Nielsen,3
1,Dansk Folkeparti,Morten Marinus,1
1,Venstre,Jan E. Jørgensen,1
1,Socialdemokratiet,Anne Sina,3
1,Radikale Venstre,Margrethe Vestager,3
1,Det Konservative Folkeparti,Charlotte Dyremose,1
1,Enhedslisten,Trine Pertou Mach,1
1,Enhedslisten,Rosa Lund,3
1,Liberal Alliance,Joachim B. Olsen,1
1,Radikale Venstre,Lotte Rod,1
1,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1
1,Radikale Venstre,Morten Østergaard,3
1,Uden for folketingsgrupperne,Simon Emil Ammitzbøll-Bille,3
1,Socialdemokratiet,Trine Bramsen,1
1,Danmarksdemokraterne,Dennis Flydtkjær,1
1,Socialdemokratiet,Benny Engelbrecht,1
1,Socialistisk Folkeparti,Karina Lorentzen Dehnhardt,1
1,Enhedslisten,Stine Brix,1
1,Radikale Venstre,Andreas Steenberg,3
1,Dansk Folkeparti,Kim Christiansen,3
1,Venstre,Hans Christian Schmidt,3
1,Venstre,Kim Andersen (udpeget af V),3
1,Venstre,Preben Bang Henriksen,1
1,Venstre,Bertel Haarder,3
1,Venstre,Sophie Løhde,1
1,Det Konservative Folkeparti,Lene Espersen,1
1,Venstre,Søren Pind,3
1,Socialdemokratiet,John Dyrby Paulsen,1
1,Liberal Alliance,Mette Bock,1
1,Socialdemokratiet,Mette Frederiksen,1
1,Venstre,Thomas Danielsen,1
1,Socialdemokratiet,Helle Thorning-Schmidt,3
1,Moderaterne,Lars Løkke Rasmussen,3
1,Enhedslisten,Johanne Schmidt-Nielsen,1
1,Liberal Alliance,Anders Samuelsen,1
1,Det Konservative Folkeparti,Lars Barfoed,3
1,Socialdemokratiet,Ida Auken,3
1,Det Konservative Folkeparti,Per Stig Møller,3
1,Socialdemokratiet,Mogens Jensen,3
1,Liberal Alliance,Villum Christensen,3
1,Radikale Venstre,Lone Loklindt,1
1,Socialistisk Folkeparti,Eigil Andersen,1
1,Enhedslisten,Lars Dohn,3
1,Socialdemokratiet,Jan Johansen,1
1,Radikale Venstre,Liv Holm Andersen,1
1,Danmarksdemokraterne,Karina Adsbøl,1
1,Venstre,Ellen Trane Nørby,3
2,Enhedslisten,Frank Aaen,1
2,Socialdemokratiet,Nicolai Wammen,3
2,Inuit Ataqatigiit,Sara Olsvig,3
2,Socialdemokratiet,Christine Antorini,3
2,Dansk Folkeparti,Alex Ahrendtsen,1
2,Socialdemokratiet,Bjarne Corydon,1
2,Venstre,Karsten Lauritzen,1
2,Socialdemokratiet,Henrik Sass Larsen,1
2,Socialistisk Folkeparti,Holger K. Nielsen,3
2,Danmarksdemokraterne,Søren Espersen,1
2,Socialdemokratiet,Astrid Krag,1
2,Enhedslisten,Christian Juhl,1
2,Socialistisk Folkeparti,Pia Olsen Dyhr,3
2,Enhedslisten,Henning Hyllested,3
2,Socialdemokratiet,Karen Hækkerup (udpeget af S),3
2,Danmarksdemokraterne,Peter Skaarup,3
2,Venstre,Erling Bonnesen,1
2,Uden for folketingsgrupperne,Liselott Blixt,1
2,Radikale Venstre,Marianne Jelved,3
2,Dansk Folkeparti,Karin Nødgaard,3
2,Moderaterne,Jakob Engel-Schmidt,3
2,Radikale Venstre,Rasmus Helveg Petersen,3
2,Socialistisk Folkeparti,Annette Vilhelmsen,1
2,Venstre,Flemming Damgaard Larsen,1
2,Socialdemokratiet,Nick Hækkerup,3
2,Enhedslisten,Nikolaj Villumsen,1
2,Enhedslisten,Pernille Skipper,3
2,Dansk Folkeparti,Martin Henriksen (udpeget af DF),3
2,Det Konservative Folkeparti,Tom Behnke,2
2,Venstre,Karen Ellemann,1
2,Liberal Alliance,Merete Riisager,3
2,Socialdemokratiet,Mette Reissmann,3
2,Radikale Venstre,Jeppe Mikkelsen,1
2,Uden for folketingsgrupperne,Kristian Thulesen Dahl,3
2,Uden for folketingsgrupperne,Marie Krarup,3
2,Dansk Folkeparti,Christian Langballe (udpeget af DF),1
2,Venstre,Torsten Schack Pedersen,1
2,Venstre,Mads Rørvig,1
2,Danmarksdemokraterne,Hans Kristian Skibby,3
2,Det Konservative Folkeparti,Brian Mikkelsen,2
2,Socialdemokratiet,Troels Ravn,1
2,Socialistisk Folkeparti,Özlem Sara Cekic,1
2,Radikale Venstre,Marlene Borst Hansen,1
2,Enhedslisten,Finn Sørensen,1
2,Venstre,Martin Geertsen,3
2,Socialdemokratiet,Carsten Hansen,3
2,Venstre,Louise Elholm,1
2,Venstre,Peter Christensen,1
2,Socialistisk Folkeparti,Steen Gade,3
2,Det Konservative Folkeparti,Mike Legarth,2
2,Socialdemokratiet,Jesper Petersen,1
2,Dansk Folkeparti,René Christensen,1
2,Liberal Alliance,Ole Birk Olesen,2
2,Radikale Venstre,Sofie Carsten Nielsen,3
2,Dansk Folkeparti,Morten Marinus,1
2,Venstre,Jan E. Jørgensen,1
2,Socialdemokratiet,Anne Sina,3
2,Radikale Venstre,Margrethe Vestager,3
2,Det Konservative Folkeparti,Charlotte Dyremose,2
2,Enhedslisten,Trine Pertou Mach,1
2,Enhedslisten,Rosa Lund,3
2,Liberal Alliance,Joachim B. Olsen,2
2,Radikale Venstre,Lotte Rod,1
