source,target,topic,65,66,67,68,69,70,71
Inuit Ataqatigiit,Socialistisk Folkeparti,klima,,,,1.0,,,0.3333333333333333
Inuit Ataqatigiit,Uden for folketingsgrupperne,klima,,,,1.0,,,
Inuit Ataqatigiit,Venstre,klima,,,,1.0,,,1.0
Kristendemokraterne,Danmarksdemokraterne,klima,0.5,,,,,,
Kristendemokraterne,Dansk Folkeparti,klima,0.5,,,,,,
Kristendemokraterne,Det Konservative Folkeparti,klima,0.5,,,,,,
Kristendemokraterne,Enhedslisten,klima,0.0,,,,,,
Kristendemokraterne,Liberal Alliance,klima,0.5,,,,,,
Kristendemokraterne,Radikale Venstre,klima,0.5,,,,,,
Kristendemokraterne,Socialdemokratiet,klima,0.5,,,,,,
Kristendemokraterne,Socialistisk Folkeparti,klima,0.5,,,,,,
Kristendemokraterne,Uden for folketingsgrupperne,klima,0.5,,,,,,
Kristendemokraterne,Venstre,klima,0.5,,,,,,
Liberal Alliance,Dansk Folkeparti,klima,1.0,0.8733459357277883,0.8261494252873564,0.6092920353982301,0.7900874635568513,0.5993265993265994,0.6526315789473685
Liberal Alliance,Det Konservative Folkeparti,klima,1.0,0.9981751824817519,0.8688888888888889,0.7261390887290168,0.9111969111969112,0.8108108108108109,0.7671641791044777
Liberal Alliance,Enhedslisten,klima,0.5,,,,,,0.5971769815418024
Liberal Alliance,Javnaðarflokkurin,klima,,,,,,,0.0
Liberal Alliance,Moderaterne,klima,,1.0,1.0,0.6666666666666666,0.9624664879356568,0.75,0.7432432432432432
Liberal Alliance,Radikale Venstre,klima,0.25,,,,,,0.7378378378378379
Liberal Alliance,Sambandsflokkurin,klima,,,0.8888888888888888,,,,
Liberal Alliance,Socialistisk Folkeparti,klima,0.17647058823529413,0.31016042780748665,0.5166872682323856,0.5655249441548772,0.46389994314951677,0.4603174603174603,0.6991017964071856
Liberal Alliance,Uden for folketingsgrupperne,klima,0.8125,0.7611940298507462,0.8062015503875969,0.6721611721611722,0.8350803633822502,0.5869565217391305,
Liberal Alliance,Venstre,klima,1.0,0.9981378026070763,0.8464120856063785,0.7194975277295202,0.9613230661533076,0.7908461947844598,0.7224137931034482
Moderaterne,Dansk Folkeparti,klima,,0.9707602339181286,0.8727272727272727,0.6512820512820513,0.7217573221757322,0.5,0.49019607843137253
Moderaterne,Javnaðarflokkurin,klima,,,,,,,1.0
Moderaterne,Socialistisk Folkeparti,klima,,0.42748091603053434,0.41304347826086957,0.8087649402390438,0.42452830188679247,0.5,0.746031746031746
Moderaterne,Uden for folketingsgrupperne,klima,,0.7767857142857143,0.8,0.6571428571428571,0.7421383647798742,0.5,
Moderaterne,Venstre,klima,,0.9941348973607038,1.0,0.9926793557833089,1.0,1.0,0.9975757575757576
Naleraq,Alternativet,klima,,,,,,,1.0
Naleraq,Danmarksdemokraterne,klima,,,,,,,1.0
Naleraq,Dansk Folkeparti,klima,,,,,,,0.0
Naleraq,Det Konservative Folkeparti,klima,,,,,,,1.0
Naleraq,Enhedslisten,klima,,,,,,,1.0
Naleraq,Javnaðarflokkurin,klima,,,,,,,0.0
Naleraq,Liberal Alliance,klima,,,,,,,1.0
Naleraq,Moderaterne,klima,,,,,,,1.0
Naleraq,Radikale Venstre,klima,,,,,,,1.0
Naleraq,Socialistisk Folkeparti,klima,,,,,,,1.0
Naleraq,Venstre,klima,,,,,,,1.0
Radikale Venstre,Dansk Folkeparti,klima,0.25,0.46863270777479893,0.5516062884483938,0.5349850883230098,0.47320692497938993,0.4913644214162349,0.5182926829268293
Radikale Venstre,Det Konservative Folkeparti,klima,0.2777777777777778,0.5364274150026983,0.6605128205128206,0.7491905354919054,0.6501901140684411,0.6171617161716172,0.6388888888888888
Radikale Venstre,Enhedslisten,klima,1.0,,,,,,0.7502088554720133
Radikale Venstre,Javnaðarflokkurin,klima,,,,,,,0.4
Radikale Venstre,Liberal Alliance,klima,,0.5245283018867924,0.6646341463414634,0.5477482365708085,0.5806451612903226,0.5469483568075117,
Radikale Venstre,Moderaterne,klima,,0.5609756097560976,1.0,0.7981366459627329,0.5911949685534591,0.5,0.8055555555555556
Radikale Venstre,Sambandsflokkurin,klima,,,0.9166666666666666,,,1.0,
Radikale Venstre,Socialistisk Folkeparti,klima,1.0,0.7670221493027072,0.8415554265815438,0.9850115295926211,0.7420104590354445,0.8737864077669902,0.8636363636363636
Radikale Venstre,Uden for folketingsgrupperne,klima,0.3333333333333333,0.7169811320754716,0.5821325648414986,0.4972144846796657,0.4688142563399589,0.5270049099836334,
Radikale Venstre,Venstre,klima,0.2571428571428571,0.532843844237577,0.6350407450523865,0.728429203539823,0.6075756215779553,0.6222253245846713,0.7703608247422681
Sambandsflokkurin,Dansk Folkeparti,klima,,,0.8867924528301887,,,1.0,
Sambandsflokkurin,Det Konservative Folkeparti,klima,,,1.0,,,1.0,
Sambandsflokkurin,Liberal Alliance,klima,,,,,,0.0,
Sambandsflokkurin,Moderaterne,klima,,,0.0,,,0.0,
Sambandsflokkurin,Socialistisk Folkeparti,klima,,,0.6231884057971014,,,1.0,
Sambandsflokkurin,Uden for folketingsgrupperne,klima,,,0.9,,,1.0,
Sambandsflokkurin,Venstre,klima,,,1.0,,,1.0,
Siumut,Dansk Folkeparti,klima,,1.0,,,,,
Siumut,Det Konservative Folkeparti,klima,,1.0,,,,,
Siumut,Enhedslisten,klima,,1.0,,,,,
Siumut,Liberal Alliance,klima,,1.0,,,,,
Siumut,Moderaterne,klima,,0.0,,,,,
Siumut,Radikale Venstre,klima,,1.0,,,,,
Siumut,Socialistisk Folkeparti,klima,,1.0,,,,,
Siumut,Uden for folketingsgrupperne,klima,,1.0,,,,,
Siumut,Venstre,klima,,1.0,,,,,
Socialdemokratiet,Alternativet,klima,,,,,0.49290060851926976,0.6673448626653102,0.6123919308357348
Socialdemokratiet,Danmarksdemokraterne,klima,0.18181818181818182,0.5164334526521315,0.4823804204326191,0.5308924485125858,0.6249200824039213,0.5796587818346658,0.5939679934345506
Socialdemokratiet,Dansk Folkeparti,klima,0.18181818181818182,0.49167207441055594,0.47814519194222727,0.5477532148533449,0.5749501992031872,0.5457142857142857,0.5307692307692308
Socialdemokratiet,Det Konservative Folkeparti,klima,0.22113022113022113,0.5790602874919545,0.5795793309042729,0.7698400372728684,0.8160152526215443,0.7047477744807121,0.6424161838731124
Socialdemokratiet,Enhedslisten,klima,1.0,0.5815412186379928,0.7386915887850467,0.743308434484905,0.4614026414294795,0.6908218356328735,0.5575094717277861
Socialdemokratiet,Javnaðarflokkurin,klima,,,,,,,1.0
Socialdemokratiet,Liberal Alliance,klima,0.18181818181818182,0.5735294117647058,0.5299653293709757,0.5520655513827245,0.7646636341872157,0.6340545625587959,0.7351973684210527
Socialdemokratiet,Moderaterne,klima,,0.5066666666666667,0.23493975903614459,0.8100358422939068,0.7470106985525488,0.5,1.0
Socialdemokratiet,Naleraq,klima,,,,,,,1.0
Socialdemokratiet,Radikale Venstre,klima,1.0,0.7646934012306387,0.8589298123697012,0.9992825112107623,0.729655744504355,0.848392596200682,0.7675929267412487
Socialdemokratiet,Sambandsflokkurin,klima,,,0.6645161290322581,,,1.0,
Socialdemokratiet,Siumut,klima,,1.0,,,,,
Socialdemokratiet,Socialistisk Folkeparti,klima,1.0,0.7362688657227322,0.9371935559187485,0.9822173166544027,0.6091782861784215,0.7900510204081632,0.726969927674153
Socialdemokratiet,Uden for folketingsgrupperne,klima,0.30434782608695654,0.6761535144458819,0.5133640552995392,0.5144216473386857,0.6011137629276054,0.5705755515010781,
Socialdemokratiet,Venstre,klima,0.1912632821723731,0.5896881101905114,0.5581839051932742,0.7471693144913544,0.7796066083258363,0.7115578734858681,0.9946929654935327
Socialistisk Folkeparti,Javnaðarflokkurin,klima,,,,,,,0.3333333333333333
Socialistisk Folkeparti,Uden for folketingsgrupperne,klima,0.30357142857142855,0.5520121488230828,0.48813760379596677,0.5116129032258064,0.470314318975553,0.5151515151515151,
Socialistisk Folkeparti,Venstre,klima,0.18620689655172415,0.3629354933151166,0.5439511265029767,0.7314073226544623,0.4817241881462065,0.572855464159812,0.7295690936106983
Venstre,Javnaðarflokkurin,klima,,,,,,,1.0
Venstre,Uden for folketingsgrupperne,klima,0.8161764705882353,0.7633265167007498,0.8781627092253795,0.704971098265896,0.8252427184466019,0.7196048632218845,
