aktørid,aktør,relation_start,relation_end,party_clean
1502,Karl H. Bornhøft,2007-11-13,2014-11-03,Socialistisk Folkeparti
1503,Hans Vestager,2012-03-05,2012-10-01,Radikale Venstre
1504,Laura Lindahl,2012-10-23,2018-10-01,Liberal Alliance
1513,Kisser Franciska Lehnert,2012-10-02,2012-10-01,Liberal Alliance
1556,Jann Sjursen,1998-03-11,2003-10-29,Kristendemokraterne
1556,Jann Sjursen,2003-10-30,2025-12-02,Kristendemokraterne
1557,Bodil Kornbek,2001-11-20,2003-10-29,Kristendemokraterne
1557,Bodil Kornbek,2003-10-30,2025-12-02,Kristendemokraterne
1558,Tove Videbæk,1998-03-11,2003-10-29,Kristendemokraterne
1558,Tove Videbæk,2003-10-30,2025-12-02,Kristendemokraterne
1618,Walter Christophersen,2005-02-08,2025-12-02,Dansk Folkeparti
1619,Yildiz Akdogan,2007-11-13,2025-10-06,Socialdemokratiet
1623,Aage Frandsen,1971-10-05,2003-10-06,Socialistisk Folkeparti
1636,Aase D. Madsen (udpeget af DF),1998-10-06,2003-10-06,Dansk Folkeparti
1718,Svend Heiselberg,1980-10-07,2003-10-06,Venstre
1727,Jette Bergenholz Bautrup,2002-10-01,2003-10-06,Socialdemokratiet
1730,Elsebeth Gerner Nielsen,1994-10-04,2003-10-06,Radikale Venstre
1731,Flemming Hansen,1984-10-02,2003-10-06,Det Konservative Folkeparti
1739,Thor Gunnar Kofoed,2002-10-01,2003-10-06,Venstre
1740,Karina Sørensen,2002-10-01,2003-10-06,Dansk Folkeparti
1744,Kamal Qureshi,2002-10-01,2010-10-04,Socialistisk Folkeparti
1745,Ulrik Kragh,2001-02-04,2008-10-28,Venstre
1746,Tove Fergo,1994-10-04,2003-10-06,Venstre
1747,Jytte Wittrock,1994-10-04,2003-10-06,Socialdemokratiet
1749,Jens Vibjerg (udpeget af V),1994-10-04,2010-10-04,Venstre
1751,Inger Bierbaum,1994-10-04,2003-10-06,Socialdemokratiet
1752,Jørn Jespersen,1987-10-06,2003-10-06,Socialistisk Folkeparti
1753,Flemming Oppfeldt,1994-10-04,2004-10-18,Venstre
1753,Flemming Oppfeldt,2004-10-19,2025-12-02,Uden for Folketingsgrupperne
1755,Colette L. Brix,2002-10-01,2010-10-04,Dansk Folkeparti
1757,Irene Simonsen,2002-10-01,2010-10-26,Venstre
1759,Kaj Ikast,1983-06-28,2003-10-06,Det Konservative Folkeparti
1760,Helga Moos,1998-10-06,2003-10-06,Venstre
1761,Else Theill Sørensen,1987-10-06,2003-10-06,Det Konservative Folkeparti
1767,Arne Toft,2002-10-01,2003-10-06,Socialdemokratiet
1768,Grete Schødts,1988-10-04,2003-10-06,Socialdemokratiet
1769,Birthe Skaarup (udpeget af DF),1998-10-06,2005-02-07,Dansk Folkeparti
1770,Erik Mortensen,1994-10-04,2003-10-06,Socialdemokratiet
1771,Uno Larsson,2002-10-01,2003-10-06,Dansk Folkeparti
1773,Carsten Bo Jensen,2002-10-01,2003-10-06,Socialdemokratiet
1774,Jørgen Winther,1988-10-04,2003-10-06,Venstre
1777,Anita Knakkergaard,2002-10-01,2010-10-04,Dansk Folkeparti
1778,Svend Auken,1973-10-02,2008-10-06,Socialdemokratiet
1779,Else Winther Andersen,1991-10-01,2003-10-06,Venstre
1790,Freddy Dam (udpeget af V),2002-10-01,2003-10-06,Venstre
1791,Henrik Vestergaard,2002-10-01,2003-10-06,Venstre
1792,Svend Aage Jensby,1991-10-01,2003-10-06,Venstre
1793,Keld Albrechtsen,1984-10-02,1994-09-20,Venstresocialisterne
1793,Keld Albrechtsen,1994-09-21,1995-10-02,Enhedslisten
1793,Keld Albrechtsen,1995-10-03,2003-10-06,Enhedslisten
1804,Jan Petersen (udpeget af S),1991-10-01,2003-10-06,Socialdemokratiet
1805,Inge-Lene Ebdrup,2002-10-01,2007-08-14,Venstre
1805,Inge-Lene Ebdrup,2007-08-15,2025-12-02,Ny Alliance
1811,Erik Larsen (udpeget af V),1991-10-01,2003-10-06,Venstre
1814,Gudrun Laub,2002-10-01,2006-11-13,Venstre
1815,Jette Jespersen,2002-10-01,2003-10-06,Dansk Folkeparti
1817,Jens Christian Larsen,2002-10-01,2003-10-06,Venstre
1818,Ester Larsen,1994-10-04,2003-10-06,Venstre
1821,Sven Buhrkall,2002-10-01,2003-10-06,Venstre
1822,Jens Peter Vernersen,1994-10-04,2010-10-04,Socialdemokratiet
1823,Knud Erik Kirkegaard,1984-10-02,2003-10-06,Det Konservative Folkeparti
1824,Anders Møller,2002-10-01,2003-10-06,Venstre
1824,Anders Møller,2003-10-07,2025-12-02,Uden for Folketingsgrupperne
1829,Thor Pedersen,1985-01-01,2010-10-04,Venstre
1830,Helge Mortensen,1984-10-02,2003-10-06,Socialdemokratiet
1831,Freddie H. Madsen,2002-10-01,2003-10-06,Dansk Folkeparti
1833,Høgni Hoydal,2001-11-20,2010-12-16,Tjóðveldi
1833,Høgni Hoydal,2010-12-17,2017-10-02,Tjóðveldi
1844,Jens Kirk,1994-10-04,2010-10-04,Venstre
1845,Søren Gade,2002-10-01,2025-10-06,Venstre
1850,Christian Lund Jepsen,2003-03-12,2003-10-06,Venstre
1879,Lars Kramer Mikkelsen,1998-10-06,2003-10-06,Socialdemokratiet
1880,Anne-Marie Meldgaard,1991-10-01,2010-10-04,Socialdemokratiet
1881,Elisabeth Arnold,1988-10-04,2003-10-06,Radikale Venstre
1882,Henriette Kjær,1994-10-04,2010-10-04,Det Konservative Folkeparti
1883,Anne Grete Holmsgaard (udpeget af SF),1980-10-07,1986-06-30,Venstresocialisterne
1883,Anne Grete Holmsgaard (udpeget af SF),1986-07-01,1986-09-11,Uden for Folketingsgrupperne
1883,Anne Grete Holmsgaard (udpeget af SF),1986-09-12,2010-10-04,Socialistisk Folkeparti
1885,Inge Dahl-Sørensen,1988-10-04,2003-10-06,Venstre
1886,Jacob Buksti,1994-10-04,2003-10-06,Socialdemokratiet
1887,Connie Hedegaard,1984-10-02,2009-10-05,Det Konservative Folkeparti
1891,Thomas Adelskov,2000-09-01,2009-10-05,Socialdemokratiet
1911,Henning Gjellerod,1991-10-01,2004-07-07,Socialdemokratiet
1912,Ida Jørgensen,2004-07-15,2025-12-02,Radikale Venstre
1914,Jakob Jensen,2004-10-19,2025-12-02,Socialdemokratiet
1916,Christian Wedell-Neergaard,2004-07-20,2025-12-02,Det Konservative Folkeparti
1947,Søren Hansen,1980-10-07,2005-01-10,Socialdemokratiet
1948,Birgitte Møller,2005-01-13,2025-12-02,Radikale Venstre
1951,Flemming Møller (udpeget af V),2004-10-19,2010-10-04,Venstre
2103,Britta Schall Holberg,1984-10-02,2010-10-04,Venstre
2156,Gitte Seeberg,1994-10-04,2007-11-12,Det Konservative Folkeparti
2156,Gitte Seeberg,2007-11-13,2008-01-29,Ny Alliance
2156,Gitte Seeberg,2008-01-30,2025-12-02,Uden for Folketingsgrupperne
3082,Henrik Brodersen,2005-03-01,2018-10-01,Dansk Folkeparti
3084,Troels Christensen (udpeget af V),2007-11-13,2010-10-04,Venstre
3085,Kim Mortensen,2007-11-13,2010-10-04,Socialdemokratiet
3086,Johs. Poulsen,2006-11-04,2010-10-04,Radikale Venstre
3086,Johs. Poulsen,2010-10-05,2010-11-18,Radikale Venstre
3088,Bente Dahl,2007-11-13,2010-10-04,Radikale Venstre
3088,Bente Dahl,2010-10-05,2025-12-02,Radikale Venstre
3090,Tina Petersen,2005-02-08,2010-10-04,Dansk Folkeparti
3092,Vibeke Grave,2005-03-31,2010-10-04,Socialdemokratiet
3992,Bjørn Medom Nielsen,2006-01-01,2025-12-02,Socialdemokratiet
3993,Grethe H. Nielsen,2005-10-27,2025-12-02,Socialdemokratiet
3994,Jesper Kinch-Jensen,2006-01-17,2025-12-02,Socialdemokratiet
3995,Egil Møller,1998-10-06,2005-10-05,Dansk Folkeparti
3996,Henrik Fruergaard,2006-05-29,2025-12-02,Venstre
3997,Tina Bostrup,2005-12-12,2025-12-02,Radikale Venstre
3998,Thomas Krog,2006-01-10,2025-12-02,Socialistisk Folkeparti
4428,Jens Borking,2007-10-02,2025-12-02,Enhedslisten
4433,Jens Jørgen Nygaard,2007-05-08,2007-10-01,Det Konservative Folkeparti
4434,Abbas Razvi,2007-10-02,2021-12-05,Radikale Venstre
4434,Abbas Razvi,2021-12-06,2022-10-03,Radikale Venstre
4515,Jørgen S. Lundsgaard,2009-06-18,2010-10-04,Det Konservative Folkeparti
4956,Ib Poulsen,2007-11-13,2018-10-01,Dansk Folkeparti
4957,Tage Leegaard,2010-01-01,2010-10-04,Det Konservative Folkeparti
4965,Hanne Agersnap (udpeget af SF),2007-11-13,2010-11-18,Socialistisk Folkeparti
4968,Knud Kristensen,2007-11-13,2009-10-05,Det Konservative Folkeparti
4969,Jørgen Poulsen,2007-11-13,2008-06-23,Ny Alliance
4969,Jørgen Poulsen,2008-06-24,2008-08-12,Uden for Folketingsgrupperne
4969,Jørgen Poulsen,2008-08-13,2010-10-04,Radikale Venstre
4969,Jørgen Poulsen,2010-10-05,2025-12-02,Radikale Venstre
4971,Jane Alrø Sørensen,2008-04-13,2009-10-27,Socialistisk Folkeparti
5132,Flemming Bonne,2007-11-13,2009-10-05,Socialistisk Folkeparti
5182,Anne Marie Geisler Andersen,2009-09-01,2010-10-04,Radikale Venstre
5182,Anne Marie Geisler Andersen,2010-10-05,2018-11-25,Radikale Venstre
5468,Dorrit Knudsen,2006-10-03,2011-01-24,Socialdemokratiet
6684,Annita á Fríðriksmørk,2008-09-09,2008-10-06,Tjóðveldi
6685,Anders Broholm,2008-01-22,2008-10-30,Venstre
6686,Torben Lund,2008-01-10,2025-12-02,Socialistisk Folkeparti
6687,Kaj Leo Johannesen,2007-12-04,2025-12-02,Sambandsflokkurin
6688,Henrik Rasmussen,2007-11-29,2010-01-03,Det Konservative Folkeparti
6689,Juliane Henningsen Heilmann,2007-11-13,2010-10-04,Inuit Ataqatigiit
6701,Kenneth F. Christensen,2008-10-07,2025-12-02,Socialdemokratiet
6737,Johannes Lebech,2016-05-10,2025-12-02,Radikale Venstre
8910,Karin Storgaard,2008-10-29,2025-12-02,Dansk Folkeparti
8917,Thomas Horn,2008-10-29,2009-10-27,Socialdemokratiet
9780,Tórbjørn Jacobsen,2016-10-18,2025-12-02,Tjóðveldi
9976,Jette Gottlieb,1994-09-21,1995-10-02,Enhedslisten
9976,Jette Gottlieb,1995-10-03,2024-09-30,Enhedslisten
10107,Bruno Jerup,1994-09-21,1995-10-02,Enhedslisten
10107,Bruno Jerup,1995-10-03,2022-03-31,Enhedslisten
10690,Steen Konradsen,2010-02-11,2025-12-02,Det Konservative Folkeparti
10691,Kurt Scheelsbeck,2010-09-07,2010-10-04,Det Konservative Folkeparti
10702,Helle Dam,2009-10-29,2025-12-02,Socialdemokratiet
10704,Kasper Krüger,2010-06-10,2025-12-02,Venstre
10705,Bente Kronborg Holst,2009-10-28,2025-12-02,Dansk Folkeparti
10706,Jette Plesner Dali,2010-03-01,2025-12-02,Dansk Folkeparti
10707,Erikanell Asmuss Lorentsen,2010-04-06,2010-10-26,Radikale Venstre
10707,Erikanell Asmuss Lorentsen,2010-10-27,2025-12-02,Radikale Venstre
11412,Anna Kirsten Olesen,2010-10-27,2025-12-02,Socialdemokratiet
11583,Kenneth Kristensen Berth,2011-02-22,2018-10-01,Dansk Folkeparti
11584,Daniel Rugholm,2010-11-01,2014-11-10,Det Konservative Folkeparti
11585,Jens Arne Hedegaard,2010-10-27,2025-12-02,Venstre
11586,Bilal Inekci,2010-10-27,2025-12-02,Socialistisk Folkeparti
11702,Per Larsen,2022-11-01,2025-10-06,Det Konservative Folkeparti
12283,Aksel V. Johannesen,2012-04-20,2025-12-02,Javnaðarflokkurin
12284,Marie-Louise Andreassen,2011-10-27,2025-12-02,Radikale Venstre
12285,Ida Damborg,2011-10-27,2025-12-02,Socialistisk Folkeparti
13727,Sarah Nørris,2014-10-22,2025-12-02,Enhedslisten
13836,Helge Vagn Jacobsen,2014-11-03,2025-12-02,Radikale Venstre
13843,Bente Bendix,2014-11-07,2025-12-02,Venstre
14000,Nick Nielsen,2014-12-16,2025-12-02,Siumut
14372,Susanne Eilersen (udpeget af DF),2015-03-10,2022-10-03,Dansk Folkeparti
15757,Aaja Chemnitz,2022-11-01,2025-10-06,Inuit Ataqatigiit
15758,Aleqa Hammond,2015-06-18,2016-08-22,Siumut
15758,Aleqa Hammond,2016-08-23,2018-10-01,Uden for Folketingsgrupperne
15758,Aleqa Hammond,2018-10-02,2025-12-02,Nunatta Qitornai
15760,Lea Wermelin,2015-06-18,2023-10-02,Socialdemokratiet
15761,Karina Due,2015-06-18,2018-10-01,Dansk Folkeparti
15762,Christian Rabjerg Madsen,2015-06-18,2022-10-03,Socialdemokratiet
15763,Peter Kofod,2015-06-18,2023-10-10,Dansk Folkeparti
15764,Jan Rytkjær Callesen,2015-06-18,2018-10-01,Dansk Folkeparti
15765,Carl Holst,2015-06-18,2018-11-07,Venstre
15766,Erik Christensen (udpeget af S),2015-06-18,2018-10-01,Socialdemokratiet
15767,Pernille Bendixen,2015-06-18,2019-12-02,Dansk Folkeparti
15768,Pernille Schnoor,2015-06-18,2016-04-23,Socialdemokratiet
15768,Pernille Schnoor,2016-04-24,2018-10-01,Alternativet
15769,Maria Reumert Gjerding,2015-06-18,2017-10-02,Enhedslisten
15770,Mattias Tesfaye,2015-06-18,2025-10-06,Socialdemokratiet
15771,Morten Løkkegaard,2015-06-18,2015-10-05,Venstre
15772,Ulla Sandbæk,2015-06-18,2018-10-01,Alternativet
15773,Christina Egelund,2015-06-18,2018-10-01,Liberal Alliance
15774,Lise Bech,2015-06-18,2022-02-21,Dansk Folkeparti
15774,Lise Bech,2022-02-22,2022-08-17,Uden for Folketingsgrupperne
15774,Lise Bech,2022-08-18,2022-10-31,Danmarksdemokraterne
15774,Lise Bech,2022-11-01,2023-10-02,Danmarksdemokraterne
15775,Torsten Gejl,2015-06-18,2022-10-03,Alternativet
15776,Peter Hummelgaard,2015-06-18,2025-10-06,Socialdemokratiet
15777,Pelle Dragsted,2015-06-18,2022-10-31,Enhedslisten
15778,Carolina Magdalene Maier,2015-06-18,2018-10-01,Alternativet
15779,Carsten Bach,2015-06-18,2025-10-06,Liberal Alliance
15780,Tilde Bork,2015-06-18,2018-10-01,Dansk Folkeparti
15781,Claus Kvist Hansen,2015-06-18,2018-10-01,Dansk Folkeparti
15782,Britt Bager,2015-06-18,2021-03-23,Venstre
15782,Britt Bager,2021-03-24,2022-10-03,Det Konservative Folkeparti
15783,Josephine Fock,2015-06-18,2018-10-01,Alternativet
15784,Søren Pape Poulsen,2022-11-01,2023-10-02,Det Konservative Folkeparti
15785,Jakob Sølvhøj,2015-06-18,2022-10-03,Enhedslisten
15786,René Gade,2015-06-18,2018-10-01,Alternativet
15787,Kaare Dybvad Bek,2015-06-18,2025-10-06,Socialdemokratiet
15788,Jacob Mark,2015-06-18,2022-10-03,Socialistisk Folkeparti
15789,Jeppe Jakobsen,2015-06-18,2018-10-01,Dansk Folkeparti
15790,Marcus Knuth,2015-06-18,2019-11-28,Venstre
15790,Marcus Knuth,2019-11-29,2022-10-03,Det Konservative Folkeparti
15791,Eva Flyvholm,2015-06-18,2022-10-03,Enhedslisten
15792,Rasmus Nordqvist,2015-06-18,2020-03-09,Alternativet
15792,Rasmus Nordqvist,2020-03-10,2020-05-12,Uden for Folketingsgrupperne
15792,Rasmus Nordqvist,2020-05-13,2022-10-03,Socialistisk Folkeparti
15793,Mette Abildgaard,2015-06-18,2023-10-02,Det Konservative Folkeparti
15794,Trine Torp,2015-06-18,2022-10-03,Socialistisk Folkeparti
15795,May-Britt Kattrup,2015-06-18,2018-10-01,Liberal Alliance
15796,Jan Erik Messmann,2015-06-18,2018-10-01,Dansk Folkeparti
15797,Christian Poll,2015-06-18,2018-10-01,Alternativet
15798,Dorthe Ullemose,2015-06-18,2018-10-01,Dansk Folkeparti
15799,Roger Courage Matthisen,2015-06-18,2018-10-01,Alternativet
15800,Henrik Dahl,2022-11-01,2023-12-13,Liberal Alliance
15881,Magni Arge,2015-07-28,2018-10-01,Tjóðveldi
16072,Carsten Kudsk,2015-10-21,2019-10-29,Dansk Folkeparti
16073,Rasmus Vestergaard Madsen,2015-10-26,2020-12-31,Enhedslisten
16074,Steen Holm Iversen,2015-10-22,2025-12-02,Liberal Alliance
16092,Sisse Marie Welling,2015-10-26,2025-12-02,Socialistisk Folkeparti
16176,Nikolaj Amstrup,2015-11-03,2017-10-02,Alternativet
16180,Kasper Roug,2022-11-01,2025-10-06,Socialdemokratiet
16351,Malte Larsen,2015-11-12,2022-10-31,Socialdemokratiet
16374,Anders Johansson,2015-12-04,2018-10-01,Det Konservative Folkeparti
16428,Emrah Tuncer,2016-01-01,2025-12-02,Radikale Venstre
16473,Malou Lunderød,2016-02-01,2018-10-01,Socialdemokratiet
16503,Anne Paulin,2022-11-01,2025-10-06,Socialdemokratiet
16582,Peder Hvelplund,2016-03-29,2022-10-03,Enhedslisten
16603,Sarah Glerup,2016-04-04,2025-12-02,Enhedslisten
16610,Lars Aslan Rasmussen,2016-04-04,2022-10-03,Socialdemokratiet
16728,Kirsten Normann Andersen,2016-08-08,2023-10-02,Socialistisk Folkeparti
16757,Danny K. Malkowski,2016-10-01,2016-10-03,Liberal Alliance
16952,Helle Osther,2016-10-26,2025-12-02,Enhedslisten
17134,Jonathan Simmel,2022-08-12,2022-10-03,Enhedslisten
17140,Orla Østerby,2016-12-15,2020-12-03,Det Konservative Folkeparti
17140,Orla Østerby,2020-12-04,2022-10-03,Uden for Folketingsgrupperne
17141,Brigitte Klintskov Jerkel,2016-12-15,2023-11-23,Det Konservative Folkeparti
17247,Klaus Markussen,2017-03-20,2025-12-02,Venstre
17267,Kristian Hegaard,2017-04-18,2020-10-05,Radikale Venstre
17360,Merete Scheelsbeck,2017-05-02,2024-01-08,Det Konservative Folkeparti
17543,Marianne Bredal,2017-10-03,2025-12-02,Venstre
17628,Carl Valentin,2017-10-25,2026-02-06,Socialistisk Folkeparti
17629,Mads Fuglede,2022-11-01,2024-04-11,Venstre
17629,Mads Fuglede,2024-04-12,2025-10-06,Danmarksdemokraterne
17736,Per Nørhave,2017-12-01,2025-12-02,Dansk Folkeparti
17752,Anders Stjernholm,2017-11-28,2025-12-02,Alternativet
17827,Tina Boel,2018-02-19,2025-12-02,Socialistisk Folkeparti
17963,Øjvind Vilsholm,2018-04-09,2018-10-01,Enhedslisten
17988,Bjarni Hammer,2018-05-07,2025-12-02,Javnaðarflokkurin
17990,Tommy Ahlers,2019-06-05,2020-10-05,Venstre
18265,Carsten Kissmeyer,2018-10-02,2022-10-03,Venstre
18278,Serdal Benli,2018-09-30,2024-09-30,Socialistisk Folkeparti
18291,Erik Lund,2018-10-08,2025-12-02,Det Konservative Folkeparti
18415,Julius Graakjær Grantzau,2018-11-01,2025-12-02,Alternativet
18545,Henrik Old,2019-01-15,2025-12-02,Javnaðarflokkurin
18614,Rigmor Dam,2019-02-28,2025-12-02,Javnaðarflokkurin
18688,Aki-Matilda Høegh-Dam,2022-11-01,2025-02-07,Siumut
18688,Aki-Matilda Høegh-Dam,2025-02-08,2025-02-10,Uden for Folketingsgrupperne
18688,Aki-Matilda Høegh-Dam,2025-02-11,2025-11-14,Naleraq
18691,Sikandar Siddique,2019-06-05,2020-03-09,Alternativet
18691,Sikandar Siddique,2020-03-10,2021-11-02,Uden for Folketingsgrupperne
18691,Sikandar Siddique,2021-11-03,2022-10-03,Frie Grønne
18692,Susanne Zimmer,2019-06-05,2020-03-09,Alternativet
18692,Susanne Zimmer,2020-03-10,2021-11-02,Uden for Folketingsgrupperne
18692,Susanne Zimmer,2021-11-03,2022-10-03,Frie Grønne
18693,Mai Villadsen,2019-06-05,2025-10-06,Enhedslisten
18694,Victoria Velasquez,2019-06-05,2023-04-20,Enhedslisten
18695,Kim Valentin,2022-11-01,2025-10-06,Venstre
18696,Morten Dahlin,2019-06-05,2025-10-06,Venstre
18697,Stén Knuth,2019-06-05,2022-10-03,Venstre
18698,Marlene Ambo-Rasmussen,2019-06-05,2022-10-03,Venstre
18699,Christoffer Aagaard Melson,2022-11-01,2025-10-06,Venstre
18700,Heidi Bank,2019-06-05,2025-10-06,Venstre
18701,Marie Bjerre,2019-06-05,2025-10-06,Venstre
18702,Anne Honoré Østergaard,2019-06-05,2022-10-03,Venstre
18703,Alex Vanopslagh,2022-11-01,2025-10-06,Liberal Alliance
18704,Halime Oguz,2019-06-05,2025-10-06,Socialistisk Folkeparti
18705,Ina Strøjer-Schmidt,2019-06-05,2022-10-03,Socialistisk Folkeparti
18706,Anne Valentina Berthelsen,2022-11-01,2024-11-13,Socialistisk Folkeparti
18707,Astrid Carøe,2019-06-05,2025-10-06,Socialistisk Folkeparti
18708,Charlotte Broman Mølbæk,2019-06-05,2025-10-06,Socialistisk Folkeparti
18709,Signe Munk,2019-06-05,2025-10-06,Socialistisk Folkeparti
18710,Katarina Ammitzbøll,2019-06-05,2022-10-03,Det Konservative Folkeparti
18711,Birgitte Bergman,2019-06-05,2024-09-30,Det Konservative Folkeparti
18712,Niels Flemming Hansen,2022-11-01,2023-10-02,Det Konservative Folkeparti
18713,Mona Juul,2019-06-05,2025-10-06,Det Konservative Folkeparti
18714,Kasper Sand Kjær,2022-11-01,2023-10-02,Socialdemokratiet
18715,Henrik Møller,2022-11-01,2025-10-06,Socialdemokratiet
18716,Rasmus Stoklund,2019-06-05,2025-10-06,Socialdemokratiet
18717,Bjørn Brandenborg,2019-06-05,2025-11-02,Socialdemokratiet
18718,Anders Kronborg,2019-06-05,2025-10-06,Socialdemokratiet
18719,Birgitte Vind,2019-06-05,2025-10-06,Socialdemokratiet
18720,Camilla Fabricius,2019-06-05,2025-10-06,Socialdemokratiet
18721,Mette Thiesen,2019-06-05,2022-11-08,Nye Borgerlige
18721,Mette Thiesen,2022-11-09,2023-02-06,Uden for Folketingsgrupperne
18721,Mette Thiesen,2023-02-07,2025-10-06,Dansk Folkeparti
18722,Peter Seier Christensen,2022-11-01,2024-01-10,Nye Borgerlige
18722,Peter Seier Christensen,2024-01-11,2025-10-06,Uden for Folketingsgrupperne
18723,Pernille Vermund,2019-06-05,2024-01-10,Nye Borgerlige
18723,Pernille Vermund,2024-01-11,2024-01-17,Uden for Folketingsgrupperne
18723,Pernille Vermund,2024-01-18,2025-10-06,Liberal Alliance
18724,Lars Boje Mathiesen,2019-06-05,2023-03-09,Nye Borgerlige
18724,Lars Boje Mathiesen,2023-03-10,2025-01-16,Uden for Folketingsgrupperne
18724,Lars Boje Mathiesen,2025-01-17,2025-10-06,Borgernes Parti
18725,Samira Nawa,2019-06-05,2025-10-06,Radikale Venstre
18726,Stinus Lindgreen,2019-06-05,2025-10-06,Radikale Venstre
18727,Kathrine Olldag,2019-06-05,2022-10-03,Radikale Venstre
18728,Anne Sophie Callesen,2019-06-05,2022-10-03,Radikale Venstre
18729,Katrine Robsøe,2019-06-05,2025-10-06,Radikale Venstre
18736,Egil Hulgaard,2019-08-05,2020-10-05,Det Konservative Folkeparti
18830,Nils Sjøberg,2019-09-02,2019-09-30,Radikale Venstre
18882,Tanja Larsson,2019-10-01,2025-11-02,Socialdemokratiet
18917,Balder Mørk Andersen,2019-10-30,2025-12-02,Socialistisk Folkeparti
18953,Mira Issa Bloch,2019-10-22,2025-12-02,Alternativet
19000,Theresa Berg Andersen,2020-01-01,2025-10-06,Socialistisk Folkeparti
19002,Gitte Willumsen,2020-01-01,2021-12-20,Venstre
19002,Gitte Willumsen,2021-12-21,2022-10-03,Det Konservative Folkeparti
19016,Dorthe Hindborg,2020-01-06,2025-12-02,Socialdemokratiet
19133,Anders G. Christensen,2020-03-10,2025-12-02,Venstre
19142,Barbara Gaardlykke Apol,2020-03-17,2024-03-04,Javnaðarflokkurin
19146,Anna Brændemose,2020-03-10,2025-12-02,Socialistisk Folkeparti
19196,Ruben Kidde,2020-04-16,2020-10-05,Radikale Venstre
19221,Hanne Bjørn-Klausen,2020-05-12,2025-12-02,Det Konservative Folkeparti
19475,Susan Kronborg,2020-11-10,2022-10-03,Radikale Venstre
19480,Henrik Vinther,2020-11-17,2025-12-02,Radikale Venstre
19569,Maja Torp,2021-03-01,2022-10-03,Venstre
19637,Kenneth Mikkelsen,2021-04-01,2022-10-03,Venstre
19684,Mads Andersen,2021-04-13,2025-12-02,Det Konservative Folkeparti
19748,Stine Pilt Olsen,2021-05-20,2025-12-02,Det Konservative Folkeparti
19806,Alexander Grandt,2021-09-16,2022-01-01,Socialdemokratiet
19807,Anne Rasmussen,2021-08-12,2022-10-03,Venstre
19809,Christina Thorholm,2021-08-31,2022-10-03,Radikale Venstre
19919,Brian Bressendorff,2021-10-07,2025-12-02,Socialdemokratiet
19920,Karsten Filsø,2021-10-07,2024-12-12,Socialistisk Folkeparti
19928,Kim Aas,2022-11-01,2025-10-06,Socialdemokratiet
19948,Mark Grossmann,2021-10-14,2025-12-02,Venstre
19982,Jan Bjergskov Larsen,2021-11-23,2025-12-02,Socialistisk Folkeparti
19996,Helgi Abrahamsen,2021-12-07,2025-12-02,Sambandsflokkurin
20051,Theis Kylling Hommeltoft,2022-01-20,2024-01-21,Socialdemokratiet
20144,Maria Gudme,2022-05-10,2022-10-03,Socialdemokratiet
20349,Anna Falkenberg,2022-11-01,2025-10-06,Sambandsflokkurin
20350,Nick Zimmermann,2022-11-01,2025-10-06,Dansk Folkeparti
20351,Franciska Rosenkilde,2022-11-01,2025-10-06,Alternativet
20352,Helene Brydensholt,2022-11-01,2025-10-06,Alternativet
20353,Sascha Faxe,2022-11-01,2025-10-06,Alternativet
20354,Theresa Scavenius,2022-11-01,2023-09-17,Alternativet
20354,Theresa Scavenius,2023-09-18,2025-10-06,Uden for Folketingsgrupperne
20355,Kim Edberg Andersen,2022-11-01,2024-01-15,Nye Borgerlige
20355,Kim Edberg Andersen,2024-01-16,2024-03-18,Uden for Folketingsgrupperne
20355,Kim Edberg Andersen,2024-03-19,2025-10-06,Danmarksdemokraterne
20356,Mikkel Bjørn,2022-11-01,2023-01-23,Nye Borgerlige
20356,Mikkel Bjørn,2023-01-24,2025-10-06,Dansk Folkeparti
20357,Lise Bertelsen,2022-11-01,2025-10-06,Det Konservative Folkeparti
20358,Marianne Bigum,2022-11-01,2025-10-06,Socialistisk Folkeparti
20359,Sigurd Agersnap,2022-11-01,2025-10-06,Socialistisk Folkeparti
20360,Sofie Lippert,2022-11-01,2025-10-06,Socialistisk Folkeparti
20361,Fie Hækkerup,2022-11-01,2025-02-26,Socialdemokratiet
20362,Thomas Monberg,2022-11-01,2025-10-06,Socialdemokratiet
20363,Sara Emil Baaring,2022-11-01,2025-10-06,Socialdemokratiet
20364,Frederik Vad,2022-11-01,2025-10-06,Socialdemokratiet
20365,Matilde Powers,2022-11-01,2025-10-06,Socialdemokratiet
20366,Thomas Skriver Jensen,2022-11-01,2025-10-06,Socialdemokratiet
20367,Kris Jensen Skriver,2022-11-01,2025-10-06,Socialdemokratiet
20368,Maria Durhuus,2022-11-01,2025-10-06,Socialdemokratiet
20369,Helle Bonnesen,2022-11-01,2025-10-06,Det Konservative Folkeparti
20370,Christina Olumeko,2022-11-01,2025-10-06,Alternativet
20371,Linea Søgaard-Lidell,2022-11-01,2025-10-06,Venstre
20372,Betina Kastbjerg,2022-11-01,2025-10-06,Danmarksdemokraterne
20373,Susie Jessen,2022-11-01,2025-10-06,Danmarksdemokraterne
20374,Kenneth Fredslund Petersen,2022-11-01,2025-10-06,Danmarksdemokraterne
20375,Charlotte Munch,2022-11-01,2025-10-06,Danmarksdemokraterne
20376,Kristian Bøgsted,2022-11-01,2025-10-06,Danmarksdemokraterne
