aktørid,aktør,relation_start,relation_end,party_clean
119,Dennis Flydtkjær,2006-05-23,2022-06-25,Dansk Folkeparti
119,Dennis Flydtkjær,2022-06-26,2022-08-17,Uden for Folketingsgrupperne
119,Dennis Flydtkjær,2022-08-18,2022-10-03,Danmarksdemokraterne
120,Benny Engelbrecht,2022-11-01,2025-10-06,Socialdemokratiet
121,Karina Lorentzen Dehnhardt,2007-11-13,2022-10-03,Socialistisk Folkeparti
122,Stine Brix,2011-09-15,2019-05-07,Enhedslisten
123,Andreas Steenberg,2011-09-15,2022-10-03,Radikale Venstre
124,Kim Christiansen,2005-02-08,2018-10-01,Dansk Folkeparti
125,Hans Christian Schmidt,1998-10-06,2022-10-03,Venstre
126,Kim Andersen (udpeget af V),2000-10-03,2014-10-06,Venstre
127,Preben Bang Henriksen,2011-09-15,2022-10-03,Venstre
129,Bertel Haarder,1977-02-15,2022-10-03,Venstre
130,Sophie Løhde,2007-11-13,2022-10-03,Venstre
131,Lene Espersen,1994-10-04,2014-10-06,Det Konservative Folkeparti
132,Søren Pind,2007-11-13,2017-10-02,Venstre
133,John Dyrby Paulsen,2005-03-10,2014-10-06,Socialdemokratiet
134,Christian Friis Bach,2022-11-01,2024-08-04,Radikale Venstre
134,Christian Friis Bach,2024-08-05,2025-10-06,Venstre
135,Mette Bock,2011-09-15,2018-10-01,Liberal Alliance
138,Mette Frederiksen,2002-10-01,2025-10-06,Socialdemokratiet
139,Thomas Danielsen,2011-09-15,2022-10-03,Venstre
141,Martin Lidegaard,2022-11-01,2025-10-06,Radikale Venstre
145,Lars Løkke Rasmussen,1994-10-04,2020-12-31,Venstre
145,Lars Løkke Rasmussen,2021-01-01,2022-05-18,Uden for Folketingsgrupperne
145,Lars Løkke Rasmussen,2022-05-19,2025-10-06,Moderaterne
147,Johanne Schmidt-Nielsen,2007-11-13,2019-02-28,Enhedslisten
148,Anders Samuelsen,2002-10-01,2007-11-12,Radikale Venstre
148,Anders Samuelsen,2007-11-13,2008-08-27,Ny Alliance
148,Anders Samuelsen,2008-08-28,2018-10-01,Liberal Alliance
149,Lars Barfoed,2002-10-01,2014-10-06,Det Konservative Folkeparti
152,Ida Auken,2007-11-13,2014-02-03,Socialistisk Folkeparti
152,Ida Auken,2014-02-04,2021-02-02,Radikale Venstre
152,Ida Auken,2021-02-03,2022-10-03,Socialdemokratiet
153,Per Stig Møller,1984-10-02,2014-10-06,Det Konservative Folkeparti
154,Mogens Jensen,2022-11-01,2025-10-06,Socialdemokratiet
155,Villum Christensen,2008-09-09,2018-10-01,Liberal Alliance
156,Lone Loklindt,2011-09-15,2014-10-06,Radikale Venstre
158,Eigil Andersen,2005-04-28,2014-10-06,Socialistisk Folkeparti
159,Lars Dohn,2011-09-15,2014-10-06,Enhedslisten
160,Jan Johansen,2011-09-15,2022-10-03,Socialdemokratiet
161,Liv Holm Andersen,2011-09-15,2014-10-06,Radikale Venstre
162,Karina Adsbøl,2011-09-15,2022-02-21,Dansk Folkeparti
162,Karina Adsbøl,2022-02-22,2022-08-17,Uden for Folketingsgrupperne
162,Karina Adsbøl,2022-08-18,2022-10-03,Danmarksdemokraterne
163,Ellen Trane Nørby,2007-11-13,2016-10-03,Venstre
164,Hans Andersen,2002-10-01,2022-10-03,Venstre
167,Dan Jørgensen,2015-06-18,2024-09-30,Socialdemokratiet
168,Anni Matthiesen,2011-09-15,2022-10-03,Venstre
171,Per Clausen,2007-11-13,2014-10-06,Enhedslisten
172,Pernille Rosenkrantz-Theil,2002-10-01,2011-09-14,Enhedslisten
172,Pernille Rosenkrantz-Theil,2011-09-15,2022-10-03,Socialdemokratiet
173,Jacob Jensen,2007-11-13,2022-10-03,Venstre
176,Søren Søndergaard,2001-11-20,2025-10-06,Enhedslisten
178,Michael Aastrup Jensen,2022-11-01,2024-09-30,Venstre
179,Hans Christian Thoning,2007-11-13,2018-10-24,Venstre
180,Peter Juel-Jensen,2007-11-13,2022-10-03,Venstre
181,Annette Lind,2022-11-01,2023-10-02,Socialdemokratiet
182,Inger Støjberg,2022-11-01,2025-10-06,Danmarksdemokraterne
183,Bent Bøgsted,2002-10-01,2022-02-21,Dansk Folkeparti
183,Bent Bøgsted,2022-02-22,2022-08-17,Uden for Folketingsgrupperne
183,Bent Bøgsted,2022-08-18,2022-10-03,Danmarksdemokraterne
184,Lennart Damsbo-Andersen,2007-11-13,2021-10-04,Socialdemokratiet
185,Nadeem Farooq,2011-03-17,2014-10-06,Radikale Venstre
187,Julie Skovsby,2007-11-13,2013-07-02,Socialdemokratiet
188,Sanne Rubinke,2010-02-11,2015-01-12,Socialistisk Folkeparti
189,Mai Mercado,2011-09-15,2022-10-03,Det Konservative Folkeparti
190,Thyra Frank,2011-09-15,2014-11-07,Liberal Alliance
191,Zenia Stampe,2011-09-15,2022-10-03,Radikale Venstre
192,Fatma Øktem,2011-09-15,2022-10-03,Venstre
193,Karsten Nonbo,2000-10-03,2011-10-03,Venstre
194,Kristian Pihl Lorentzen,2007-11-13,2022-10-03,Venstre
195,Pernille Vigsø Bagge,2007-11-13,2014-12-19,Socialistisk Folkeparti
197,Mette Gjerskov,2007-11-13,2020-10-05,Socialdemokratiet
198,Anne Baastrup,1994-10-04,2014-10-06,Socialistisk Folkeparti
199,Karsten Hønge,2022-11-01,2025-10-06,Socialistisk Folkeparti
200,Jane Heitmann,2011-09-15,2022-10-03,Venstre
201,Thomas Jensen,2007-11-13,2013-11-11,Socialdemokratiet
202,Peder Christensen,2013-10-21,2014-03-17,Socialdemokratiet
205,Jonas Dahl,2007-11-13,2015-10-05,Socialistisk Folkeparti
206,Troels Lund Poulsen,2007-11-13,2022-10-03,Venstre
207,Jakob Ellemann-Jensen,2011-09-15,2022-10-03,Venstre
208,Simon Kollerup,2022-11-01,2025-10-06,Socialdemokratiet
209,Camilla Hersom,2011-09-15,2014-10-06,Radikale Venstre
210,Birgitte Josefsen,2004-10-19,2014-10-06,Venstre
211,Jørn Dohrmann,2002-10-01,2013-09-30,Dansk Folkeparti
212,Eyvind Vesselbo,2002-10-01,2014-10-06,Venstre
213,Jens Joel,2011-09-15,2022-10-03,Socialdemokratiet
214,Jeppe Bruus,2013-11-05,2022-10-31,Socialdemokratiet
215,Jørgen Arbo-Bæhr,2011-09-15,2014-10-06,Enhedslisten
216,Mikkel Dencker,2002-10-01,2018-10-01,Dansk Folkeparti
217,Lars Christian Lilleholt,2007-11-13,2021-10-04,Venstre
219,Lisbeth Bech-Nielsen,2011-09-15,2022-10-03,Socialistisk Folkeparti
220,Morten Bødskov,2002-10-01,2022-10-03,Socialdemokratiet
221,Pia Adelsteen,2007-11-13,2018-10-01,Dansk Folkeparti
223,Henrik Høegh,2007-11-13,2014-10-06,Venstre
224,Flemming Møller Mortensen,2022-11-01,2025-10-06,Socialdemokratiet
225,Uffe Elbæk,2011-09-15,2013-09-16,Radikale Venstre
225,Uffe Elbæk,2013-09-17,2015-03-12,Uden for Folketingsgrupperne
225,Uffe Elbæk,2015-03-13,2020-03-09,Alternativet
225,Uffe Elbæk,2020-03-10,2021-11-02,Uden for Folketingsgrupperne
225,Uffe Elbæk,2021-11-03,2022-09-16,Frie Grønne
225,Uffe Elbæk,2022-09-17,2022-10-03,Alternativet
226,Ole Sohn,1998-10-06,2013-09-30,Socialistisk Folkeparti
231,Manu Sareen,2011-01-01,2014-10-06,Radikale Venstre
234,Anders Fogh Rasmussen,1978-10-01,2007-11-12,Venstre
235,Jeppe Kofod,1998-10-06,2013-09-30,Socialdemokratiet
238,Morten Messerschmidt,2005-02-08,2007-05-02,Dansk Folkeparti
238,Morten Messerschmidt,2007-05-03,2007-05-30,Uden for Folketingsgrupperne
238,Morten Messerschmidt,2007-05-31,2022-10-03,Dansk Folkeparti
244,Magnus Heunicke,2007-11-13,2022-10-03,Socialdemokratiet
245,Leif Mikkelsen,2002-10-01,2007-05-10,Venstre
245,Leif Mikkelsen,2007-05-11,2007-07-09,Uden for Folketingsgrupperne
245,Leif Mikkelsen,2007-07-10,2011-09-14,Ny Alliance
245,Leif Mikkelsen,2011-09-15,2018-11-07,Liberal Alliance
246,Orla Hav,2007-11-13,2022-10-03,Socialdemokratiet
247,Edmund Joensen,1994-10-04,2007-11-12,Venstre
247,Edmund Joensen,2007-11-13,2022-10-03,Sambandsflokkurin
249,Kirsten Brosbøl (udpeget af S),2007-11-13,2018-10-01,Socialdemokratiet
252,Pia Kjærsgaard,1984-10-02,1995-10-05,Fremskridtspartiet
252,Pia Kjærsgaard,1995-10-06,2022-10-03,Dansk Folkeparti
257,Bjarne Laustsen,2007-11-13,2020-10-05,Socialdemokratiet
258,Poul Andersen,1992-10-06,2013-09-30,Socialdemokratiet
259,Anne-Mette Winther Christiansen (udpeget af V),2007-11-13,2014-10-06,Venstre
260,Leif Lahn Jensen,2007-11-13,2022-10-03,Socialdemokratiet
261,Esben Lunde Larsen,2011-09-15,2017-10-02,Venstre
262,Sjúrður Skaale,2022-11-01,2025-10-06,Javnaðarflokkurin
