aktørid,aktør,party,block,relation_start,relation_end
112,Lotte Rod,Radikale Venstre,1,2011-09-15,2022-10-03
113,Jens Henrik Thulesen Dahl,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
116,Morten Østergaard,Det Radikale Venstre,1,2006-10-03,2010-10-04
116,Morten Østergaard,Radikale Venstre,2,2010-10-05,2020-10-05
117,Simon Emil Ammitzbøll-Bille,Det Radikale Venstre,1,2005-02-08,2008-10-12
117,Simon Emil Ammitzbøll-Bille,Liberal Alliance,3,2009-06-19,2019-10-22
117,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne - Simon Emil Ammitzbøll,2,2008-10-13,2009-06-18
117,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne - Simon Emil Ammitzbøll-Bille,4,2019-10-23,2022-10-03
118,Trine Bramsen,Socialdemokratiet,1,2011-09-15,2022-10-03
119,Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,3,2022-08-18,2022-10-03
119,Dennis Flydtkjær,Dansk Folkeparti,1,2006-05-23,2022-06-25
119,Dennis Flydtkjær,Uden for folketingsgrupperne - Dennis Flydtkjær,2,2022-06-26,2022-08-17
120,Benny Engelbrecht,Socialdemokratiet,1,2022-11-01,2025-10-06
121,Karina Lorentzen Dehnhardt,Socialistisk Folkeparti,1,2007-11-13,2022-10-03
122,Stine Brix,Enhedslisten,1,2011-09-15,2019-05-07
123,Andreas Steenberg,Radikale Venstre,1,2011-09-15,2022-10-03
124,Kim Christiansen,Dansk Folkeparti,1,2005-02-08,2018-10-01
125,Hans Christian Schmidt,"Venstre, Danmarks Liberale Parti",1,1998-10-06,2022-10-03
126,Kim Andersen (udpeget af V),"Venstre, Danmarks Liberale Parti",1,2000-10-03,2014-10-06
127,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
129,Bertel Haarder,"Venstre, Danmarks Liberale Parti",1,1977-02-15,2022-10-03
130,Sophie Løhde,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
131,Lene Espersen,Det Konservative Folkeparti,1,1994-10-04,2014-10-06
132,Søren Pind,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2017-10-02
133,John Dyrby Paulsen,Socialdemokratiet,1,2005-03-10,2014-10-06
134,Christian Friis Bach,Radikale Venstre,1,2022-11-01,2024-08-04
134,Christian Friis Bach,"Venstre, Danmarks Liberale Parti",2,2024-08-05,2025-10-06
135,Mette Bock,Liberal Alliance,1,2011-09-15,2018-10-01
138,Mette Frederiksen,Socialdemokratiet,1,2002-10-01,2025-10-06
139,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
141,Martin Lidegaard,Radikale Venstre,1,2022-11-01,2025-10-06
145,Lars Løkke Rasmussen,Moderaterne,3,2022-05-19,2025-10-06
145,Lars Løkke Rasmussen,Uden for folketingsgrupperne - Lars Løkke Rasmussen,2,2021-01-01,2022-05-18
145,Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2020-12-31
147,Johanne Schmidt-Nielsen,Enhedslisten,1,2007-11-13,2019-02-28
148,Anders Samuelsen,Det Radikale Venstre,1,2002-10-01,2007-11-12
148,Anders Samuelsen,Liberal Alliance,3,2008-08-28,2018-10-01
148,Anders Samuelsen,Ny Alliance,2,2007-11-13,2008-08-27
149,Lars Barfoed,Det Konservative Folkeparti,1,2002-10-01,2014-10-06
152,Ida Auken,Radikale Venstre,2,2014-02-04,2021-02-02
152,Ida Auken,Socialdemokratiet,3,2021-02-03,2022-10-03
152,Ida Auken,Socialistisk Folkeparti,1,2007-11-13,2014-02-03
153,Per Stig Møller,Det Konservative Folkeparti,1,1984-10-02,2014-10-06
154,Mogens Jensen,Socialdemokratiet,1,2022-11-01,2025-10-06
155,Villum Christensen,Liberal Alliance,1,2008-09-09,2018-10-01
156,Lone Loklindt,Radikale Venstre,1,2011-09-15,2014-10-06
158,Eigil Andersen,Socialistisk Folkeparti,1,2005-04-28,2014-10-06
159,Lars Dohn,Enhedslisten,1,2011-09-15,2014-10-06
160,Jan Johansen,Socialdemokratiet,1,2011-09-15,2022-10-03
161,Liv Holm Andersen,Radikale Venstre,1,2011-09-15,2014-10-06
162,Karina Adsbøl,Danmarksdemokraterne - Inger Støjberg,3,2022-08-18,2022-10-03
162,Karina Adsbøl,Dansk Folkeparti,1,2011-09-15,2022-02-21
162,Karina Adsbøl,Uden for folketingsgrupperne - Karina Adsbøl,2,2022-02-22,2022-08-17
163,Ellen Trane Nørby,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2016-10-03
164,Hans Andersen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2022-10-03
167,Dan Jørgensen,Socialdemokratiet,1,2015-06-18,2024-09-30
168,Anni Matthiesen,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
171,Per Clausen,Enhedslisten,1,2007-11-13,2014-10-06
172,Pernille Rosenkrantz-Theil,Enhedslisten,1,2002-10-01,2011-09-14
172,Pernille Rosenkrantz-Theil,Socialdemokratiet,2,2011-09-15,2022-10-03
173,Jacob Jensen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
176,Søren Søndergaard,Enhedslisten,1,2001-11-20,2025-10-06
178,Michael Aastrup Jensen,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2024-09-30
179,Hans Christian Thoning,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2018-10-24
180,Peter Juel-Jensen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
181,Annette Lind,Socialdemokratiet,1,2022-11-01,2023-10-02
182,Inger Støjberg,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
183,Bent Bøgsted,Danmarksdemokraterne - Inger Støjberg,3,2022-08-18,2022-10-03
183,Bent Bøgsted,Dansk Folkeparti,1,2002-10-01,2022-02-21
183,Bent Bøgsted,Uden for folketingsgrupperne - Bent Bøgsted,2,2022-02-22,2022-08-17
184,Lennart Damsbo-Andersen,Socialdemokratiet,1,2007-11-13,2021-10-04
185,Nadeem Farooq,Radikale Venstre,1,2011-03-17,2014-10-06
187,Julie Skovsby,Socialdemokratiet,1,2007-11-13,2013-07-02
188,Sanne Rubinke,Socialistisk Folkeparti,1,2010-02-11,2015-01-12
189,Mai Mercado,Det Konservative Folkeparti,1,2011-09-15,2022-10-03
