aktørid,aktør,party,block,relation_start,relation_end
1172,Mia Falkenberg,Dansk Folkeparti,1,2005-06-17,2007-11-12
1183,Michael Thomsen,Socialistisk Folkeparti,1,2006-02-07,
1201,Mogens Camre,Dansk Folkeparti,2,2007-11-13,
1201,Mogens Camre,Socialdemokratiet,1,1968-10-01,2007-11-12
1219,Mogens Nørgård,Kristeligt Folkeparti,1,2002-09-10,2003-10-29
1219,Mogens Nørgård,Kristendemokraterne,2,2003-10-30,
1234,Morten Homann,Socialistisk Folkeparti,1,2002-10-01,2003-10-06
1250,Jan Trøjborg,Socialdemokratiet,1,1987-10-06,2003-10-06
1256,Pia Gjellerup (udpeget af S),Socialdemokratiet,1,1987-10-06,2003-10-06
1258,Nanna Westerby,Socialistisk Folkeparti,1,2007-11-13,2010-12-17
1269,Niels Høiby,Liberal Alliance,1,2011-06-05,
1280,Niels Sindal,Socialdemokratiet,1,2002-10-01,2010-10-04
1299,Helle Sjelle,Det Konservative Folkeparti,1,2002-10-01,2012-10-23
1319,Ole Stavad (udpeget af S),Socialdemokratiet,1,1980-10-07,2003-10-06
1325,Ole Vagn Christensen,Socialdemokratiet,1,1984-10-02,2010-10-04
1334,Peter Laigaard,Liberal Alliance,1,2014-10-22,
1353,Peder Sass,Socialdemokratiet,1,1991-10-01,2003-10-06
1357,Helge Sander,"Venstre, Danmarks Liberale Parti",1,1984-10-02,2010-10-04
1358,Julie Rademacher,Socialdemokratiet,1,2007-11-13,2010-10-04
1362,Per Bisgaard,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2010-11-18
1371,Per Dalgaard,Dansk Folkeparti,1,2002-10-01,2010-10-04
1375,Per Løkken,Det Konservative Folkeparti,1,2009-10-28,2015-02-02
1378,Per Ørum Jørgensen,Det Konservative Folkeparti,1,2005-02-08,2010-05-19
1378,Per Ørum Jørgensen,Kristendemokraterne,3,2010-06-21,2010-10-04
1378,Per Ørum Jørgensen,Uden for folketingsgrupperne - Per Ørum Jørgensen,2,2010-05-20,2010-06-20
1385,Pernille Frahm (udpeget af SF),Socialistisk Folkeparti,1,1991-10-01,2010-10-04
1392,Pernille Søndergaard,Enhedslisten,1,2008-01-15,
1393,Pernille Blach Hansen,Socialdemokratiet,1,1998-10-06,2003-10-06
1398,Peter Brixtofte,Uden for folketingsgrupperne - Peter Brixtofte,2,2002-05-16,2003-10-06
1398,Peter Brixtofte,"Venstre, Danmarks Liberale Parti",1,1974-10-01,2002-05-15
1410,Peter Madsen,"Venstre, Danmarks Liberale Parti",1,2010-05-03,2010-10-04
1413,Peter Westermann,Socialistisk Folkeparti,1,2010-10-05,
1414,Peter Christian Christensen,Socialdemokratiet,1,1994-10-04,1997-10-06
1417,Pia Boisen,Enhedslisten,1,2004-10-18,
1431,Pia Kristensen,Dansk Folkeparti,1,2002-10-01,2005-02-07
1433,Poul Fischer,Dansk Folkeparti,1,2002-10-01,2004-11-13
1444,Poul Henrik Hedeboe,Socialistisk Folkeparti,1,2004-07-16,
1447,Poul Qvist Jørgensen,Socialdemokratiet,1,1984-10-02,2003-10-06
1454,Rasmus Jarlov,Det Konservative Folkeparti,1,2010-01-12,2022-10-03
1455,René Skau Björnsson,Socialdemokratiet,1,1998-10-06,2014-11-03
1461,Rikke Hvilshøj,"Venstre, Danmarks Liberale Parti",1,1998-10-06,2007-11-12
1463,Ritt Bjerregaard,Socialdemokratiet,1,1971-10-05,2003-10-06
1470,Sandy Brinck,Socialdemokratiet,1,1999-09-16,2003-10-06
1471,Sanne Schroll,Socialistisk Folkeparti,1,2007-03-20,
1473,Sidsel Homann,Socialistisk Folkeparti,1,2005-12-08,2008-10-08
1474,Sidsel Leth Svensson,Det Konservative Folkeparti,1,2006-05-15,
1478,Simon Pihl Sørensen,Socialdemokratiet,1,2006-01-10,2007-04-09
1484,Sofia Rossen,Inuit Ataqatigiit,1,2007-04-10,2010-01-11
1495,Bendt Bendtsen,Det Konservative Folkeparti,1,1994-10-04,2003-10-06
1502,Karl H. Bornhøft,Socialistisk Folkeparti,1,2007-11-13,2014-11-03
1503,Hans Vestager,Radikale Venstre,1,2012-03-05,2012-10-01
1504,Laura Lindahl,Liberal Alliance,1,2012-10-23,2018-10-01
1513,Kisser Franciska Lehnert,Liberal Alliance,1,2012-10-02,2012-10-01
1556,Jann Sjursen,Kristeligt Folkeparti,1,1998-03-11,2003-10-29
1556,Jann Sjursen,Kristendemokraterne,2,2003-10-30,
1557,Bodil Kornbek,Kristeligt Folkeparti,1,2001-11-20,2003-10-29
1557,Bodil Kornbek,Kristendemokraterne,2,2003-10-30,
1558,Tove Videbæk,Kristeligt Folkeparti,1,1998-03-11,2003-10-29
1558,Tove Videbæk,Kristendemokraterne,2,2003-10-30,
1618,Walter Christophersen,Dansk Folkeparti,1,2005-02-08,
1619,Yildiz Akdogan,Socialdemokratiet,1,2007-11-13,2025-10-06
1623,Aage Frandsen,Socialistisk Folkeparti,1,1971-10-05,2003-10-06
1636,Aase D. Madsen (udpeget af DF),Dansk Folkeparti,1,1998-10-06,2003-10-06
1718,Svend Heiselberg,"Venstre, Danmarks Liberale Parti",1,1980-10-07,2003-10-06
1727,Jette Bergenholz Bautrup,Socialdemokratiet,1,2002-10-01,2003-10-06
1730,Elsebeth Gerner Nielsen,Det Radikale Venstre,1,1994-10-04,2003-10-06
1731,Flemming Hansen,Det Konservative Folkeparti,1,1984-10-02,2003-10-06
1739,Thor Gunnar Kofoed,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1740,Karina Sørensen,Dansk Folkeparti,1,2002-10-01,2003-10-06
1744,Kamal Qureshi,Socialistisk Folkeparti,1,2002-10-01,2010-10-04
1745,Ulrik Kragh,"Venstre, Danmarks Liberale Parti",1,2001-02-04,2008-10-28
1746,Tove Fergo,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2003-10-06
1747,Jytte Wittrock,Socialdemokratiet,1,1994-10-04,2003-10-06
1749,Jens Vibjerg (udpeget af V),"Venstre, Danmarks Liberale Parti",1,1994-10-04,2010-10-04
1751,Inger Bierbaum,Socialdemokratiet,1,1994-10-04,2003-10-06
1752,Jørn Jespersen,Socialistisk Folkeparti,1,1987-10-06,2003-10-06
1753,Flemming Oppfeldt,Uden for folketingsgrupperne - Flemming Oppfeldt,2,2004-10-19,
1753,Flemming Oppfeldt,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2004-10-18
1755,Colette L. Brix,Dansk Folkeparti,1,2002-10-01,2010-10-04
1757,Irene Simonsen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2010-10-26
1759,Kaj Ikast,Det Konservative Folkeparti,1,1983-06-28,2003-10-06
1760,Helga Moos,"Venstre, Danmarks Liberale Parti",1,1998-10-06,2003-10-06
1761,Else Theill Sørensen,Det Konservative Folkeparti,1,1987-10-06,2003-10-06
1767,Arne Toft,Socialdemokratiet,1,2002-10-01,2003-10-06
1768,Grete Schødts,Socialdemokratiet,1,1988-10-04,2003-10-06
1769,Birthe Skaarup (udpeget af DF),Dansk Folkeparti,1,1998-10-06,2005-02-07
1770,Erik Mortensen,Socialdemokratiet,1,1994-10-04,2003-10-06
1771,Uno Larsson,Dansk Folkeparti,1,2002-10-01,2003-10-06
1773,Carsten Bo Jensen,Socialdemokratiet,1,2002-10-01,2003-10-06
1774,Jørgen Winther,"Venstre, Danmarks Liberale Parti",1,1988-10-04,2003-10-06
1777,Anita Knakkergaard,Dansk Folkeparti,1,2002-10-01,2010-10-04
1778,Svend Auken,Socialdemokratiet,1,1973-10-02,2008-10-06
1779,Else Winther Andersen,"Venstre, Danmarks Liberale Parti",1,1991-10-01,2003-10-06
1790,Freddy Dam (udpeget af V),"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1791,Henrik Vestergaard,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1792,Svend Aage Jensby,"Venstre, Danmarks Liberale Parti",1,1991-10-01,2003-10-06
1793,Keld Albrechtsen,Enhedslisten,3,1995-10-03,2003-10-06
1793,Keld Albrechtsen,Enhedslisten - De Rød-Grønne,2,1994-09-21,1995-10-02
1793,Keld Albrechtsen,Venstresocialisterne,1,1984-10-02,1994-09-20
1804,Jan Petersen (udpeget af S),Socialdemokratiet,1,1991-10-01,2003-10-06
1805,Inge-Lene Ebdrup,Ny Alliance,2,2007-08-15,
1805,Inge-Lene Ebdrup,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2007-08-14
1811,Erik Larsen (udpeget af V),"Venstre, Danmarks Liberale Parti",1,1991-10-01,2003-10-06
1814,Gudrun Laub,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2006-11-13
1815,Jette Jespersen,Dansk Folkeparti,1,2002-10-01,2003-10-06
1817,Jens Christian Larsen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1818,Ester Larsen,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2003-10-06
1821,Sven Buhrkall,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1822,Jens Peter Vernersen,Socialdemokratiet,1,1994-10-04,2010-10-04
1823,Knud Erik Kirkegaard,Det Konservative Folkeparti,1,1984-10-02,2003-10-06
1824,Anders Møller,Uden for folketingsgrupperne - Anders Møller,2,2003-10-07,
1824,Anders Møller,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2003-10-06
1829,Thor Pedersen,"Venstre, Danmarks Liberale Parti",1,1985-01-01,2010-10-04
1830,Helge Mortensen,Socialdemokratiet,1,1984-10-02,2003-10-06
1831,Freddie H. Madsen,Dansk Folkeparti,1,2002-10-01,2003-10-06
1833,Høgni Hoydal,Tjóðveldi,2,2010-12-17,2017-10-02
1833,Høgni Hoydal,Tjóðveldisflokkurin,1,2001-11-20,2010-12-16
1844,Jens Kirk,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2010-10-04
1845,Søren Gade,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2025-10-06
1850,Christian Lund Jepsen,"Venstre, Danmarks Liberale Parti",1,2003-03-12,2003-10-06
1879,Lars Kramer Mikkelsen,Socialdemokratiet,1,1998-10-06,2003-10-06
1880,Anne-Marie Meldgaard,Socialdemokratiet,1,1991-10-01,2010-10-04
1881,Elisabeth Arnold,Det Radikale Venstre,1,1988-10-04,2003-10-06
1882,Henriette Kjær,Det Konservative Folkeparti,1,1994-10-04,2010-10-04
1883,Anne Grete Holmsgaard (udpeget af SF),Socialistisk Folkeparti,3,1986-09-12,2010-10-04
1883,Anne Grete Holmsgaard (udpeget af SF),Uden for folketingsgrupperne - Anne Grete Holmsgaard,2,1986-07-01,1986-09-11
1883,Anne Grete Holmsgaard (udpeget af SF),Venstresocialisterne,1,1980-10-07,1986-06-30
1885,Inge Dahl-Sørensen,"Venstre, Danmarks Liberale Parti",1,1988-10-04,2003-10-06
1886,Jacob Buksti,Socialdemokratiet,1,1994-10-04,2003-10-06
1887,Connie Hedegaard,Det Konservative Folkeparti,1,1984-10-02,2009-10-05
1891,Thomas Adelskov,Socialdemokratiet,1,2000-09-01,2009-10-05
1911,Henning Gjellerod,Socialdemokratiet,1,1991-10-01,2004-07-07
1912,Ida Jørgensen,Det Radikale Venstre,1,2004-07-15,
1914,Jakob Jensen,Socialdemokratiet,1,2004-10-19,
1916,Christian Wedell-Neergaard,Det Konservative Folkeparti,1,2004-07-20,
1947,Søren Hansen,Socialdemokratiet,1,1980-10-07,2005-01-10
1948,Birgitte Møller,Det Radikale Venstre,1,2005-01-13,
1951,Flemming Møller (udpeget af V),"Venstre, Danmarks Liberale Parti",1,2004-10-19,2010-10-04
2103,Britta Schall Holberg,"Venstre, Danmarks Liberale Parti",1,1984-10-02,2010-10-04
2156,Gitte Seeberg,Det Konservative Folkeparti,1,1994-10-04,2007-11-12
2156,Gitte Seeberg,Ny Alliance,2,2007-11-13,2008-01-29
2156,Gitte Seeberg,Uden for folketingsgrupperne - Gitte Seeberg,3,2008-01-30,
3082,Henrik Brodersen,Dansk Folkeparti,1,2005-03-01,2018-10-01
3084,Troels Christensen (udpeget af V),"Venstre, Danmarks Liberale Parti",1,2007-11-13,2010-10-04
3085,Kim Mortensen,Socialdemokratiet,1,2007-11-13,2010-10-04
3086,Johs. Poulsen,Det Radikale Venstre,1,2006-11-04,2010-10-04
3086,Johs. Poulsen,Radikale Venstre,2,2010-10-05,2010-11-18
3088,Bente Dahl,Det Radikale Venstre,1,2007-11-13,2010-10-04
3088,Bente Dahl,Radikale Venstre,2,2010-10-05,
3090,Tina Petersen,Dansk Folkeparti,1,2005-02-08,2010-10-04
3092,Vibeke Grave,Socialdemokratiet,1,2005-03-31,2010-10-04
3992,Bjørn Medom Nielsen,Socialdemokratiet,1,2006-01-01,
3993,Grethe H. Nielsen,Socialdemokratiet,1,2005-10-27,
3994,Jesper Kinch-Jensen,Socialdemokratiet,1,2006-01-17,
3995,Egil Møller,Dansk Folkeparti,1,1998-10-06,2005-10-05
3996,Henrik Fruergaard,"Venstre, Danmarks Liberale Parti",1,2006-05-29,
3997,Tina Bostrup,Det Radikale Venstre,1,2005-12-12,
3998,Thomas Krog,Socialistisk Folkeparti,1,2006-01-10,
4428,Jens Borking,Enhedslisten,1,2007-10-02,
4433,Jens Jørgen Nygaard,Det Konservative Folkeparti,1,2007-05-08,2007-10-01
4434,Abbas Razvi,Det Radikale Venstre,1,2007-10-02,2021-12-05
4434,Abbas Razvi,Radikale Venstre,2,2021-12-06,2022-10-03
4515,Jørgen S. Lundsgaard,Det Konservative Folkeparti,1,2009-06-18,2010-10-04
4956,Ib Poulsen,Dansk Folkeparti,1,2007-11-13,2018-10-01
4957,Tage Leegaard,Det Konservative Folkeparti,1,2010-01-01,2010-10-04
4965,Hanne Agersnap (udpeget af SF),Socialistisk Folkeparti,1,2007-11-13,2010-11-18
4968,Knud Kristensen,Det Konservative Folkeparti,1,2007-11-13,2009-10-05
4969,Jørgen Poulsen,Det Radikale Venstre,3,2008-08-13,2010-10-04
4969,Jørgen Poulsen,Ny Alliance,1,2007-11-13,2008-06-23
4969,Jørgen Poulsen,Radikale Venstre,4,2010-10-05,
4969,Jørgen Poulsen,Uden for folketingsgrupperne - Jørgen Poulsen,2,2008-06-24,2008-08-12
4971,Jane Alrø Sørensen,Socialistisk Folkeparti,1,2008-04-13,2009-10-27
5132,Flemming Bonne,Socialistisk Folkeparti,1,2007-11-13,2009-10-05
5182,Anne Marie Geisler Andersen,Det Radikale Venstre,1,2009-09-01,2010-10-04
5182,Anne Marie Geisler Andersen,Radikale Venstre,2,2010-10-05,2018-11-25
5468,Dorrit Knudsen,Socialdemokratiet,1,2006-10-03,2011-01-24
6684,Annita á Fríðriksmørk,Tjóðveldisflokkurin,1,2008-09-09,2008-10-06
6685,Anders Broholm,"Venstre, Danmarks Liberale Parti",1,2008-01-22,2008-10-30
6686,Torben Lund,Socialistisk Folkeparti,1,2008-01-10,
6687,Kaj Leo Johannesen,Sambandsflokkurin,1,2007-12-04,
6688,Henrik Rasmussen,Det Konservative Folkeparti,1,2007-11-29,2010-01-03
6689,Juliane Henningsen Heilmann,Inuit Ataqatigiit,1,2007-11-13,2010-10-04
6701,Kenneth F. Christensen,Socialdemokratiet,1,2008-10-07,
6737,Johannes Lebech,Radikale Venstre,1,2016-05-10,
8910,Karin Storgaard,Dansk Folkeparti,1,2008-10-29,
8917,Thomas Horn,Socialdemokratiet,1,2008-10-29,2009-10-27
9780,Tórbjørn Jacobsen,Tjóðveldi,1,2016-10-18,
9976,Jette Gottlieb,Enhedslisten,2,1995-10-03,2024-09-30
9976,Jette Gottlieb,Enhedslisten - De Rød-Grønne,1,1994-09-21,1995-10-02
10107,Bruno Jerup,Enhedslisten,2,1995-10-03,2022-03-31
10107,Bruno Jerup,Enhedslisten - De Rød-Grønne,1,1994-09-21,1995-10-02
10690,Steen Konradsen,Det Konservative Folkeparti,1,2010-02-11,
10691,Kurt Scheelsbeck,Det Konservative Folkeparti,1,2010-09-07,2010-10-04
10702,Helle Dam,Socialdemokratiet,1,2009-10-29,
10704,Kasper Krüger,"Venstre, Danmarks Liberale Parti",1,2010-06-10,
10705,Bente Kronborg Holst,Dansk Folkeparti,1,2009-10-28,
10706,Jette Plesner Dali,Dansk Folkeparti,1,2010-03-01,
10707,Erikanell Asmuss Lorentsen,Det Radikale Venstre,1,2010-04-06,2010-10-26
10707,Erikanell Asmuss Lorentsen,Radikale Venstre,2,2010-10-27,
11412,Anna Kirsten Olesen,Socialdemokratiet,1,2010-10-27,
11583,Kenneth Kristensen Berth,Dansk Folkeparti,1,2011-02-22,2018-10-01
11584,Daniel Rugholm,Det Konservative Folkeparti,1,2010-11-01,2014-11-10
11585,Jens Arne Hedegaard,"Venstre, Danmarks Liberale Parti",1,2010-10-27,
11586,Bilal Inekci,Socialistisk Folkeparti,1,2010-10-27,
11702,Per Larsen,Det Konservative Folkeparti,1,2022-11-01,2025-10-06
12283,Aksel V. Johannesen,Javnaðarflokkurin,1,2012-04-20,
12284,Marie-Louise Andreassen,Radikale Venstre,1,2011-10-27,
12285,Ida Damborg,Socialistisk Folkeparti,1,2011-10-27,
13727,Sarah Nørris,Enhedslisten,1,2014-10-22,
13836,Helge Vagn Jacobsen,Radikale Venstre,1,2014-11-03,
13843,Bente Bendix,"Venstre, Danmarks Liberale Parti",1,2014-11-07,
14000,Nick Nielsen,Siumut,1,2014-12-16,
14372,Susanne Eilersen (udpeget af DF),Dansk Folkeparti,1,2015-03-10,2022-10-03
15757,Aaja Chemnitz,Inuit Ataqatigiit,1,2022-11-01,2025-10-06
15758,Aleqa Hammond,Nunatta Qitornai,3,2018-10-02,
15758,Aleqa Hammond,Siumut,1,2015-06-18,2016-08-22
15758,Aleqa Hammond,Uden for folketingsgrupperne - Aleqa Hammond ,2,2016-08-23,2018-10-01
15760,Lea Wermelin,Socialdemokratiet,1,2015-06-18,2023-10-02
15761,Karina Due,Dansk Folkeparti,1,2015-06-18,2018-10-01
15762,Christian Rabjerg Madsen,Socialdemokratiet,1,2015-06-18,2022-10-03
15763,Peter Kofod,Dansk Folkeparti,1,2015-06-18,2023-10-10
15764,Jan Rytkjær Callesen,Dansk Folkeparti,1,2015-06-18,2018-10-01
15765,Carl Holst,"Venstre, Danmarks Liberale Parti",1,2015-06-18,2018-11-07
15766,Erik Christensen (udpeget af S),Socialdemokratiet,1,2015-06-18,2018-10-01
15767,Pernille Bendixen,Dansk Folkeparti,1,2015-06-18,2019-12-02
15768,Pernille Schnoor,Alternativet,2,2016-04-24,2018-10-01
15768,Pernille Schnoor,Socialdemokratiet,1,2015-06-18,2016-04-23
15769,Maria Reumert Gjerding,Enhedslisten,1,2015-06-18,2017-10-02
15770,Mattias Tesfaye,Socialdemokratiet,1,2015-06-18,2025-10-06
15771,Morten Løkkegaard,"Venstre, Danmarks Liberale Parti",1,2015-06-18,2015-10-05
15772,Ulla Sandbæk,Alternativet,1,2015-06-18,2018-10-01
15773,Christina Egelund,Liberal Alliance,1,2015-06-18,2018-10-01
15774,Lise Bech,Danmarksdemokraterne - Inger Støjberg,3,2022-08-18,2022-10-31
15774,Lise Bech,Danmarksdemokraterne – Inger Støjberg,4,2022-11-01,2023-10-02
15774,Lise Bech,Dansk Folkeparti,1,2015-06-18,2022-02-21
15774,Lise Bech,Uden for folketingsgrupperne - Lise Bech,2,2022-02-22,2022-08-17
15775,Torsten Gejl,Alternativet,1,2015-06-18,2022-10-03
15776,Peter Hummelgaard,Socialdemokratiet,1,2015-06-18,2025-10-06
15777,Pelle Dragsted,Enhedslisten,1,2015-06-18,2022-10-31
15778,Carolina Magdalene Maier,Alternativet,1,2015-06-18,2018-10-01
15779,Carsten Bach,Liberal Alliance,1,2015-06-18,2025-10-06
15780,Tilde Bork,Dansk Folkeparti,1,2015-06-18,2018-10-01
15781,Claus Kvist Hansen,Dansk Folkeparti,1,2015-06-18,2018-10-01
15782,Britt Bager,Det Konservative Folkeparti,2,2021-03-24,2022-10-03
15782,Britt Bager,"Venstre, Danmarks Liberale Parti",1,2015-06-18,2021-03-23
15783,Josephine Fock,Alternativet,1,2015-06-18,2018-10-01
15784,Søren Pape Poulsen,Det Konservative Folkeparti,1,2022-11-01,2023-10-02
15785,Jakob Sølvhøj,Enhedslisten,1,2015-06-18,2022-10-03
15786,René Gade,Alternativet,1,2015-06-18,2018-10-01
15787,Kaare Dybvad Bek,Socialdemokratiet,1,2015-06-18,2025-10-06
15788,Jacob Mark,Socialistisk Folkeparti,1,2015-06-18,2022-10-03
15789,Jeppe Jakobsen,Dansk Folkeparti,1,2015-06-18,2018-10-01
15790,Marcus Knuth,Det Konservative Folkeparti,2,2019-11-29,2022-10-03
15790,Marcus Knuth,"Venstre, Danmarks Liberale Parti",1,2015-06-18,2019-11-28
15791,Eva Flyvholm,Enhedslisten,1,2015-06-18,2022-10-03
15792,Rasmus Nordqvist,Alternativet,1,2015-06-18,2020-03-09
15792,Rasmus Nordqvist,Socialistisk Folkeparti,3,2020-05-13,2022-10-03
15792,Rasmus Nordqvist,Uden for folketingsgrupperne - Rasmus Nordqvist,2,2020-03-10,2020-05-12
15793,Mette Abildgaard,Det Konservative Folkeparti,1,2015-06-18,2023-10-02
15794,Trine Torp,Socialistisk Folkeparti,1,2015-06-18,2022-10-03
15795,May-Britt Kattrup,Liberal Alliance,1,2015-06-18,2018-10-01
15796,Jan Erik Messmann,Dansk Folkeparti,1,2015-06-18,2018-10-01
15797,Christian Poll,Alternativet,1,2015-06-18,2018-10-01
15798,Dorthe Ullemose,Dansk Folkeparti,1,2015-06-18,2018-10-01
15799,Roger Courage Matthisen,Alternativet,1,2015-06-18,2018-10-01
15800,Henrik Dahl,Liberal Alliance,1,2022-11-01,2023-12-13
15881,Magni Arge,Tjóðveldi,1,2015-07-28,2018-10-01
16072,Carsten Kudsk,Dansk Folkeparti,1,2015-10-21,2019-10-29
16073,Rasmus Vestergaard Madsen,Enhedslisten,1,2015-10-26,2020-12-31
16074,Steen Holm Iversen,Liberal Alliance,1,2015-10-22,
16092,Sisse Marie Welling,Socialistisk Folkeparti,1,2015-10-26,
16176,Nikolaj Amstrup,Alternativet,1,2015-11-03,2017-10-02
16180,Kasper Roug,Socialdemokratiet,1,2022-11-01,2025-10-06
16351,Malte Larsen,Socialdemokratiet,1,2015-11-12,2022-10-31
16374,Anders Johansson,Det Konservative Folkeparti,1,2015-12-04,2018-10-01
16428,Emrah Tuncer,Radikale Venstre,1,2016-01-01,
16473,Malou Lunderød,Socialdemokratiet,1,2016-02-01,2018-10-01
16503,Anne Paulin,Socialdemokratiet,1,2022-11-01,2025-10-06
16582,Peder Hvelplund,Enhedslisten,1,2016-03-29,2022-10-03
16603,Sarah Glerup,Enhedslisten,1,2016-04-04,
16610,Lars Aslan Rasmussen,Socialdemokratiet,1,2016-04-04,2022-10-03
16728,Kirsten Normann Andersen,Socialistisk Folkeparti,1,2016-08-08,2023-10-02
16757,Danny K. Malkowski,Liberal Alliance,1,2016-10-01,2016-10-03
16952,Helle Osther,Enhedslisten,1,2016-10-26,
17134,Jonathan Simmel,Enhedslisten,1,2022-08-12,2022-10-03
17140,Orla Østerby,Det Konservative Folkeparti,1,2016-12-15,2020-12-03
17140,Orla Østerby,Uden for folketingsgrupperne - Orla Østerby,2,2020-12-04,2022-10-03
17141,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,1,2016-12-15,2023-11-23
17247,Klaus Markussen,"Venstre, Danmarks Liberale Parti",1,2017-03-20,
17267,Kristian Hegaard,Radikale Venstre,1,2017-04-18,2020-10-05
17360,Merete Scheelsbeck,Det Konservative Folkeparti,1,2017-05-02,2024-01-08
17543,Marianne Bredal,"Venstre, Danmarks Liberale Parti",1,2017-10-03,
17628,Carl Valentin,Socialistisk Folkeparti,1,2017-10-25,2026-02-06
17629,Mads Fuglede,Danmarksdemokraterne – Inger Støjberg,2,2024-04-12,2025-10-06
17629,Mads Fuglede,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2024-04-11
17736,Per Nørhave,Dansk Folkeparti,1,2017-12-01,
17752,Anders Stjernholm,Alternativet,1,2017-11-28,
17827,Tina Boel,Socialistisk Folkeparti,1,2018-02-19,
17963,Øjvind Vilsholm,Enhedslisten,1,2018-04-09,2018-10-01
17988,Bjarni Hammer,Javnaðarflokkurin,1,2018-05-07,
17990,Tommy Ahlers,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2020-10-05
18265,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",1,2018-10-02,2022-10-03
18278,Serdal Benli,Socialistisk Folkeparti,1,2018-09-30,2024-09-30
18291,Erik Lund,Det Konservative Folkeparti,1,2018-10-08,
18415,Julius Graakjær Grantzau,Alternativet,1,2018-11-01,
18545,Henrik Old,Javnaðarflokkurin,1,2019-01-15,
18614,Rigmor Dam,Javnaðarflokkurin,1,2019-02-28,
18688,Aki-Matilda Høegh-Dam,Naleraq,3,2025-02-11,2025-11-14
18688,Aki-Matilda Høegh-Dam,Siumut,1,2022-11-01,2025-02-07
18688,Aki-Matilda Høegh-Dam,Uden for folketingsgrupperne - Aki-Matilda Høegh-Dam,2,2025-02-08,2025-02-10
18691,Sikandar Siddique,Alternativet,1,2019-06-05,2020-03-09
18691,Sikandar Siddique,"Frie Grønne, Danmarks Nye Venstrefløjsparti",3,2021-11-03,2022-10-03
18691,Sikandar Siddique,Uden for folketingsgrupperne - Sikandar Siddique,2,2020-03-10,2021-11-02
18692,Susanne Zimmer,Alternativet,1,2019-06-05,2020-03-09
18692,Susanne Zimmer,"Frie Grønne, Danmarks Nye Venstrefløjsparti",3,2021-11-03,2022-10-03
18692,Susanne Zimmer,Uden for folketingsgrupperne - Susanne Zimmer,2,2020-03-10,2021-11-02
18693,Mai Villadsen,Enhedslisten,1,2019-06-05,2025-10-06
18694,Victoria Velasquez,Enhedslisten,1,2019-06-05,2023-04-20
18695,Kim Valentin,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2025-10-06
18696,Morten Dahlin,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2025-10-06
18697,Stén Knuth,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2022-10-03
18698,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2022-10-03
18699,Christoffer Aagaard Melson,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2025-10-06
18700,Heidi Bank,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2025-10-06
18701,Marie Bjerre,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2025-10-06
18702,Anne Honoré Østergaard,"Venstre, Danmarks Liberale Parti",1,2019-06-05,2022-10-03
18703,Alex Vanopslagh,Liberal Alliance,1,2022-11-01,2025-10-06
18704,Halime Oguz,Socialistisk Folkeparti,1,2019-06-05,2025-10-06
18705,Ina Strøjer-Schmidt,Socialistisk Folkeparti,1,2019-06-05,2022-10-03
18706,Anne Valentina Berthelsen,Socialistisk Folkeparti,1,2022-11-01,2024-11-13
18707,Astrid Carøe,Socialistisk Folkeparti,1,2019-06-05,2025-10-06
18708,Charlotte Broman Mølbæk,Socialistisk Folkeparti,1,2019-06-05,2025-10-06
18709,Signe Munk,Socialistisk Folkeparti,1,2019-06-05,2025-10-06
18710,Katarina Ammitzbøll,Det Konservative Folkeparti,1,2019-06-05,2022-10-03
18711,Birgitte Bergman,Det Konservative Folkeparti,1,2019-06-05,2024-09-30
18712,Niels Flemming Hansen,Det Konservative Folkeparti,1,2022-11-01,2023-10-02
18713,Mona Juul,Det Konservative Folkeparti,1,2019-06-05,2025-10-06
18714,Kasper Sand Kjær,Socialdemokratiet,1,2022-11-01,2023-10-02
18715,Henrik Møller,Socialdemokratiet,1,2022-11-01,2025-10-06
