aktørid,politician,party
19996,Helgi Abrahamsen,Sambandsflokkurin
20051,Theis Kylling Hommeltoft,Socialdemokratiet
20144,Maria Gudme,Socialdemokratiet
17134,Jonathan Simmel,Enhedslisten
20359,Sigurd Agersnap,Socialistisk Folkeparti
20355,Kim Edberg Andersen,Danmarksdemokraterne
20358,Marianne Bigum,Socialistisk Folkeparti
20356,Mikkel Bjørn,Dansk Folkeparti
20399,Louise Brown,Liberal Alliance
20352,Helene Brydensholt,Alternativet
20376,Kristian Bøgsted,Danmarksdemokraterne
20363,Sara Emil Baaring,Socialdemokratiet
20393,Katrine Daugaard,Liberal Alliance
20368,Maria Durhuus,Socialdemokratiet
20378,Rosa Eriksen,Moderaterne
20349,Anna Falkenberg,Sambandsflokkurin
20353,Sascha Faxe,Alternativet
20390,Mike Villa Fonseca,Uden for folketingsgrupperne
20384,Nanna W. Gotfredsen,Moderaterne
20385,Charlotte Bagge Hansen,Moderaterne
20389,Peter Have,Moderaterne
20361,Fie Hækkerup,Socialdemokratiet
20391,Sólbjørg Jakobsen,Liberal Alliance
20366,Thomas Skriver Jensen,Socialdemokratiet
20373,Susie Jessen,Danmarksdemokraterne
20372,Betina Kastbjerg,Danmarksdemokraterne
20387,Kristian Klarskov,Moderaterne
20381,Karin Liltorp,Alternativet
20386,Rasmus Lund-Nielsen,Moderaterne
20396,Jens Meilvang,Liberal Alliance
20362,Thomas Monberg,Socialdemokratiet
20375,Charlotte Munch,Danmarksdemokraterne
20370,Christina Olumeko,Alternativet
20374,Kenneth Fredslund Petersen,Danmarksdemokraterne
20365,Matilde Powers,Socialdemokratiet
20380,Monika Rubin,Moderaterne
20395,Alexander Ryle,Liberal Alliance
20354,Theresa Scavenius,Uden for folketingsgrupperne
20400,Sandra Elisabeth Skalvig,Liberal Alliance
20367,Kris Jensen Skriver,Socialdemokratiet
20388,Jon Stephensen,Uden for folketingsgrupperne
20383,Jeppe Søe,Uden for folketingsgrupperne
20371,Linea Søgaard-Lidell,Venstre
20364,Frederik Vad,Socialdemokratiet
20350,Nick Zimmermann,Dansk Folkeparti
20351,Franciska Rosenkilde,Alternativet
20357,Lise Bertelsen,Det Konservative Folkeparti
20360,Sofie Lippert,Socialistisk Folkeparti
20369,Helle Bonnesen,Det Konservative Folkeparti
20377,Henrik Frandsen,Moderaterne
20379,Tobias Grotkjær Elmstrøm,Moderaterne
20382,Mette Kierkgaard,Moderaterne
20392,Lars-Christian Brask,Liberal Alliance
20394,Steffen W. Frølund,Liberal Alliance
20397,Steffen Larsen,Liberal Alliance
20398,Helena Artmann Andresen,Liberal Alliance
20411,Leila Stockmarr,Enhedslisten
20415,Mohammad Rona,Moderaterne
20496,Henrik Rejnholt Andersen,Moderaterne
20539,Noah Sturis,Alternativet
20559,Reza Javid,Enhedslisten
20580,Lean Milo,Moderaterne
20527,Nanna Høyrup,Alternativet
20599,Søren Rasmussen,Dansk Folkeparti
20642,Anne Hegelund,Enhedslisten
20629,Nikoline Erbs Hillers-Bendtsen,Alternativet
20635,Markus E. Olsen,Siumut
20767,Andreas Karlsen,Det Konservative Folkeparti
20781,Gunvor Wibroe,Socialdemokratiet
20747,Jenny Andresen,Danmarksdemokraterne
20779,Runa Friis Hansen,Enhedslisten
20790,Ken Kristensen,Venstre
20805,Jan Carlsen,Moderaterne
20798,Mads Olsen,Socialistisk Folkeparti
20820,Carl Andersen,Liberal Alliance
20823,Morten Vehl,Danmarksdemokraterne
20841,Lars Arne Christensen,Moderaterne
20916,Kenneth Bjerg Andersen,Moderaterne
20917,Tina Cartey Hansen,Det Konservative Folkeparti
20925,Dina Raabjerg,Det Konservative Folkeparti
20930,Louise Mehnke,Socialdemokratiet
20941,Preben Friis-Hauge,Venstre
20962,Claus Jørgensen,Socialistisk Folkeparti
20966,Frederik Bloch Münster,Det Konservative Folkeparti
20976,Caroline Stage Olsen,Moderaterne
21075,Michael Rosenmark,Danmarksdemokraterne
21076,Charlotte Nellemann,Liberal Alliance
21083,Thorkild Holmboe-Hay,Socialdemokratiet
21044,Lasse Haugaard Pedersen,Socialdemokratiet
21143,Morten Klessen,Socialdemokratiet
21159,Ammar Ali,Moderaterne
21161,Lisa Perkins,Liberal Alliance
21194,Joachim Hoffmann-Petersen,Det Konservative Folkeparti
21168,Erik Veje Rasmussen,Venstre
21186,Mads Madsen Henriksen,Socialdemokratiet
21206,Elvira Kûitse,Naleraq
