aktørid,aktør,Period,party
18278,Serdal Benli,66,Socialistisk Folkeparti
18722,Peter Seier Christensen,66,Nye Borgerlige
176,Søren Søndergaard,66,Enhedslisten
20930,Louise Mehnke,66,Socialdemokratiet
199,Karsten Hønge,66,Socialistisk Folkeparti
17990,Tommy Ahlers,66,Venstre
18723,Pernille Vermund,66,Nye Borgerlige
17988,Bjarni Hammer,66,Javnaðarflokkurin
200,Jane Heitmann,66,Venstre
18724,Lars Boje Mathiesen,66,Nye Borgerlige
44,Henning Hyllested,66,Enhedslisten
17963,Øjvind Vilsholm,66,Enhedslisten
173,Jacob Jensen,66,Venstre
18265,Carsten Kissmeyer,66,Venstre
18415,Julius Graakjær Grantzau,66,Alternativet
43,Pia Olsen Dyhr,66,Socialistisk Folkeparti
18545,Henrik Old,66,Javnaðarflokkurin
193,Karsten Nonbo,66,Venstre
18717,Bjørn Brandenborg,66,Socialdemokratiet
18693,Mai Villadsen,66,Enhedslisten
20362,Thomas Monberg,66,Socialdemokratiet
134,Christian Friis Bach,66,Radikale Venstre
18718,Anders Kronborg,66,Socialdemokratiet
194,Kristian Pihl Lorentzen,66,Venstre
179,Hans Christian Thoning,66,Venstre
18692,Susanne Zimmer,66,Alternativet
28,Henrik Sass Larsen,66,Socialdemokratiet
18691,Sikandar Siddique,66,Alternativet
18719,Birgitte Vind,66,Socialdemokratiet
20976,Caroline Stage Olsen,66,Moderaterne
195,Pernille Vigsø Bagge,66,Socialistisk Folkeparti
18688,Aki-Matilda Høegh-Dam,66,Siumut
18614,Rigmor Dam,66,Javnaðarflokkurin
18720,Camilla Fabricius,66,Socialdemokratiet
178,Michael Aastrup Jensen,66,Venstre
197,Mette Gjerskov,66,Socialdemokratiet
180,Peter Juel-Jensen,66,Venstre
20355,Kim Edberg Andersen,66,Nye Borgerlige
19000,Theresa Berg Andersen,66,Socialistisk Folkeparti
18707,Astrid Carøe,66,Socialistisk Folkeparti
15789,Jeppe Jakobsen,66,Dansk Folkeparti
15778,Carolina Magdalene Maier,66,Alternativet
226,Ole Sohn,66,Socialistisk Folkeparti
20820,Carl Andersen,66,Liberal Alliance
15790,Marcus Knuth,66,Venstre
19807,Anne Rasmussen,66,Venstre
13,Sara Olsvig,66,Inuit Ataqatigiit
245,Leif Mikkelsen,66,Venstre
20144,Maria Gudme,66,Socialdemokratiet
15791,Eva Flyvholm,66,Enhedslisten
15777,Pelle Dragsted,66,Enhedslisten
62,Annette Vilhelmsen,66,Socialistisk Folkeparti
225,Uffe Elbæk,66,Radikale Venstre
155,Villum Christensen,66,Liberal Alliance
15792,Rasmus Nordqvist,66,Alternativet
19806,Alexander Grandt,66,Socialdemokratiet
20805,Jan Carlsen,66,Moderaterne
56,Karin Nødgaard,66,Dansk Folkeparti
20349,Anna Falkenberg,66,Sambandsflokkurin
156,Lone Loklindt,66,Radikale Venstre
15794,Trine Torp,66,Socialistisk Folkeparti
19748,Stine Pilt Olsen,66,Det Konservative Folkeparti
224,Flemming Møller Mortensen,66,Socialdemokratiet
20051,Theis Kylling Hommeltoft,66,Socialdemokratiet
15775,Torsten Gejl,66,Alternativet
20962,Claus Jørgensen,66,Socialistisk Folkeparti
15793,Mette Abildgaard,66,Det Konservative Folkeparti
59,Rasmus Helveg Petersen,66,Radikale Venstre
20354,Theresa Scavenius,66,Alternativet
246,Orla Hav,66,Socialdemokratiet
15776,Peter Hummelgaard,66,Socialdemokratiet
20369,Helle Bonnesen,66,Det Konservative Folkeparti
15795,May-Britt Kattrup,66,Liberal Alliance
154,Mogens Jensen,66,Socialdemokratiet
19996,Helgi Abrahamsen,66,Sambandsflokkurin
19948,Mark Grossmann,66,Venstre
15783,Josephine Fock,66,Alternativet
235,Jeppe Kofod,66,Socialdemokratiet
15782,Britt Bager,66,Venstre
152,Ida Auken,66,Socialistisk Folkeparti
129,Bertel Haarder,66,Venstre
238,Morten Messerschmidt,66,Dansk Folkeparti
15784,Søren Pape Poulsen,66,Det Konservative Folkeparti
19928,Kim Aas,66,Socialdemokratiet
20353,Sascha Faxe,66,Alternativet
15785,Jakob Sølvhøj,66,Enhedslisten
15781,Claus Kvist Hansen,66,Dansk Folkeparti
234,Anders Fogh Rasmussen,66,Venstre
12,Nicolai Wammen,66,Socialdemokratiet
153,Per Stig Møller,66,Det Konservative Folkeparti
15786,René Gade,66,Alternativet
15780,Tilde Bork,66,Dansk Folkeparti
149,Lars Barfoed,66,Det Konservative Folkeparti
144,Helle Thorning-Schmidt,66,Socialdemokratiet
15779,Carsten Bach,66,Liberal Alliance
15788,Jacob Mark,66,Socialistisk Folkeparti
19809,Christina Thorholm,66,Radikale Venstre
231,Manu Sareen,66,Radikale Venstre
57,Jakob Engel-Schmidt,66,Venstre
19982,Jan Bjergskov Larsen,66,Socialistisk Folkeparti
244,Magnus Heunicke,66,Socialdemokratiet
15787,Kaare Dybvad Bek,66,Socialdemokratiet
16073,Rasmus Vestergaard Madsen,66,Enhedslisten
20371,Linea Søgaard-Lidell,66,Venstre
20370,Christina Olumeko,66,Alternativet
19920,Karsten Filsø,66,Socialistisk Folkeparti
19919,Brian Bressendorff,66,Socialdemokratiet
15774,Lise Bech,66,Dansk Folkeparti
148,Anders Samuelsen,66,Radikale Venstre
247,Edmund Joensen,66,Venstre
19569,Maja Torp,66,Venstre
15799,Roger Courage Matthisen,66,Alternativet
15772,Ulla Sandbæk,66,Alternativet
127,Preben Bang Henriksen,66,Venstre
249,Kirsten Brosbøl (udpeget af S),66,Socialdemokratiet
19480,Henrik Vinther,66,Radikale Venstre
147,Johanne Schmidt-Nielsen,66,Enhedslisten
15800,Henrik Dahl,66,Liberal Alliance
159,Lars Dohn,66,Enhedslisten
19475,Susan Kronborg,66,Radikale Venstre
20966,Frederik Bloch Münster,66,Det Konservative Folkeparti
20368,Maria Durhuus,66,Socialdemokratiet
15798,Dorthe Ullemose,66,Dansk Folkeparti
17,Christine Antorini,66,Socialistisk Folkeparti
15881,Magni Arge,66,Tjóðveldi
15771,Morten Løkkegaard,66,Venstre
219,Lisbeth Bech-Nielsen,66,Socialistisk Folkeparti
64,Flemming Damgaard Larsen,66,Venstre
55,Marianne Jelved,66,Radikale Venstre
20351,Franciska Rosenkilde,66,Alternativet
16072,Carsten Kudsk,66,Dansk Folkeparti
252,Pia Kjærsgaard,66,Dansk Folkeparti
19221,Hanne Bjørn-Klausen,66,Det Konservative Folkeparti
21186,Mads Madsen Henriksen,66,Socialdemokratiet
217,Lars Christian Lilleholt,66,Venstre
15770,Mattias Tesfaye,66,Socialdemokratiet
5,Frank Aaen,66,Enhedslisten
158,Eigil Andersen,66,Socialistisk Folkeparti
220,Morten Bødskov,66,Socialdemokratiet
223,Henrik Høegh,66,Venstre
15796,Jan Erik Messmann,66,Dansk Folkeparti
19684,Mads Andersen,66,Det Konservative Folkeparti
130,Sophie Løhde,66,Venstre
15797,Christian Poll,66,Alternativet
19637,Kenneth Mikkelsen,66,Venstre
15773,Christina Egelund,66,Liberal Alliance
20350,Nick Zimmermann,66,Dansk Folkeparti
221,Pia Adelsteen,66,Dansk Folkeparti
20372,Betina Kastbjerg,66,Danmarksdemokraterne
18719,Birgitte Vind,67,Socialdemokratiet
1201,Mogens Camre,67,Dansk Folkeparti
18708,Charlotte Broman Mølbæk,67,Socialistisk Folkeparti
1760,Helga Moos,67,Venstre
1311,Ole Glahn,67,Radikale Venstre
18712,Niels Flemming Hansen,67,Det Konservative Folkeparti
1299,Helle Sjelle,67,Det Konservative Folkeparti
1768,Grete Schødts,67,Socialdemokratiet
1745,Ulrik Kragh,67,Venstre
20411,Leila Stockmarr,67,Enhedslisten
1757,Irene Simonsen,67,Venstre
1769,Birthe Skaarup (udpeget af DF),67,Dansk Folkeparti
18713,Mona Juul,67,Det Konservative Folkeparti
18709,Signe Munk,67,Socialistisk Folkeparti
1755,Colette L. Brix,67,Dansk Folkeparti
20349,Anna Falkenberg,67,Sambandsflokkurin
1740,Karina Sørensen,67,Dansk Folkeparti
102,Jan E. Jørgensen,67,Venstre
20393,Katrine Daugaard,67,Liberal Alliance
1319,Ole Stavad (udpeget af S),67,Socialdemokratiet
20351,Franciska Rosenkilde,67,Alternativet
5,Frank Aaen,67,Enhedslisten
1770,Erik Mortensen,67,Socialdemokratiet
1256,Pia Gjellerup (udpeget af S),67,Socialdemokratiet
19948,Mark Grossmann,67,Venstre
20359,Sigurd Agersnap,67,Socialistisk Folkeparti
20358,Marianne Bigum,67,Socialistisk Folkeparti
18707,Astrid Carøe,67,Socialistisk Folkeparti
1744,Kamal Qureshi,67,Socialistisk Folkeparti
1753,Flemming Oppfeldt,67,Uden for Folketingsgrupperne
103,Anne Sina,67,Socialdemokratiet
1249,Allan Niebuhr,67,Det Konservative Folkeparti
18718,Anders Kronborg,67,Socialdemokratiet
20352,Helene Brydensholt,67,Alternativet
1749,Jens Vibjerg (udpeget af V),67,Venstre
20051,Theis Kylling Hommeltoft,67,Socialdemokratiet
1761,Else Theill Sørensen,67,Det Konservative Folkeparti
33,Holger K. Nielsen,67,Socialistisk Folkeparti
18714,Kasper Sand Kjær,67,Socialdemokratiet
1752,Jørn Jespersen,67,Socialistisk Folkeparti
93,Louise Elholm,67,Venstre
1234,Morten Homann,67,Socialistisk Folkeparti
18716,Rasmus Stoklund,67,Socialdemokratiet
1751,Inger Bierbaum,67,Socialdemokratiet
18711,Birgitte Bergman,67,Det Konservative Folkeparti
18715,Henrik Møller,67,Socialdemokratiet
20144,Maria Gudme,67,Socialdemokratiet
20350,Nick Zimmermann,67,Dansk Folkeparti
1759,Kaj Ikast,67,Det Konservative Folkeparti
18710,Katarina Ammitzbøll,67,Det Konservative Folkeparti
1269,Niels Høiby,67,Liberal Alliance
1258,Nanna Westerby,67,Socialistisk Folkeparti
21143,Morten Klessen,67,Socialdemokratiet
1280,Niels Sindal,67,Socialdemokratiet
19982,Jan Bjergskov Larsen,67,Socialistisk Folkeparti
1746,Tove Fergo,67,Venstre
92,Carsten Hansen,67,Socialdemokratiet
20392,Lars-Christian Brask,67,Liberal Alliance
28,Henrik Sass Larsen,67,Socialdemokratiet
20391,Sólbjørg Jakobsen,67,Liberal Alliance
18717,Bjørn Brandenborg,67,Socialdemokratiet
1767,Arne Toft,67,Socialdemokratiet
19996,Helgi Abrahamsen,67,Sambandsflokkurin
1250,Jan Trøjborg,67,Socialdemokratiet
1219,Mogens Nørgård,67,Kristendemokraterne
1747,Jytte Wittrock,67,Socialdemokratiet
18720,Camilla Fabricius,67,Socialdemokratiet
99,Ole Birk Olesen,67,Liberal Alliance
1739,Thor Gunnar Kofoed,67,Venstre
1470,Sandy Brinck,67,Socialdemokratiet
1410,Peter Madsen,67,Venstre
19569,Maja Torp,67,Venstre
18,Alex Ahrendtsen,67,Dansk Folkeparti
19000,Theresa Berg Andersen,67,Socialistisk Folkeparti
1471,Sanne Schroll,67,Socialistisk Folkeparti
1473,Sidsel Homann,67,Socialistisk Folkeparti
1398,Peter Brixtofte,67,Uden for Folketingsgrupperne
19637,Kenneth Mikkelsen,67,Venstre
100,Sofie Carsten Nielsen,67,Radikale Venstre
18953,Mira Issa Bloch,67,Alternativet
20396,Jens Meilvang,67,Liberal Alliance
1393,Pernille Blach Hansen,67,Socialdemokratiet
1474,Sidsel Leth Svensson,67,Det Konservative Folkeparti
19684,Mads Andersen,67,Det Konservative Folkeparti
20356,Mikkel Bjørn,67,Nye Borgerlige
1392,Pernille Søndergaard,67,Enhedslisten
18917,Balder Mørk Andersen,67,Socialistisk Folkeparti
20354,Theresa Scavenius,67,Alternativet
1478,Simon Pihl Sørensen,67,Socialdemokratiet
97,Jesper Petersen,67,Socialistisk Folkeparti
18882,Tanja Larsson,67,Socialdemokratiet
1484,Sofia Rossen,67,Inuit Ataqatigiit
19002,Gitte Willumsen,67,Venstre
1463,Ritt Bjerregaard,67,Socialdemokratiet
19016,Dorthe Hindborg,67,Socialdemokratiet
21206,Elvira Kûitse,67,Naleraq
1433,Poul Fischer,67,Dansk Folkeparti
19196,Ruben Kidde,67,Radikale Venstre
20355,Kim Edberg Andersen,67,Nye Borgerlige
19221,Hanne Bjørn-Klausen,67,Det Konservative Folkeparti
1440,Poul Erik Christensen,67,Radikale Venstre
19146,Anna Brændemose,67,Socialistisk Folkeparti
1431,Pia Kristensen,67,Dansk Folkeparti
1444,Poul Henrik Hedeboe,67,Socialistisk Folkeparti
21083,Thorkild Holmboe-Hay,67,Socialdemokratiet
17,Christine Antorini,67,Socialdemokratiet
1417,Pia Boisen,67,Enhedslisten
1385,Pernille Frahm (udpeget af SF),67,Socialistisk Folkeparti
19142,Barbara Gaardlykke Apol,67,Javnaðarflokkurin
20397,Steffen Larsen,67,Liberal Alliance
1454,Rasmus Jarlov,67,Det Konservative Folkeparti
1414,Peter Christian Christensen,67,Socialdemokratiet
19475,Susan Kronborg,67,Radikale Venstre
19133,Anders G. Christensen,67,Venstre
1455,René Skau Björnsson,67,Socialdemokratiet
98,René Christensen,67,Dansk Folkeparti
20398,Helena Artmann Andresen,67,Liberal Alliance
1413,Peter Westermann,67,Socialistisk Folkeparti
19480,Henrik Vinther,67,Radikale Venstre
1461,Rikke Hvilshøj,67,Venstre
1447,Poul Qvist Jørgensen,67,Socialdemokratiet
18830,Nils Sjøberg,67,Radikale Venstre
19748,Stine Pilt Olsen,67,Det Konservative Folkeparti
1378,Per Ørum Jørgensen,67,Det Konservative Folkeparti
1619,Yildiz Akdogan,67,Socialdemokratiet
18725,Samira Nawa,67,Radikale Venstre
1623,Aage Frandsen,67,Socialistisk Folkeparti
1357,Helge Sander,67,Venstre
1353,Peder Sass,67,Socialdemokratiet
95,Steen Gade,67,Socialistisk Folkeparti
19919,Brian Bressendorff,67,Socialdemokratiet
1636,Aase D. Madsen (udpeget af DF),67,Dansk Folkeparti
18724,Lars Boje Mathiesen,67,Nye Borgerlige
19920,Karsten Filsø,67,Socialistisk Folkeparti
24,Karsten Lauritzen,67,Venstre
19809,Christina Thorholm,67,Radikale Venstre
18723,Pernille Vermund,67,Nye Borgerlige
1718,Svend Heiselberg,67,Venstre
18722,Peter Seier Christensen,67,Nye Borgerlige
19928,Kim Aas,67,Socialdemokratiet
20353,Sascha Faxe,67,Alternativet
1727,Jette Bergenholz Bautrup,67,Socialdemokratiet
18721,Mette Thiesen,67,Nye Borgerlige
1730,Elsebeth Gerner Nielsen,67,Radikale Venstre
20400,Sandra Elisabeth Skalvig,67,Liberal Alliance
12,Nicolai Wammen,67,Socialdemokratiet
1325,Ole Vagn Christensen,67,Socialdemokratiet
1731,Flemming Hansen,67,Det Konservative Folkeparti
1334,Peter Laigaard,67,Liberal Alliance
94,Peter Christensen,67,Venstre
18726,Stinus Lindgreen,67,Radikale Venstre
1618,Walter Christophersen,67,Dansk Folkeparti
1495,Bendt Bendtsen,67,Det Konservative Folkeparti
18736,Egil Hulgaard,67,Det Konservative Folkeparti
1502,Karl H. Bornhøft,67,Socialistisk Folkeparti
13,Sara Olsvig,67,Inuit Ataqatigiit
1503,Hans Vestager,67,Radikale Venstre
23,Bjarne Corydon,67,Socialdemokratiet
19806,Alexander Grandt,67,Socialdemokratiet
1504,Laura Lindahl,67,Liberal Alliance
20395,Alexander Ryle,67,Liberal Alliance
20399,Louise Brown,67,Liberal Alliance
18729,Katrine Robsøe,67,Radikale Venstre
1358,Julie Rademacher,67,Socialdemokratiet
1375,Per Løkken,67,Det Konservative Folkeparti
18728,Anne Sophie Callesen,67,Radikale Venstre
96,Mike Legarth,67,Det Konservative Folkeparti
1556,Jann Sjursen,67,Kristendemokraterne
19807,Anne Rasmussen,67,Venstre
1371,Per Dalgaard,67,Dansk Folkeparti
18727,Kathrine Olldag,67,Radikale Venstre
1557,Bodil Kornbek,67,Kristendemokraterne
101,Morten Marinus,67,Dansk Folkeparti
1558,Tove Videbæk,67,Kristendemokraterne
20357,Lise Bertelsen,67,Det Konservative Folkeparti
1362,Per Bisgaard,67,Venstre
1513,Kisser Franciska Lehnert,67,Liberal Alliance
20394,Steffen W. Frølund,67,Liberal Alliance
15769,Maria Reumert Gjerding,67,Enhedslisten
1771,Uno Larsson,67,Dansk Folkeparti
6701,Kenneth F. Christensen,67,Socialdemokratiet
15798,Dorthe Ullemose,67,Dansk Folkeparti
6689,Juliane Henningsen Heilmann,67,Inuit Ataqatigiit
15799,Roger Courage Matthisen,67,Alternativet
73,Merete Riisager,67,Liberal Alliance
6688,Henrik Rasmussen,67,Det Konservative Folkeparti
15797,Christian Poll,67,Alternativet
6687,Kaj Leo Johannesen,67,Sambandsflokkurin
6686,Torben Lund,67,Socialistisk Folkeparti
15800,Henrik Dahl,67,Liberal Alliance
21161,Lisa Perkins,67,Liberal Alliance
55,Marianne Jelved,67,Radikale Venstre
6685,Anders Broholm,67,Venstre
15881,Magni Arge,67,Tjóðveldi
20368,Maria Durhuus,67,Socialdemokratiet
20379,Tobias Grotkjær Elmstrøm,67,Moderaterne
6737,Johannes Lebech,67,Radikale Venstre
15796,Jan Erik Messmann,67,Dansk Folkeparti
10107,Bruno Jerup,67,Enhedslisten
15792,Rasmus Nordqvist,67,Alternativet
20369,Helle Bonnesen,67,Det Konservative Folkeparti
15793,Mette Abildgaard,67,Det Konservative Folkeparti
9976,Jette Gottlieb,67,Enhedslisten
9780,Tórbjørn Jacobsen,67,Tjóðveldi
20378,Rosa Eriksen,67,Moderaterne
15794,Trine Torp,67,Socialistisk Folkeparti
8917,Thomas Horn,67,Socialdemokratiet
72,Karen Ellemann,67,Venstre
8910,Karin Storgaard,67,Dansk Folkeparti
8319,Jytte Andersen,67,Socialdemokratiet
15795,May-Britt Kattrup,67,Liberal Alliance
7633,Torben Hansen,67,Socialdemokratiet
56,Karin Nødgaard,67,Dansk Folkeparti
20377,Henrik Frandsen,67,Moderaterne
16072,Carsten Kudsk,67,Dansk Folkeparti
5905,"Mogens Jensen, Brøndby",67,Socialdemokratiet
4957,Tage Leegaard,67,Det Konservative Folkeparti
4956,Ib Poulsen,67,Dansk Folkeparti
16351,Malte Larsen,67,Socialdemokratiet
21186,Mads Madsen Henriksen,67,Socialdemokratiet
16374,Anders Johansson,67,Det Konservative Folkeparti
4515,Jørgen S. Lundsgaard,67,Det Konservative Folkeparti
4965,Hanne Agersnap (udpeget af SF),67,Socialistisk Folkeparti
16428,Emrah Tuncer,67,Radikale Venstre
4434,Abbas Razvi,67,Radikale Venstre
16503,Anne Paulin,67,Socialdemokratiet
77,Kristian Thulesen Dahl,67,Dansk Folkeparti
20381,Karin Liltorp,67,Moderaterne
4433,Jens Jørgen Nygaard,67,Det Konservative Folkeparti
49,Erling Bonnesen,67,Venstre
16473,Malou Lunderød,67,Socialdemokratiet
6684,Annita á Fríðriksmørk,67,Tjóðveldi
16180,Kasper Roug,67,Socialdemokratiet
75,Jeppe Mikkelsen,67,Radikale Venstre
74,Mette Reissmann,67,Socialdemokratiet
5593,Carsten Hansen,67,Socialdemokratiet
16073,Rasmus Vestergaard Madsen,67,Enhedslisten
5468,Dorrit Knudsen,67,Socialdemokratiet
5182,Anne Marie Geisler Andersen,67,Radikale Venstre
16074,Steen Holm Iversen,67,Liberal Alliance
4968,Knud Kristensen,67,Det Konservative Folkeparti
5132,Flemming Bonne,67,Socialistisk Folkeparti
16176,Nikolaj Amstrup,67,Alternativet
4971,Jane Alrø Sørensen,67,Socialistisk Folkeparti
20367,Kris Jensen Skriver,67,Socialdemokratiet
50,Liselott Blixt,67,Dansk Folkeparti
20380,Monika Rubin,67,Moderaterne
4969,Jørgen Poulsen,67,Liberal Alliance
16092,Sisse Marie Welling,67,Socialistisk Folkeparti
4428,Jens Borking,67,Enhedslisten
106,Margrethe Vestager,67,Radikale Venstre
15791,Eva Flyvholm,67,Enhedslisten
15775,Torsten Gejl,67,Alternativet
62,Annette Vilhelmsen,67,Socialistisk Folkeparti
15758,Aleqa Hammond,67,Siumut
15776,Peter Hummelgaard,67,Socialdemokratiet
15777,Pelle Dragsted,67,Enhedslisten
15757,Aaja Chemnitz,67,Inuit Ataqatigiit
15760,Lea Wermelin,67,Socialdemokratiet
68,Nikolaj Villumsen,67,Enhedslisten
20371,Linea Søgaard-Lidell,67,Venstre
20374,Kenneth Fredslund Petersen,67,Danmarksdemokraterne
14372,Susanne Eilersen (udpeget af DF),67,Dansk Folkeparti
14000,Nick Nielsen,67,Siumut
15779,Carsten Bach,67,Liberal Alliance
13843,Bente Bendix,67,Venstre
15778,Carolina Magdalene Maier,67,Alternativet
13836,Helge Vagn Jacobsen,67,Radikale Venstre
15761,Karina Due,67,Dansk Folkeparti
15762,Christian Rabjerg Madsen,67,Socialdemokratiet
15768,Pernille Schnoor,67,Socialdemokratiet
15770,Mattias Tesfaye,67,Socialdemokratiet
15767,Pernille Bendixen,67,Dansk Folkeparti
21168,Erik Veje Rasmussen,67,Venstre
15766,Erik Christensen (udpeget af S),67,Socialdemokratiet
15771,Morten Løkkegaard,67,Venstre
15774,Lise Bech,67,Dansk Folkeparti
20372,Betina Kastbjerg,67,Danmarksdemokraterne
15772,Ulla Sandbæk,67,Alternativet
20373,Susie Jessen,67,Danmarksdemokraterne
15764,Jan Rytkjær Callesen,67,Dansk Folkeparti
67,Nick Hækkerup,67,Socialdemokratiet
15763,Peter Kofod,67,Dansk Folkeparti
15773,Christina Egelund,67,Liberal Alliance
15765,Carl Holst,67,Venstre
10690,Steen Konradsen,67,Det Konservative Folkeparti
15780,Tilde Bork,67,Dansk Folkeparti
15781,Claus Kvist Hansen,67,Dansk Folkeparti
15787,Kaare Dybvad Bek,67,Socialdemokratiet
11412,Anna Kirsten Olesen,67,Socialdemokratiet
57,Jakob Engel-Schmidt,67,Venstre
20376,Kristian Bøgsted,67,Danmarksdemokraterne
10707,Erikanell Asmuss Lorentsen,67,Radikale Venstre
15788,Jacob Mark,67,Socialistisk Folkeparti
11583,Kenneth Kristensen Berth,67,Dansk Folkeparti
10706,Jette Plesner Dali,67,Dansk Folkeparti
15789,Jeppe Jakobsen,67,Dansk Folkeparti
10704,Kasper Krüger,67,Venstre
10702,Helle Dam,67,Socialdemokratiet
15790,Marcus Knuth,67,Venstre
71,Tom Behnke,67,Uden for Folketingsgrupperne
10691,Kurt Scheelsbeck,67,Det Konservative Folkeparti
10705,Bente Kronborg Holst,67,Dansk Folkeparti
13727,Sarah Nørris,67,Enhedslisten
70,Martin Henriksen (udpeget af DF),67,Dansk Folkeparti
11584,Daniel Rugholm,67,Det Konservative Folkeparti
59,Rasmus Helveg Petersen,67,Radikale Venstre
12285,Ida Damborg,67,Socialistisk Folkeparti
69,Pernille Skipper,67,Enhedslisten
15782,Britt Bager,67,Venstre
12284,Marie-Louise Andreassen,67,Radikale Venstre
20375,Charlotte Munch,67,Danmarksdemokraterne
15786,René Gade,67,Alternativet
12283,Aksel V. Johannesen,67,Javnaðarflokkurin
11702,Per Larsen,67,Det Konservative Folkeparti
11586,Bilal Inekci,67,Socialistisk Folkeparti
15784,Søren Pape Poulsen,67,Det Konservative Folkeparti
15785,Jakob Sølvhøj,67,Enhedslisten
11585,Jens Arne Hedegaard,67,Venstre
20370,Christina Olumeko,67,Alternativet
15783,Josephine Fock,67,Alternativet
3998,Thomas Krog,67,Socialistisk Folkeparti
16582,Peder Hvelplund,67,Enhedslisten
3997,Tina Bostrup,67,Radikale Venstre
1833,Høgni Hoydal,67,Tjóðveldi
1831,Freddie H. Madsen,67,Dansk Folkeparti
1830,Helge Mortensen,67,Socialdemokratiet
18693,Mai Villadsen,67,Enhedslisten
1829,Thor Pedersen,67,Venstre
39,Christian Juhl,67,Enhedslisten
18692,Susanne Zimmer,67,Alternativet
1824,Anders Møller,67,Uden for Folketingsgrupperne
1823,Knud Erik Kirkegaard,67,Det Konservative Folkeparti
85,Özlem Sara Cekic,67,Socialistisk Folkeparti
20388,Jon Stephensen,67,Moderaterne
1822,Jens Peter Vernersen,67,Socialdemokratiet
18695,Kim Valentin,67,Venstre
1821,Sven Buhrkall,67,Venstre
18694,Victoria Velasquez,67,Enhedslisten
1818,Ester Larsen,67,Venstre
84,Troels Ravn,67,Socialdemokratiet
64,Flemming Damgaard Larsen,67,Venstre
43,Pia Olsen Dyhr,67,Socialistisk Folkeparti
1882,Henriette Kjær,67,Det Konservative Folkeparti
18415,Julius Graakjær Grantzau,67,Alternativet
83,Brian Mikkelsen,67,Det Konservative Folkeparti
1881,Elisabeth Arnold,67,Radikale Venstre
1880,Anne-Marie Meldgaard,67,Socialdemokratiet
1844,Jens Kirk,67,Venstre
1879,Lars Kramer Mikkelsen,67,Socialdemokratiet
18614,Rigmor Dam,67,Javnaðarflokkurin
1850,Christian Lund Jepsen,67,Venstre
18688,Aki-Matilda Høegh-Dam,67,Siumut
1845,Søren Gade,67,Venstre
18691,Sikandar Siddique,67,Alternativet
20362,Thomas Monberg,67,Socialdemokratiet
18545,Henrik Old,67,Javnaðarflokkurin
18291,Erik Lund,67,Det Konservative Folkeparti
18696,Morten Dahlin,67,Venstre
1815,Jette Jespersen,67,Dansk Folkeparti
87,Finn Sørensen,67,Enhedslisten
1790,Freddy Dam (udpeget af V),67,Venstre
18703,Alex Vanopslagh,67,Liberal Alliance
1779,Else Winther Andersen,67,Venstre
18704,Halime Oguz,67,Socialistisk Folkeparti
1778,Svend Auken,67,Socialdemokratiet
1791,Henrik Vestergaard,67,Venstre
20390,Mike Villa Fonseca,67,Moderaterne
18705,Ina Strøjer-Schmidt,67,Socialistisk Folkeparti
1774,Jørgen Winther,67,Venstre
20360,Sofie Lippert,67,Socialistisk Folkeparti
34,Søren Espersen,67,Dansk Folkeparti
1773,Carsten Bo Jensen,67,Socialdemokratiet
18706,Anne Valentina Berthelsen,67,Socialistisk Folkeparti
1777,Anita Knakkergaard,67,Dansk Folkeparti
1817,Jens Christian Larsen,67,Venstre
18702,Anne Honoré Østergaard,67,Venstre
1792,Svend Aage Jensby,67,Venstre
18697,Stén Knuth,67,Venstre
18698,Marlene Ambo-Rasmussen,67,Venstre
20361,Fie Hækkerup,67,Socialdemokratiet
1814,Gudrun Laub,67,Venstre
18699,Christoffer Aagaard Melson,67,Venstre
86,Marlene Borst Hansen,67,Radikale Venstre
21194,Joachim Hoffmann-Petersen,67,Det Konservative Folkeparti
38,Astrid Krag,67,Socialistisk Folkeparti
18700,Heidi Bank,67,Venstre
20389,Peter Have,67,Moderaterne
1805,Inge-Lene Ebdrup,67,Liberal Alliance
1804,Jan Petersen (udpeget af S),67,Socialdemokratiet
1793,Keld Albrechtsen,67,Enhedslisten
18701,Marie Bjerre,67,Venstre
1811,Erik Larsen (udpeget af V),67,Venstre
1883,Anne Grete Holmsgaard (udpeget af SF),67,Socialistisk Folkeparti
20386,Rasmus Lund-Nielsen,67,Moderaterne
18278,Serdal Benli,67,Socialistisk Folkeparti
79,Christian Langballe (udpeget af DF),67,Dansk Folkeparti
3089,Joan Erlandsen,67,Venstre
3088,Bente Dahl,67,Radikale Venstre
17140,Orla Østerby,67,Det Konservative Folkeparti
20365,Matilde Powers,67,Socialdemokratiet
20383,Jeppe Søe,67,Moderaterne
17134,Jonathan Simmel,67,Enhedslisten
3087,Elisabeth Geday,67,Radikale Venstre
17141,Brigitte Klintskov Jerkel,67,Det Konservative Folkeparti
3085,Kim Mortensen,67,Socialdemokratiet
3084,Troels Christensen (udpeget af V),67,Venstre
17247,Klaus Markussen,67,Venstre
17267,Kristian Hegaard,67,Radikale Venstre
3083,Charlotte Fischer,67,Radikale Venstre
3086,Johs. Poulsen,67,Radikale Venstre
80,Torsten Schack Pedersen,67,Venstre
48,Peter Skaarup,67,Dansk Folkeparti
3092,Vibeke Grave,67,Socialdemokratiet
20366,Thomas Skriver Jensen,67,Socialdemokratiet
3996,Henrik Fruergaard,67,Venstre
16603,Sarah Glerup,67,Enhedslisten
