aktørid,aktør,Period,party
1447,Poul Qvist Jørgensen,65,Socialdemokratiet
1557,Bodil Kornbek,65,Kristendemokraterne
1454,Rasmus Jarlov,65,Det Konservative Folkeparti
20397,Steffen Larsen,65,Liberal Alliance
1556,Jann Sjursen,65,Kristendemokraterne
1513,Kisser Franciska Lehnert,65,Liberal Alliance
1504,Laura Lindahl,65,Liberal Alliance
1503,Hans Vestager,65,Radikale Venstre
1502,Karl H. Bornhøft,65,Socialistisk Folkeparti
1495,Bendt Bendtsen,65,Det Konservative Folkeparti
1484,Sofia Rossen,65,Inuit Ataqatigiit
20396,Jens Meilvang,65,Liberal Alliance
1478,Simon Pihl Sørensen,65,Socialdemokratiet
1474,Sidsel Leth Svensson,65,Det Konservative Folkeparti
1473,Sidsel Homann,65,Socialistisk Folkeparti
1471,Sanne Schroll,65,Socialistisk Folkeparti
1470,Sandy Brinck,65,Socialdemokratiet
1463,Ritt Bjerregaard,65,Socialdemokratiet
1461,Rikke Hvilshøj,65,Venstre
1455,René Skau Björnsson,65,Socialdemokratiet
20629,Nikoline Erbs Hillers-Bendtsen,65,Alternativet
652,Lene Jensen,65,Socialdemokratiet
651,Jens Christian Lund,65,Socialdemokratiet
208,Simon Kollerup,65,Socialdemokratiet
207,Jakob Ellemann-Jensen,65,Venstre
206,Troels Lund Poulsen,65,Venstre
205,Jonas Dahl,65,Socialistisk Folkeparti
202,Peder Christensen,65,Socialdemokratiet
20916,Kenneth Bjerg Andersen,65,Moderaterne
201,Thomas Jensen,65,Socialdemokratiet
200,Jane Heitmann,65,Venstre
199,Karsten Hønge,65,Socialistisk Folkeparti
198,Anne Baastrup,65,Socialistisk Folkeparti
197,Mette Gjerskov,65,Socialdemokratiet
195,Pernille Vigsø Bagge,65,Socialistisk Folkeparti
194,Kristian Pihl Lorentzen,65,Venstre
20917,Tina Cartey Hansen,65,Det Konservative Folkeparti
193,Karsten Nonbo,65,Venstre
209,Camilla Hersom,65,Radikale Venstre
192,Fatma Øktem,65,Venstre
210,Birgitte Josefsen,65,Venstre
211,Jørn Dohrmann,65,Dansk Folkeparti
20820,Carl Andersen,65,Liberal Alliance
226,Ole Sohn,65,Socialistisk Folkeparti
225,Uffe Elbæk,65,Radikale Venstre
224,Flemming Møller Mortensen,65,Socialdemokratiet
223,Henrik Høegh,65,Venstre
221,Pia Adelsteen,65,Dansk Folkeparti
220,Morten Bødskov,65,Socialdemokratiet
219,Lisbeth Bech-Nielsen,65,Socialistisk Folkeparti
20823,Morten Vehl,65,Danmarksdemokraterne
217,Lars Christian Lilleholt,65,Venstre
216,Mikkel Dencker,65,Dansk Folkeparti
215,Jørgen Arbo-Bæhr,65,Enhedslisten
214,Jeppe Bruus,65,Socialdemokratiet
213,Jens Joel,65,Socialdemokratiet
212,Eyvind Vesselbo,65,Venstre
20841,Lars Arne Christensen,65,Moderaterne
231,Manu Sareen,65,Radikale Venstre
191,Zenia Stampe,65,Radikale Venstre
189,Mai Mercado,65,Det Konservative Folkeparti
164,Hans Andersen,65,Venstre
163,Ellen Trane Nørby,65,Venstre
162,Karina Adsbøl,65,Dansk Folkeparti
161,Liv Holm Andersen,65,Radikale Venstre
160,Jan Johansen,65,Socialdemokratiet
159,Lars Dohn,65,Enhedslisten
158,Eigil Andersen,65,Socialistisk Folkeparti
20962,Claus Jørgensen,65,Socialistisk Folkeparti
156,Lone Loklindt,65,Radikale Venstre
155,Villum Christensen,65,Liberal Alliance
154,Mogens Jensen,65,Socialdemokratiet
153,Per Stig Møller,65,Det Konservative Folkeparti
152,Ida Auken,65,Socialistisk Folkeparti
149,Lars Barfoed,65,Det Konservative Folkeparti
148,Anders Samuelsen,65,Radikale Venstre
20941,Preben Friis-Hauge,65,Venstre
190,Thyra Frank,65,Liberal Alliance
167,Dan Jørgensen,65,Socialdemokratiet
171,Per Clausen,65,Enhedslisten
188,Sanne Rubinke,65,Socialistisk Folkeparti
187,Julie Skovsby,65,Socialdemokratiet
20925,Dina Raabjerg,65,Det Konservative Folkeparti
185,Nadeem Farooq,65,Radikale Venstre
184,Lennart Damsbo-Andersen,65,Socialdemokratiet
183,Bent Bøgsted,65,Dansk Folkeparti
182,Inger Støjberg,65,Venstre
181,Annette Lind,65,Socialdemokratiet
180,Peter Juel-Jensen,65,Venstre
179,Hans Christian Thoning,65,Venstre
20930,Louise Mehnke,65,Socialdemokratiet
178,Michael Aastrup Jensen,65,Venstre
176,Søren Søndergaard,65,Enhedslisten
173,Jacob Jensen,65,Venstre
172,Pernille Rosenkrantz-Theil,65,Enhedslisten
168,Anni Matthiesen,65,Venstre
234,Anders Fogh Rasmussen,65,Venstre
235,Jeppe Kofod,65,Socialdemokratiet
238,Morten Messerschmidt,65,Dansk Folkeparti
363,Jacob Bjerregaard,65,Socialdemokratiet
362,Vivi Kier,65,Det Konservative Folkeparti
20747,Jenny Andresen,65,Danmarksdemokraterne
354,Mette Boye,65,Socialistisk Folkeparti
353,Lykke Friis,65,Venstre
352,Henrik Dam Kristensen,65,Socialdemokratiet
351,Sophie Hæstorp Andersen,65,Socialdemokratiet
350,Gitte Lillelund Bech,65,Venstre
348,Villy Søvndal,65,Socialistisk Folkeparti
344,Linda Kristiansen,65,Radikale Venstre
20767,Andreas Karlsen,65,Det Konservative Folkeparti
343,Mie Bergmann,65,Radikale Venstre
305,Jens Ejner Christensen,65,Venstre
304,Jacob Lund,65,Socialdemokratiet
303,Anita Christensen,65,Dansk Folkeparti
364,Birthe Rønn Hornbech,65,Venstre
302,Benedikte Kiær,65,Det Konservative Folkeparti
365,Karen Jespersen,65,Socialdemokratiet
367,Karen Touborg,65,Socialistisk Folkeparti
650,Hüseyin Arac,65,Socialdemokratiet
649,Jakob Axel Nielsen,65,Det Konservative Folkeparti
648,Carina Christensen,65,Det Konservative Folkeparti
647,Charlotte Antonsen (udpeget af V),65,Venstre
646,Jens Hald,65,Venstre
20635,Markus E. Olsen,65,Siumut
645,Christian Mejdahl,65,Venstre
386,Claus Larsen-Jensen (udpeget af),65,Socialdemokratiet
384,Mogens Lykketoft,65,Socialdemokratiet
379,Kristen Touborg,65,Socialistisk Folkeparti
378,Merete Dea Larsen,65,Dansk Folkeparti
376,Annika Smith,65,Socialistisk Folkeparti
371,Niels Christian Nielsen,65,Socialdemokratiet
20642,Anne Hegelund,65,Enhedslisten
370,Thomas Medom,65,Socialistisk Folkeparti
366,Daniel Toft Jakobsen,65,Socialdemokratiet
297,Maja Panduro (udpeget af S),65,Socialdemokratiet
296,Ulla Tørnæs,65,Venstre
20779,Runa Friis Hansen,65,Enhedslisten
263,Mette Hjermind Dencker,65,Dansk Folkeparti
262,Sjúrður Skaale,65,Tjóðveldi
261,Esben Lunde Larsen,65,Venstre
20798,Mads Olsen,65,Socialistisk Folkeparti
260,Leif Lahn Jensen,65,Socialdemokratiet
259,Anne-Mette Winther Christiansen (udpeget af V),65,Venstre
258,Poul Andersen,65,Socialdemokratiet
257,Bjarne Laustsen,65,Socialdemokratiet
252,Pia Kjærsgaard,65,Dansk Folkeparti
249,Kirsten Brosbøl (udpeget af S),65,Socialdemokratiet
247,Edmund Joensen,65,Venstre
20805,Jan Carlsen,65,Moderaterne
246,Orla Hav,65,Socialdemokratiet
245,Leif Mikkelsen,65,Venstre
244,Magnus Heunicke,65,Socialdemokratiet
264,Rasmus Prehn,65,Socialdemokratiet
265,Eva Kjer Hansen,65,Venstre
266,Rasmus Horn Langhoff,65,Socialdemokratiet
268,Helle Løvgreen Mølvig,65,Radikale Venstre
294,Doris Jakobsen,65,Siumut
288,Torben Hansen (udpeget af S),65,Socialdemokratiet
286,Ane Halsboe-Jørgensen,65,Socialdemokratiet
282,Sanne Bjørn,65,Radikale Venstre
281,Finn Thranum,65,Venstre
280,Karen J. Klint (udpeget af S),65,Socialdemokratiet
279,Tina Nedergaard,65,Venstre
1778,Svend Auken,65,Socialdemokratiet
20781,Gunvor Wibroe,65,Socialdemokratiet
277,Johan Lund Olsen,65,Inuit Ataqatigiit
276,Pernille Boye Koch,65,Radikale Venstre
273,Per Husted,65,Socialdemokratiet
272,Ole Hækkerup,65,Socialdemokratiet
271,Kristian Jensen,65,Venstre
270,Claus Hjort Frederiksen,65,Venstre
20790,Ken Kristensen,65,Venstre
278,Karin Gaardsted,65,Socialdemokratiet
1779,Else Winther Andersen,65,Venstre
1790,Freddy Dam (udpeget af V),65,Venstre
20390,Mike Villa Fonseca,65,Moderaterne
17736,Per Nørhave,65,Dansk Folkeparti
17629,Mads Fuglede,65,Venstre
17628,Carl Valentin,65,Socialistisk Folkeparti
17543,Marianne Bredal,65,Venstre
17360,Merete Scheelsbeck,65,Det Konservative Folkeparti
17267,Kristian Hegaard,65,Radikale Venstre
20365,Matilde Powers,65,Socialdemokratiet
17247,Klaus Markussen,65,Venstre
17141,Brigitte Klintskov Jerkel,65,Det Konservative Folkeparti
17140,Orla Østerby,65,Det Konservative Folkeparti
17134,Jonathan Simmel,65,Enhedslisten
16952,Helle Osther,65,Enhedslisten
16757,Danny K. Malkowski,65,Liberal Alliance
16728,Kirsten Normann Andersen,65,Socialistisk Folkeparti
20366,Thomas Skriver Jensen,65,Socialdemokratiet
17752,Anders Stjernholm,65,Alternativet
16610,Lars Aslan Rasmussen,65,Socialdemokratiet
20364,Frederik Vad,65,Socialdemokratiet
17963,Øjvind Vilsholm,65,Enhedslisten
18694,Victoria Velasquez,65,Enhedslisten
20362,Thomas Monberg,65,Socialdemokratiet
18693,Mai Villadsen,65,Enhedslisten
18692,Susanne Zimmer,65,Alternativet
18691,Sikandar Siddique,65,Alternativet
18688,Aki-Matilda Høegh-Dam,65,Siumut
18614,Rigmor Dam,65,Javnaðarflokkurin
18545,Henrik Old,65,Javnaðarflokkurin
18415,Julius Graakjær Grantzau,65,Alternativet
20363,Sara Emil Baaring,65,Socialdemokratiet
18291,Erik Lund,65,Det Konservative Folkeparti
18278,Serdal Benli,65,Socialistisk Folkeparti
18265,Carsten Kissmeyer,65,Venstre
17990,Tommy Ahlers,65,Venstre
17988,Bjarni Hammer,65,Javnaðarflokkurin
17827,Tina Boel,65,Socialistisk Folkeparti
18695,Kim Valentin,65,Venstre
16603,Sarah Glerup,65,Enhedslisten
16503,Anne Paulin,65,Socialdemokratiet
20369,Helle Bonnesen,65,Det Konservative Folkeparti
15794,Trine Torp,65,Socialistisk Folkeparti
15793,Mette Abildgaard,65,Det Konservative Folkeparti
15792,Rasmus Nordqvist,65,Alternativet
15791,Eva Flyvholm,65,Enhedslisten
15790,Marcus Knuth,65,Venstre
15789,Jeppe Jakobsen,65,Dansk Folkeparti
15788,Jacob Mark,65,Socialistisk Folkeparti
20370,Christina Olumeko,65,Alternativet
15787,Kaare Dybvad Bek,65,Socialdemokratiet
15786,René Gade,65,Alternativet
15785,Jakob Sølvhøj,65,Enhedslisten
15784,Søren Pape Poulsen,65,Det Konservative Folkeparti
15783,Josephine Fock,65,Alternativet
15782,Britt Bager,65,Venstre
15795,May-Britt Kattrup,65,Liberal Alliance
16582,Peder Hvelplund,65,Enhedslisten
15796,Jan Erik Messmann,65,Dansk Folkeparti
15798,Dorthe Ullemose,65,Dansk Folkeparti
16473,Malou Lunderød,65,Socialdemokratiet
16428,Emrah Tuncer,65,Radikale Venstre
16374,Anders Johansson,65,Det Konservative Folkeparti
20367,Kris Jensen Skriver,65,Socialdemokratiet
16351,Malte Larsen,65,Socialdemokratiet
16180,Kasper Roug,65,Socialdemokratiet
16176,Nikolaj Amstrup,65,Alternativet
16092,Sisse Marie Welling,65,Socialistisk Folkeparti
16074,Steen Holm Iversen,65,Liberal Alliance
16073,Rasmus Vestergaard Madsen,65,Enhedslisten
16072,Carsten Kudsk,65,Dansk Folkeparti
20368,Maria Durhuus,65,Socialdemokratiet
15881,Magni Arge,65,Tjóðveldi
15800,Henrik Dahl,65,Liberal Alliance
15799,Roger Courage Matthisen,65,Alternativet
15797,Christian Poll,65,Alternativet
18696,Morten Dahlin,65,Venstre
18697,Stén Knuth,65,Venstre
18698,Marlene Ambo-Rasmussen,65,Venstre
19569,Maja Torp,65,Venstre
19480,Henrik Vinther,65,Radikale Venstre
19475,Susan Kronborg,65,Radikale Venstre
20355,Kim Edberg Andersen,65,Nye Borgerlige
19221,Hanne Bjørn-Klausen,65,Det Konservative Folkeparti
19196,Ruben Kidde,65,Radikale Venstre
19146,Anna Brændemose,65,Socialistisk Folkeparti
19142,Barbara Gaardlykke Apol,65,Javnaðarflokkurin
19133,Anders G. Christensen,65,Venstre
19016,Dorthe Hindborg,65,Socialdemokratiet
19002,Gitte Willumsen,65,Venstre
20356,Mikkel Bjørn,65,Nye Borgerlige
19000,Theresa Berg Andersen,65,Socialistisk Folkeparti
18953,Mira Issa Bloch,65,Alternativet
18917,Balder Mørk Andersen,65,Socialistisk Folkeparti
19637,Kenneth Mikkelsen,65,Venstre
18882,Tanja Larsson,65,Socialdemokratiet
19684,Mads Andersen,65,Det Konservative Folkeparti
19806,Alexander Grandt,65,Socialdemokratiet
20351,Franciska Rosenkilde,65,Alternativet
20350,Nick Zimmermann,65,Dansk Folkeparti
20349,Anna Falkenberg,65,Sambandsflokkurin
20144,Maria Gudme,65,Socialdemokratiet
20051,Theis Kylling Hommeltoft,65,Socialdemokratiet
19996,Helgi Abrahamsen,65,Sambandsflokkurin
20353,Sascha Faxe,65,Alternativet
