source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Anders Samuelsen,Sofie Carsten Nielsen,Liberal Alliance,Radikale Venstre,68,10,4.0,0.4,bolig
Anders Samuelsen,Sophie Løhde,Liberal Alliance,Venstre,68,13,10.0,0.7692307692307693,bolig
Anders Samuelsen,Steen Gade,Liberal Alliance,Socialistisk Folkeparti,68,18,7.0,0.3888888888888889,bolig
Anders Samuelsen,Stine Brix,Liberal Alliance,Enhedslisten,68,15,5.0,0.3333333333333333,bolig
Anders Samuelsen,Søren Espersen,Liberal Alliance,Danmarksdemokraterne,68,7,4.0,0.5714285714285714,bolig
Anders Samuelsen,Søren Pind,Liberal Alliance,Venstre,68,7,4.0,0.5714285714285714,bolig
Anders Samuelsen,Thomas Danielsen,Liberal Alliance,Venstre,68,18,15.0,0.8333333333333334,bolig
Anders Samuelsen,Tom Behnke,Liberal Alliance,Det Konservative Folkeparti,68,14,9.0,0.6428571428571429,bolig
Anders Samuelsen,Torsten Schack Pedersen,Liberal Alliance,Venstre,68,19,14.0,0.7368421052631579,bolig
Anders Samuelsen,Trine Bramsen,Liberal Alliance,Socialdemokratiet,68,19,7.0,0.3684210526315789,bolig
Anders Samuelsen,Trine Pertou Mach,Liberal Alliance,Enhedslisten,68,5,2.0,0.4,bolig
Anders Samuelsen,Troels Ravn,Liberal Alliance,Socialdemokratiet,68,16,7.0,0.4375,bolig
Anders Samuelsen,Villum Christensen,Liberal Alliance,Liberal Alliance,68,6,6.0,1.0,bolig
Anders Samuelsen,Özlem Sara Cekic,Liberal Alliance,Socialistisk Folkeparti,68,16,5.0,0.3125,bolig
Andreas Steenberg,Anne Sina,Radikale Venstre,Socialdemokratiet,68,14,14.0,1.0,bolig
Andreas Steenberg,Annette Vilhelmsen,Radikale Venstre,Socialistisk Folkeparti,68,40,37.0,0.925,bolig
Andreas Steenberg,Anni Matthiesen,Radikale Venstre,Venstre,68,40,28.0,0.7,bolig
Andreas Steenberg,Astrid Krag,Radikale Venstre,Socialdemokratiet,68,31,31.0,1.0,bolig
Andreas Steenberg,Benny Engelbrecht,Radikale Venstre,Socialdemokratiet,68,53,53.0,1.0,bolig
Andreas Steenberg,Bertel Haarder,Radikale Venstre,Venstre,68,26,17.0,0.6538461538461539,bolig
Andreas Steenberg,Bjarne Corydon,Radikale Venstre,Socialdemokratiet,68,8,8.0,1.0,bolig
Andreas Steenberg,Brian Mikkelsen,Radikale Venstre,Det Konservative Folkeparti,68,32,22.0,0.6875,bolig
Andreas Steenberg,Carsten Hansen,Radikale Venstre,Socialdemokratiet,68,33,33.0,1.0,bolig
Andreas Steenberg,Charlotte Dyremose,Radikale Venstre,Det Konservative Folkeparti,68,17,14.0,0.8235294117647058,bolig
Andreas Steenberg,Christian Friis Bach,Radikale Venstre,Venstre,68,9,9.0,1.0,bolig
Andreas Steenberg,Christian Juhl,Radikale Venstre,Enhedslisten,68,42,28.0,0.6666666666666666,bolig
Andreas Steenberg,Christian Langballe (udpeget af DF),Radikale Venstre,Dansk Folkeparti,68,34,16.0,0.47058823529411764,bolig
Andreas Steenberg,Christine Antorini,Radikale Venstre,Socialdemokratiet,68,24,24.0,1.0,bolig
Andreas Steenberg,Dennis Flydtkjær,Radikale Venstre,Danmarksdemokraterne,68,49,24.0,0.4897959183673469,bolig
Andreas Steenberg,Eigil Andersen,Radikale Venstre,Socialistisk Folkeparti,68,34,32.0,0.9411764705882353,bolig
Andreas Steenberg,Ellen Trane Nørby,Radikale Venstre,Venstre,68,24,14.0,0.5833333333333334,bolig
Andreas Steenberg,Erling Bonnesen,Radikale Venstre,Venstre,68,47,31.0,0.6595744680851063,bolig
Andreas Steenberg,Finn Sørensen,Radikale Venstre,Enhedslisten,68,44,32.0,0.7272727272727273,bolig
Andreas Steenberg,Flemming Damgaard Larsen,Radikale Venstre,Venstre,68,53,35.0,0.660377358490566,bolig
Andreas Steenberg,Frank Aaen,Radikale Venstre,Enhedslisten,68,31,21.0,0.6774193548387096,bolig
Andreas Steenberg,Hans Andersen,Radikale Venstre,Venstre,68,44,30.0,0.6818181818181818,bolig
Andreas Steenberg,Hans Christian Schmidt,Radikale Venstre,Venstre,68,27,20.0,0.7407407407407407,bolig
Andreas Steenberg,Hans Kristian Skibby,Radikale Venstre,Danmarksdemokraterne,68,52,26.0,0.5,bolig
Andreas Steenberg,Helle Thorning-Schmidt,Radikale Venstre,Socialdemokratiet,68,3,3.0,1.0,bolig
Andreas Steenberg,Henning Hyllested,Radikale Venstre,Enhedslisten,68,40,27.0,0.675,bolig
Andreas Steenberg,Henrik Sass Larsen,Radikale Venstre,Socialdemokratiet,68,25,25.0,1.0,bolig
Andreas Steenberg,Holger K. Nielsen,Radikale Venstre,Socialistisk Folkeparti,68,40,40.0,1.0,bolig
Andreas Steenberg,Ida Auken,Radikale Venstre,Socialdemokratiet,68,28,28.0,1.0,bolig
Andreas Steenberg,Jacob Jensen,Radikale Venstre,Venstre,68,11,8.0,0.7272727272727273,bolig
Andreas Steenberg,Jakob Engel-Schmidt,Radikale Venstre,Moderaterne,68,20,12.0,0.6,bolig
Andreas Steenberg,Jan E. Jørgensen,Radikale Venstre,Venstre,68,49,34.0,0.6938775510204082,bolig
Andreas Steenberg,Jan Johansen,Radikale Venstre,Socialdemokratiet,68,40,40.0,1.0,bolig
Andreas Steenberg,Jens Henrik Thulesen Dahl,Radikale Venstre,Danmarksdemokraterne,68,37,18.0,0.4864864864864865,bolig
Andreas Steenberg,Jeppe Mikkelsen,Radikale Venstre,Radikale Venstre,68,46,46.0,1.0,bolig
Andreas Steenberg,Jesper Petersen,Radikale Venstre,Socialdemokratiet,68,37,37.0,1.0,bolig
Andreas Steenberg,Joachim B. Olsen,Radikale Venstre,Liberal Alliance,68,36,21.0,0.5833333333333334,bolig
Andreas Steenberg,Johanne Schmidt-Nielsen,Radikale Venstre,Enhedslisten,68,44,31.0,0.7045454545454546,bolig
Andreas Steenberg,John Dyrby Paulsen,Radikale Venstre,Socialdemokratiet,68,33,33.0,1.0,bolig
Andreas Steenberg,Karen Ellemann,Radikale Venstre,Venstre,68,37,23.0,0.6216216216216216,bolig
Andreas Steenberg,Karen Hækkerup (udpeget af S),Radikale Venstre,Socialdemokratiet,68,20,20.0,1.0,bolig
Andreas Steenberg,Karin Nødgaard,Radikale Venstre,Dansk Folkeparti,68,38,21.0,0.5526315789473685,bolig
Andreas Steenberg,Karina Adsbøl,Radikale Venstre,Danmarksdemokraterne,68,35,18.0,0.5142857142857142,bolig
Andreas Steenberg,Karina Lorentzen Dehnhardt,Radikale Venstre,Socialistisk Folkeparti,68,29,27.0,0.9310344827586207,bolig
Andreas Steenberg,Karsten Lauritzen,Radikale Venstre,Venstre,68,42,26.0,0.6190476190476191,bolig
Andreas Steenberg,Kim Andersen (udpeget af V),Radikale Venstre,Venstre,68,42,29.0,0.6904761904761905,bolig
Andreas Steenberg,Kim Christiansen,Radikale Venstre,Dansk Folkeparti,68,39,19.0,0.48717948717948717,bolig
Andreas Steenberg,Kristian Thulesen Dahl,Radikale Venstre,Uden for folketingsgrupperne,68,5,1.0,0.2,bolig
Andreas Steenberg,Lars Barfoed,Radikale Venstre,Det Konservative Folkeparti,68,35,22.0,0.6285714285714286,bolig
Andreas Steenberg,Lars Dohn,Radikale Venstre,Enhedslisten,68,40,29.0,0.725,bolig
Andreas Steenberg,Lars Løkke Rasmussen,Radikale Venstre,Moderaterne,68,5,2.0,0.4,bolig
Andreas Steenberg,Lene Espersen,Radikale Venstre,Det Konservative Folkeparti,68,19,11.0,0.5789473684210527,bolig
Andreas Steenberg,Liselott Blixt,Radikale Venstre,Uden for folketingsgrupperne,68,42,21.0,0.5,bolig
Andreas Steenberg,Liv Holm Andersen,Radikale Venstre,Radikale Venstre,68,44,44.0,1.0,bolig
Andreas Steenberg,Lone Loklindt,Radikale Venstre,Radikale Venstre,68,43,43.0,1.0,bolig
Andreas Steenberg,Lotte Rod,Radikale Venstre,Radikale Venstre,68,44,44.0,1.0,bolig
Andreas Steenberg,Louise Elholm,Radikale Venstre,Venstre,68,47,31.0,0.6595744680851063,bolig
Andreas Steenberg,Mads Rørvig,Radikale Venstre,Venstre,68,35,21.0,0.6,bolig
Andreas Steenberg,Margrethe Vestager,Radikale Venstre,Radikale Venstre,68,4,4.0,1.0,bolig
Andreas Steenberg,Marianne Jelved,Radikale Venstre,Radikale Venstre,68,25,25.0,1.0,bolig
Andreas Steenberg,Marie Krarup,Radikale Venstre,Uden for folketingsgrupperne,68,41,20.0,0.4878048780487805,bolig
Andreas Steenberg,Marlene Borst Hansen,Radikale Venstre,Radikale Venstre,68,29,29.0,1.0,bolig
Andreas Steenberg,Martin Geertsen,Radikale Venstre,Venstre,68,31,21.0,0.6774193548387096,bolig
Andreas Steenberg,Martin Henriksen (udpeget af DF),Radikale Venstre,Dansk Folkeparti,68,14,3.0,0.21428571428571427,bolig
Andreas Steenberg,Merete Riisager,Radikale Venstre,Liberal Alliance,68,29,18.0,0.6206896551724138,bolig
Andreas Steenberg,Mette Bock,Radikale Venstre,Liberal Alliance,68,44,28.0,0.6363636363636364,bolig
Andreas Steenberg,Mette Frederiksen,Radikale Venstre,Socialdemokratiet,68,34,34.0,1.0,bolig
Andreas Steenberg,Mette Reissmann,Radikale Venstre,Socialdemokratiet,68,39,39.0,1.0,bolig
Andreas Steenberg,Michael Aastrup Jensen,Radikale Venstre,Venstre,68,4,1.0,0.25,bolig
Andreas Steenberg,Mike Legarth,Radikale Venstre,Det Konservative Folkeparti,68,31,19.0,0.6129032258064516,bolig
Andreas Steenberg,Mogens Jensen,Radikale Venstre,Socialdemokratiet,68,13,13.0,1.0,bolig
Andreas Steenberg,Morten Marinus,Radikale Venstre,Dansk Folkeparti,68,33,16.0,0.48484848484848486,bolig
Andreas Steenberg,Morten Østergaard,Radikale Venstre,Radikale Venstre,68,6,6.0,1.0,bolig
Andreas Steenberg,Nick Hækkerup,Radikale Venstre,Socialdemokratiet,68,8,8.0,1.0,bolig
Andreas Steenberg,Nicolai Wammen,Radikale Venstre,Socialdemokratiet,68,1,1.0,1.0,bolig
Andreas Steenberg,Nikolaj Villumsen,Radikale Venstre,Enhedslisten,68,23,13.0,0.5652173913043478,bolig
Andreas Steenberg,Ole Birk Olesen,Radikale Venstre,Liberal Alliance,68,30,18.0,0.6,bolig
Andreas Steenberg,Per Clausen,Radikale Venstre,Enhedslisten,68,29,24.0,0.8275862068965517,bolig
Andreas Steenberg,Per Stig Møller,Radikale Venstre,Det Konservative Folkeparti,68,27,19.0,0.7037037037037037,bolig
Andreas Steenberg,Pernille Rosenkrantz-Theil,Radikale Venstre,Socialdemokratiet,68,30,30.0,1.0,bolig
Andreas Steenberg,Pernille Skipper,Radikale Venstre,Enhedslisten,68,30,20.0,0.6666666666666666,bolig
Andreas Steenberg,Peter Christensen,Radikale Venstre,Venstre,68,17,14.0,0.8235294117647058,bolig
Andreas Steenberg,Peter Skaarup,Radikale Venstre,Danmarksdemokraterne,68,9,3.0,0.3333333333333333,bolig
Andreas Steenberg,Pia Olsen Dyhr,Radikale Venstre,Socialistisk Folkeparti,68,19,18.0,0.9473684210526315,bolig
Andreas Steenberg,Preben Bang Henriksen,Radikale Venstre,Venstre,68,41,23.0,0.5609756097560976,bolig
Andreas Steenberg,Rasmus Helveg Petersen,Radikale Venstre,Radikale Venstre,68,42,42.0,1.0,bolig
Andreas Steenberg,René Christensen,Radikale Venstre,Dansk Folkeparti,68,31,16.0,0.5161290322580645,bolig
Andreas Steenberg,Rosa Lund,Radikale Venstre,Enhedslisten,68,37,25.0,0.6756756756756757,bolig
Andreas Steenberg,Simon Emil Ammitzbøll-Bille,Radikale Venstre,Uden for folketingsgrupperne,68,27,14.0,0.5185185185185185,bolig
Andreas Steenberg,Sofie Carsten Nielsen,Radikale Venstre,Radikale Venstre,68,27,27.0,1.0,bolig
Andreas Steenberg,Sophie Løhde,Radikale Venstre,Venstre,68,38,25.0,0.6578947368421053,bolig
Andreas Steenberg,Steen Gade,Radikale Venstre,Socialistisk Folkeparti,68,43,40.0,0.9302325581395349,bolig
Andreas Steenberg,Stine Brix,Radikale Venstre,Enhedslisten,68,35,25.0,0.7142857142857143,bolig
Andreas Steenberg,Søren Espersen,Radikale Venstre,Danmarksdemokraterne,68,18,12.0,0.6666666666666666,bolig
Andreas Steenberg,Søren Pind,Radikale Venstre,Venstre,68,28,23.0,0.8214285714285714,bolig
Andreas Steenberg,Thomas Danielsen,Radikale Venstre,Venstre,68,42,27.0,0.6428571428571429,bolig
Andreas Steenberg,Tom Behnke,Radikale Venstre,Det Konservative Folkeparti,68,32,24.0,0.75,bolig
Andreas Steenberg,Torsten Schack Pedersen,Radikale Venstre,Venstre,68,39,24.0,0.6153846153846154,bolig
Andreas Steenberg,Trine Bramsen,Radikale Venstre,Socialdemokratiet,68,51,51.0,1.0,bolig
Andreas Steenberg,Trine Pertou Mach,Radikale Venstre,Enhedslisten,68,17,16.0,0.9411764705882353,bolig
Andreas Steenberg,Troels Ravn,Radikale Venstre,Socialdemokratiet,68,49,49.0,1.0,bolig
Andreas Steenberg,Villum Christensen,Radikale Venstre,Liberal Alliance,68,29,19.0,0.6551724137931034,bolig
Andreas Steenberg,Özlem Sara Cekic,Radikale Venstre,Socialistisk Folkeparti,68,44,41.0,0.9318181818181818,bolig
Anne Sina,Annette Vilhelmsen,Socialdemokratiet,Socialistisk Folkeparti,68,16,13.0,0.8125,bolig
Anne Sina,Anni Matthiesen,Socialdemokratiet,Venstre,68,11,7.0,0.6363636363636364,bolig
Anne Sina,Astrid Krag,Socialdemokratiet,Socialdemokratiet,68,18,18.0,1.0,bolig
Anne Sina,Benny Engelbrecht,Socialdemokratiet,Socialdemokratiet,68,24,24.0,1.0,bolig
Anne Sina,Bertel Haarder,Socialdemokratiet,Venstre,68,13,10.0,0.7692307692307693,bolig
Anne Sina,Bjarne Corydon,Socialdemokratiet,Socialdemokratiet,68,1,1.0,1.0,bolig
Anne Sina,Brian Mikkelsen,Socialdemokratiet,Det Konservative Folkeparti,68,12,7.0,0.5833333333333334,bolig
Anne Sina,Carsten Hansen,Socialdemokratiet,Socialdemokratiet,68,15,15.0,1.0,bolig
Anne Sina,Charlotte Dyremose,Socialdemokratiet,Det Konservative Folkeparti,68,15,12.0,0.8,bolig
Anne Sina,Christian Friis Bach,Socialdemokratiet,Venstre,68,11,11.0,1.0,bolig
Anne Sina,Christian Juhl,Socialdemokratiet,Enhedslisten,68,18,11.0,0.6111111111111112,bolig
Anne Sina,Christian Langballe (udpeget af DF),Socialdemokratiet,Dansk Folkeparti,68,21,13.0,0.6190476190476191,bolig
Anne Sina,Christine Antorini,Socialdemokratiet,Socialdemokratiet,68,11,11.0,1.0,bolig
Anne Sina,Dennis Flydtkjær,Socialdemokratiet,Danmarksdemokraterne,68,24,14.0,0.5833333333333334,bolig
Anne Sina,Eigil Andersen,Socialdemokratiet,Socialistisk Folkeparti,68,18,15.0,0.8333333333333334,bolig
Anne Sina,Ellen Trane Nørby,Socialdemokratiet,Venstre,68,14,11.0,0.7857142857142857,bolig
Anne Sina,Erling Bonnesen,Socialdemokratiet,Venstre,68,21,16.0,0.7619047619047619,bolig
Anne Sina,Finn Sørensen,Socialdemokratiet,Enhedslisten,68,16,10.0,0.625,bolig
Anne Sina,Flemming Damgaard Larsen,Socialdemokratiet,Venstre,68,23,16.0,0.6956521739130435,bolig
Anne Sina,Frank Aaen,Socialdemokratiet,Enhedslisten,68,13,7.0,0.5384615384615384,bolig
Anne Sina,Hans Andersen,Socialdemokratiet,Venstre,68,11,7.0,0.6363636363636364,bolig
Anne Sina,Hans Christian Schmidt,Socialdemokratiet,Venstre,68,11,10.0,0.9090909090909091,bolig
Anne Sina,Hans Kristian Skibby,Socialdemokratiet,Danmarksdemokraterne,68,23,13.0,0.5652173913043478,bolig
Anne Sina,Helle Thorning-Schmidt,Socialdemokratiet,Socialdemokratiet,68,2,2.0,1.0,bolig
Anne Sina,Henning Hyllested,Socialdemokratiet,Enhedslisten,68,24,16.0,0.6666666666666666,bolig
Anne Sina,Henrik Sass Larsen,Socialdemokratiet,Socialdemokratiet,68,16,16.0,1.0,bolig
Anne Sina,Holger K. Nielsen,Socialdemokratiet,Socialistisk Folkeparti,68,15,14.0,0.9333333333333333,bolig
Anne Sina,Ida Auken,Socialdemokratiet,Socialdemokratiet,68,14,14.0,1.0,bolig
Anne Sina,Jacob Jensen,Socialdemokratiet,Venstre,68,9,6.0,0.6666666666666666,bolig
Anne Sina,Jakob Engel-Schmidt,Socialdemokratiet,Moderaterne,68,16,10.0,0.625,bolig
Anne Sina,Jan E. Jørgensen,Socialdemokratiet,Venstre,68,21,16.0,0.7619047619047619,bolig
Anne Sina,Jan Johansen,Socialdemokratiet,Socialdemokratiet,68,23,23.0,1.0,bolig
Anne Sina,Jens Henrik Thulesen Dahl,Socialdemokratiet,Danmarksdemokraterne,68,18,12.0,0.6666666666666666,bolig
Anne Sina,Jeppe Mikkelsen,Socialdemokratiet,Radikale Venstre,68,20,20.0,1.0,bolig
Anne Sina,Jesper Petersen,Socialdemokratiet,Socialdemokratiet,68,19,19.0,1.0,bolig
Anne Sina,Joachim B. Olsen,Socialdemokratiet,Liberal Alliance,68,21,12.0,0.5714285714285714,bolig
