party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Alternativet,Liberal Alliance,70,694,265.0,0.3818443804034582,immigration
Alternativet,Moderaterne,70,2,0.0,0.0,immigration
Alternativet,Naleraq,70,1,1.0,1.0,immigration
Alternativet,Radikale Venstre,70,2249,1940.0,0.8626056024899955,immigration
Alternativet,Sambandsflokkurin,70,11,5.0,0.45454545454545453,immigration
Alternativet,Socialdemokratiet,70,7938,4321.0,0.5443436633912825,immigration
Alternativet,Socialistisk Folkeparti,70,2359,1932.0,0.8189910979228486,immigration
Alternativet,Uden for folketingsgrupperne,70,859,285.0,0.3317811408614668,immigration
Alternativet,Venstre,70,6284,2516.0,0.400381922342457,immigration
Borgernes Parti,Danmarksdemokraterne,70,764,640.0,0.837696335078534,immigration
Borgernes Parti,Dansk Folkeparti,70,326,288.0,0.8834355828220859,immigration
Borgernes Parti,Det Konservative Folkeparti,70,863,540.0,0.6257242178447276,immigration
Borgernes Parti,Enhedslisten,70,941,220.0,0.23379383634431455,immigration
Borgernes Parti,Frie Grønne,70,146,30.0,0.2054794520547945,immigration
Borgernes Parti,Liberal Alliance,70,295,211.0,0.7152542372881356,immigration
Borgernes Parti,Naleraq,70,1,1.0,1.0,immigration
Borgernes Parti,Radikale Venstre,70,1039,261.0,0.25120307988450435,immigration
Borgernes Parti,Sambandsflokkurin,70,4,3.0,0.75,immigration
Borgernes Parti,Socialdemokratiet,70,3715,1610.0,0.43337819650067294,immigration
Borgernes Parti,Socialistisk Folkeparti,70,1091,279.0,0.25572868927589365,immigration
Borgernes Parti,Uden for folketingsgrupperne,70,405,315.0,0.7777777777777778,immigration
Borgernes Parti,Venstre,70,2919,1687.0,0.5779376498800959,immigration
Danmarksdemokraterne,Danmarksdemokraterne,70,4126,3671.0,0.8897237033446437,immigration
Danmarksdemokraterne,Dansk Folkeparti,70,4456,4026.0,0.9035008976660682,immigration
Danmarksdemokraterne,Det Konservative Folkeparti,70,10943,7375.0,0.673946815315727,immigration
Danmarksdemokraterne,Enhedslisten,70,11537,3190.0,0.27650169021409376,immigration
Danmarksdemokraterne,Frie Grønne,70,1953,511.0,0.2616487455197133,immigration
Danmarksdemokraterne,Liberal Alliance,70,3986,2831.0,0.710235825388861,immigration
Danmarksdemokraterne,Moderaterne,70,14,4.0,0.2857142857142857,immigration
Danmarksdemokraterne,Naleraq,70,6,6.0,1.0,immigration
Danmarksdemokraterne,Radikale Venstre,70,12927,3836.0,0.29674325056084166,immigration
Danmarksdemokraterne,Sambandsflokkurin,70,39,22.0,0.5641025641025641,immigration
Danmarksdemokraterne,Socialdemokratiet,70,45017,23803.0,0.528755803363174,immigration
Danmarksdemokraterne,Socialistisk Folkeparti,70,13596,4398.0,0.323477493380406,immigration
Danmarksdemokraterne,Uden for folketingsgrupperne,70,4973,3981.0,0.8005228232455258,immigration
Danmarksdemokraterne,Venstre,70,35209,23135.0,0.657076315714732,immigration
Dansk Folkeparti,Dansk Folkeparti,70,883,823.0,0.9320498301245753,immigration
Dansk Folkeparti,Det Konservative Folkeparti,70,5409,3402.0,0.6289517470881864,immigration
Dansk Folkeparti,Enhedslisten,70,5644,1471.0,0.2606307583274274,immigration
Dansk Folkeparti,Frie Grønne,70,962,240.0,0.2494802494802495,immigration
Dansk Folkeparti,Liberal Alliance,70,1940,1345.0,0.6932989690721649,immigration
Dansk Folkeparti,Moderaterne,70,4,0.0,0.0,immigration
Dansk Folkeparti,Naleraq,70,2,2.0,1.0,immigration
Dansk Folkeparti,Radikale Venstre,70,6430,1738.0,0.2702954898911353,immigration
Dansk Folkeparti,Sambandsflokkurin,70,29,19.0,0.6551724137931034,immigration
Dansk Folkeparti,Socialdemokratiet,70,21819,10454.0,0.4791236995279344,immigration
Dansk Folkeparti,Socialistisk Folkeparti,70,6650,1847.0,0.2777443609022556,immigration
Dansk Folkeparti,Uden for folketingsgrupperne,70,2348,1898.0,0.8083475298126065,immigration
Dansk Folkeparti,Venstre,70,17025,9948.0,0.5843171806167401,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,70,5604,5586.0,0.9967880085653105,immigration
Det Konservative Folkeparti,Enhedslisten,70,13496,6020.0,0.4460580912863071,immigration
Det Konservative Folkeparti,Frie Grønne,70,2272,924.0,0.40669014084507044,immigration
Det Konservative Folkeparti,Liberal Alliance,70,4593,3624.0,0.7890267798824298,immigration
Det Konservative Folkeparti,Moderaterne,70,16,8.0,0.5,immigration
Det Konservative Folkeparti,Naleraq,70,7,7.0,1.0,immigration
Det Konservative Folkeparti,Radikale Venstre,70,15174,7966.0,0.5249769342296032,immigration
Det Konservative Folkeparti,Sambandsflokkurin,70,50,50.0,1.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,70,52542,39379.0,0.7494766091888394,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,70,15902,8403.0,0.5284240975977864,immigration
Det Konservative Folkeparti,Uden for folketingsgrupperne,70,5703,3984.0,0.6985796948974224,immigration
Det Konservative Folkeparti,Venstre,70,41029,36490.0,0.8893709327548807,immigration
Enhedslisten,Enhedslisten,70,6151,6145.0,0.999024548853845,immigration
Enhedslisten,Frie Grønne,70,2387,2127.0,0.8910766652702137,immigration
Enhedslisten,Liberal Alliance,70,4832,1914.0,0.3961092715231788,immigration
Enhedslisten,Moderaterne,70,15,8.0,0.5333333333333333,immigration
Enhedslisten,Naleraq,70,7,7.0,1.0,immigration
Enhedslisten,Radikale Venstre,70,15971,14488.0,0.9071441988604345,immigration
Enhedslisten,Sambandsflokkurin,70,56,32.0,0.5714285714285714,immigration
Enhedslisten,Socialdemokratiet,70,55352,33393.0,0.6032844341667871,immigration
Enhedslisten,Socialistisk Folkeparti,70,16698,14670.0,0.8785483291412145,immigration
Enhedslisten,Uden for folketingsgrupperne,70,6036,2042.0,0.3383035122597747,immigration
Enhedslisten,Venstre,70,43345,19670.0,0.4538008997577575,immigration
Frie Grønne,Frie Grønne,70,65,65.0,1.0,immigration
Frie Grønne,Liberal Alliance,70,831,306.0,0.36823104693140796,immigration
Frie Grønne,Moderaterne,70,2,0.0,0.0,immigration
Frie Grønne,Naleraq,70,1,1.0,1.0,immigration
Frie Grønne,Radikale Venstre,70,2677,2278.0,0.8509525588345163,immigration
Frie Grønne,Sambandsflokkurin,70,8,3.0,0.375,immigration
Frie Grønne,Socialdemokratiet,70,9249,5186.0,0.5607092658665802,immigration
Frie Grønne,Socialistisk Folkeparti,70,2812,2280.0,0.8108108108108109,immigration
Frie Grønne,Uden for folketingsgrupperne,70,1031,327.0,0.3171677982541222,immigration
Frie Grønne,Venstre,70,7247,3043.0,0.4198978887815648,immigration
Liberal Alliance,Liberal Alliance,70,567,465.0,0.8201058201058201,immigration
Liberal Alliance,Moderaterne,70,4,2.0,0.5,immigration
Liberal Alliance,Naleraq,70,3,3.0,1.0,immigration
