voting_id,party,politician,vote_type,Period
9880,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9880,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,2,71
9880,Venstre,Kim Valentin,2,71
9880,Venstre,Christoffer Aagaard Melson,2,71
9880,Venstre,Heidi Bank,2,71
9880,Venstre,Marie Bjerre,2,71
9881,Dansk Folkeparti,Alex Ahrendtsen,2,71
9881,Danmarksdemokraterne,Søren Espersen,2,71
9881,Venstre,Erling Bonnesen,2,71
9881,Socialdemokratiet,Mette Reissmann,2,71
9881,Venstre,Torsten Schack Pedersen,2,71
9881,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9881,Venstre,Louise Elholm,2,71
9881,Socialdemokratiet,Jesper Petersen,2,71
9881,Liberal Alliance,Ole Birk Olesen,2,71
9881,Venstre,Jan E. Jørgensen,2,71
9881,Enhedslisten,Trine Pertou Mach,1,71
9881,Radikale Venstre,Lotte Rod,1,71
9881,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9881,Socialdemokratiet,Trine Bramsen,2,71
9881,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9881,Socialdemokratiet,Benny Engelbrecht,2,71
9881,Venstre,Hans Christian Schmidt,2,71
9881,Venstre,Preben Bang Henriksen,2,71
9881,Venstre,Sophie Løhde,2,71
9881,Venstre,Christian Friis Bach,1,71
9881,Socialdemokratiet,Ida Auken,2,71
9881,Socialdemokratiet,Mogens Jensen,2,71
9881,Danmarksdemokraterne,Karina Adsbøl,2,71
9881,Venstre,Hans Andersen,2,71
9881,Venstre,Anni Matthiesen,2,71
9881,Socialdemokratiet,Pernille Rosenkrantz-Theil,2,71
9881,Venstre,Michael Aastrup Jensen,2,71
9881,Venstre,Peter Juel-Jensen,2,71
9881,Det Konservative Folkeparti,Mai Mercado,2,71
9881,Socialdemokratiet,Thomas Jensen,2,71
9881,Socialdemokratiet,Jens Joel,2,71
9881,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9881,Socialdemokratiet,Flemming Møller Mortensen,2,71
9881,Socialdemokratiet,Magnus Heunicke,2,71
9881,Socialdemokratiet,Bjarne Laustsen,2,71
9881,Socialdemokratiet,Leif Lahn Jensen,2,71
9881,Socialdemokratiet,Rasmus Prehn,2,71
9881,Socialdemokratiet,Per Husted,2,71
9881,Socialdemokratiet,Karin Gaardsted,2,71
9881,Enhedslisten,Søren Egge Rasmussen,1,71
9881,Det Konservative Folkeparti,Rasmus Jarlov,2,71
9881,Enhedslisten,Jette Gottlieb,1,71
