source,target,source_party,target_party,Period,total_votes_shared,total_votes_agreed,weight,topic
Aage Frandsen,Inge Dahl-Sørensen,Socialistisk Folkeparti,Venstre,65,13,6.0,0.46153846153846156,uddannelse
Aage Frandsen,Inge-Lene Ebdrup,Socialistisk Folkeparti,Venstre,65,16,8.0,0.5,uddannelse
Aage Frandsen,Inger Bierbaum,Socialistisk Folkeparti,Socialdemokratiet,65,16,14.0,0.875,uddannelse
Aage Frandsen,Inger Støjberg,Socialistisk Folkeparti,Venstre,65,17,9.0,0.5294117647058824,uddannelse
Aage Frandsen,Irene Simonsen,Socialistisk Folkeparti,Venstre,65,18,9.0,0.5,uddannelse
Aage Frandsen,Jacob Buksti,Socialistisk Folkeparti,Socialdemokratiet,65,14,13.0,0.9285714285714286,uddannelse
Aage Frandsen,Jan Petersen (udpeget af S),Socialistisk Folkeparti,Socialdemokratiet,65,4,4.0,1.0,uddannelse
Aage Frandsen,Jan Trøjborg,Socialistisk Folkeparti,Socialdemokratiet,65,11,10.0,0.9090909090909091,uddannelse
Aage Frandsen,Jann Sjursen,Socialistisk Folkeparti,Kristendemokraterne,65,9,8.0,0.8888888888888888,uddannelse
Aage Frandsen,Jens Christian Larsen,Socialistisk Folkeparti,Venstre,65,11,4.0,0.36363636363636365,uddannelse
Aage Frandsen,Jens Hald,Socialistisk Folkeparti,Venstre,65,17,9.0,0.5294117647058824,uddannelse
Aage Frandsen,Jens Kirk,Socialistisk Folkeparti,Venstre,65,12,5.0,0.4166666666666667,uddannelse
Aage Frandsen,Jens Peter Vernersen,Socialistisk Folkeparti,Socialdemokratiet,65,17,15.0,0.8823529411764706,uddannelse
Aage Frandsen,Jens Rohde,Socialistisk Folkeparti,Venstre,65,9,3.0,0.3333333333333333,uddannelse
Aage Frandsen,Jens Vibjerg (udpeget af V),Socialistisk Folkeparti,Venstre,65,10,5.0,0.5,uddannelse
Aage Frandsen,Jeppe Kofod,Socialistisk Folkeparti,Socialdemokratiet,65,2,2.0,1.0,uddannelse
Aage Frandsen,Jesper Langballe,Socialistisk Folkeparti,Dansk Folkeparti,65,17,9.0,0.5294117647058824,uddannelse
Aage Frandsen,Jette Bergenholz Bautrup,Socialistisk Folkeparti,Socialdemokratiet,65,2,2.0,1.0,uddannelse
Aage Frandsen,Jette Jespersen,Socialistisk Folkeparti,Dansk Folkeparti,65,17,9.0,0.5294117647058824,uddannelse
