party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Det Konservative Folkeparti,Radikale Venstre,71,11391,7610.0,0.6680712843472917,general
Det Konservative Folkeparti,Sambandsflokkurin,71,511,289.0,0.5655577299412916,general
Det Konservative Folkeparti,Socialdemokratiet,71,105451,72243.0,0.6850859640970688,general
Det Konservative Folkeparti,Socialistisk Folkeparti,71,35572,21577.0,0.6065725851793545,general
Det Konservative Folkeparti,Uden for Folketingsgrupperne,71,8586,5380.0,0.6266014442115071,general
Det Konservative Folkeparti,Venstre,71,34351,23664.0,0.6888882419725773,general
Enhedslisten,Enhedslisten,71,2074,2052.0,0.9893924783027965,general
Enhedslisten,Inuit Ataqatigiit,71,13,5.0,0.38461538461538464,general
Enhedslisten,Javnaðarflokkurin,71,16,8.0,0.5,general
Enhedslisten,Liberal Alliance,71,23517,13411.0,0.5702683165369733,general
Enhedslisten,Moderaterne,71,23059,13615.0,0.5904419098833428,general
Enhedslisten,Naleraq,71,6,6.0,1.0,general
Enhedslisten,Nye Borgerlige,71,1292,614.0,0.47523219814241485,general
Enhedslisten,Radikale Venstre,71,6665,4862.0,0.7294823705926482,general
Enhedslisten,Sambandsflokkurin,71,260,207.0,0.7961538461538461,general
Enhedslisten,Socialdemokratiet,71,60337,35012.0,0.5802741269867577,general
Enhedslisten,Socialistisk Folkeparti,71,20334,16970.0,0.8345628012196321,general
Enhedslisten,Uden for Folketingsgrupperne,71,5197,2553.0,0.4912449490090437,general
Enhedslisten,Venstre,71,20105,11525.0,0.5732404874409351,general
Inuit Ataqatigiit,Javnaðarflokkurin,71,3,3.0,1.0,general
Inuit Ataqatigiit,Liberal Alliance,71,43,15.0,0.3488372093023256,general
Inuit Ataqatigiit,Moderaterne,71,40,40.0,1.0,general
Inuit Ataqatigiit,Naleraq,71,1,1.0,1.0,general
Inuit Ataqatigiit,Nye Borgerlige,71,3,3.0,1.0,general
Inuit Ataqatigiit,Radikale Venstre,71,13,5.0,0.38461538461538464,general
Inuit Ataqatigiit,Sambandsflokkurin,71,3,3.0,1.0,general
Inuit Ataqatigiit,Socialdemokratiet,71,106,106.0,1.0,general
Inuit Ataqatigiit,Socialistisk Folkeparti,71,32,12.0,0.375,general
Inuit Ataqatigiit,Uden for Folketingsgrupperne,71,11,6.0,0.5454545454545454,general
Inuit Ataqatigiit,Venstre,71,35,35.0,1.0,general
Javnaðarflokkurin,Liberal Alliance,71,52,15.0,0.28846153846153844,general
Javnaðarflokkurin,Moderaterne,71,49,49.0,1.0,general
Javnaðarflokkurin,Nye Borgerlige,71,3,3.0,1.0,general
Javnaðarflokkurin,Radikale Venstre,71,15,7.0,0.4666666666666667,general
Javnaðarflokkurin,Sambandsflokkurin,71,3,3.0,1.0,general
Javnaðarflokkurin,Socialdemokratiet,71,135,135.0,1.0,general
Javnaðarflokkurin,Socialistisk Folkeparti,71,38,18.0,0.47368421052631576,general
Javnaðarflokkurin,Uden for Folketingsgrupperne,71,14,7.0,0.5,general
Javnaðarflokkurin,Venstre,71,43,43.0,1.0,general
Liberal Alliance,Liberal Alliance,71,40979,40851.0,0.9968764489128578,general
Liberal Alliance,Moderaterne,71,89232,64792.0,0.7261072261072261,general
Liberal Alliance,Naleraq,71,26,18.0,0.6923076923076923,general
Liberal Alliance,Nye Borgerlige,71,4246,2770.0,0.652378709373528,general
Liberal Alliance,Radikale Venstre,71,25549,17492.0,0.6846451915926259,general
Liberal Alliance,Sambandsflokkurin,71,895,585.0,0.6536312849162011,general
Liberal Alliance,Socialdemokratiet,71,233590,167748.0,0.7181300569373689,general
Liberal Alliance,Socialistisk Folkeparti,71,79232,50860.0,0.6419123586429726,general
Liberal Alliance,Uden for Folketingsgrupperne,71,22060,14394.0,0.6524932003626474,general
Liberal Alliance,Venstre,71,78097,56200.0,0.7196179110593237,general
Moderaterne,Moderaterne,71,39121,39074.0,0.9987985992178114,general
Moderaterne,Naleraq,71,20,14.0,0.7,general
Moderaterne,Nye Borgerlige,71,4917,2480.0,0.5043725849094977,general
Moderaterne,Radikale Venstre,71,24528,19232.0,0.7840834964122635,general
Moderaterne,Sambandsflokkurin,71,1046,1046.0,1.0,general
