party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Alternativet,Liberal Alliance,69,11227,4455.0,0.39681125857308275,immigration
Alternativet,Radikale Venstre,69,6938,6075.0,0.8756125684635342,immigration
Alternativet,Socialdemokratiet,69,33868,17919.0,0.5290835006495808,immigration
Alternativet,Socialistisk Folkeparti,69,5006,4331.0,0.8651618058330004,immigration
Alternativet,Tjóðveldi,69,11,0.0,0.0,immigration
Alternativet,Venstre,69,27046,10800.0,0.3993196775863344,immigration
Dansk Folkeparti,Dansk Folkeparti,69,58137,58076.0,0.9989507542528854,immigration
Dansk Folkeparti,Det Konservative Folkeparti,69,22584,15323.0,0.6784891958908962,immigration
Dansk Folkeparti,Enhedslisten,69,52510,12530.0,0.2386212150066654,immigration
Dansk Folkeparti,Liberal Alliance,69,40353,26189.0,0.6489975962134166,immigration
Dansk Folkeparti,Radikale Venstre,69,25322,5950.0,0.23497354079456598,immigration
Dansk Folkeparti,Socialdemokratiet,69,124661,63316.0,0.5079054395520652,immigration
Dansk Folkeparti,Socialistisk Folkeparti,69,18425,5088.0,0.27614654002713707,immigration
Dansk Folkeparti,Tjóðveldi,69,43,0.0,0.0,immigration
Dansk Folkeparti,Venstre,69,99340,66768.0,0.6721159653714516,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,69,1656,1656.0,1.0,immigration
Det Konservative Folkeparti,Enhedslisten,69,10017,3172.0,0.3166616751522412,immigration
Det Konservative Folkeparti,Liberal Alliance,69,7380,7039.0,0.9537940379403794,immigration
Det Konservative Folkeparti,Radikale Venstre,69,4905,2176.0,0.4436289500509684,immigration
Det Konservative Folkeparti,Socialdemokratiet,69,23932,17989.0,0.7516714023065352,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,69,3496,1511.0,0.43220823798627,immigration
Det Konservative Folkeparti,Tjóðveldi,69,7,0.0,0.0,immigration
Det Konservative Folkeparti,Venstre,69,19014,18870.0,0.9924266330072579,immigration
Enhedslisten,Enhedslisten,69,10245,10245.0,1.0,immigration
Enhedslisten,Liberal Alliance,69,17153,5967.0,0.3478691774033697,immigration
Enhedslisten,Radikale Venstre,69,11271,9205.0,0.8166977198119066,immigration
Enhedslisten,Socialdemokratiet,69,55151,27421.0,0.49719860020670525,immigration
Enhedslisten,Socialistisk Folkeparti,69,8074,6872.0,0.8511270745603171,immigration
Enhedslisten,Tjóðveldi,69,18,0.0,0.0,immigration
Enhedslisten,Venstre,69,44020,15165.0,0.3445024988641527,immigration
Liberal Alliance,Liberal Alliance,69,5831,5803.0,0.9951980792316927,immigration
Liberal Alliance,Radikale Venstre,69,8178,3833.0,0.4686965028124236,immigration
Liberal Alliance,Socialdemokratiet,69,40512,29445.0,0.726821682464455,immigration
Liberal Alliance,Socialistisk Folkeparti,69,5996,2698.0,0.44996664442961976,immigration
Liberal Alliance,Tjóðveldi,69,15,0.0,0.0,immigration
Liberal Alliance,Venstre,69,32202,30639.0,0.951462642071921,immigration
Radikale Venstre,Radikale Venstre,69,2203,2199.0,0.9981842941443486,immigration
Radikale Venstre,Socialdemokratiet,69,27046,16173.0,0.5979812171855358,immigration
Radikale Venstre,Socialistisk Folkeparti,69,3912,3292.0,0.8415132924335378,immigration
Radikale Venstre,Tjóðveldi,69,9,0.0,0.0,immigration
Radikale Venstre,Venstre,69,21755,10277.0,0.47239715008044125,immigration
Socialdemokratiet,Socialdemokratiet,69,63200,63146.0,0.9991455696202531,immigration
Socialdemokratiet,Socialistisk Folkeparti,69,19289,11767.0,0.6100368085437295,immigration
Socialdemokratiet,Tjóðveldi,69,41,0.0,0.0,immigration
Socialdemokratiet,Venstre,69,105930,78786.0,0.7437553101104503,immigration
Socialistisk Folkeparti,Socialistisk Folkeparti,69,989,981.0,0.9919110212335692,immigration
Socialistisk Folkeparti,Tjóðveldi,69,7,0.0,0.0,immigration
Socialistisk Folkeparti,Venstre,69,15378,6955.0,0.45226947587462607,immigration
